k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[13, 0, 0, 3]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.25000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1.0260302921302387, -0.8996657564638274, -1.0926424110133297, -1.061092225516174, -1.0773249022110554, -1.0428985095596237, -0.9649435940138136, -1.0130244704566707, -1.1680135524890949, -0.9553455237068061]|  4.4563727378845215|      0.50000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[1.0260302921302387, -0.8996657564638274, -1.0926424110133297, -1.061092225516174, -1.0773249022110554, -1.0428985095596237, -0.9649435940138136, -1.0130244704566707, -1.1680135524890949, -0.9553455237068061]|  4.4563727378845215|      0.25000000|[45, 0, 0, 11]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.1098639734979725, -1.01665035803509, -1.0731611288994845, -1.1481509821306797, -1.1846616351756876, -1.0787136528777723, -1.1078025682587835, -0.9951318727114874, -1.1562875947924467, -0.9678970579860663]|  0.4994393885135651|      0.50000000|[53, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[1.1098639734979725, -1.01665035803509, -1.0731611288994845, -1.1481509821306797, -1.1846616351756876, -1.0787136528777723, -1.1078025682587835, -0.9951318727114874, -1.1562875947924467, -0.9678970579860663]|  0.4994393885135651|      0.25000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[1.1098639734979725, -1.01665035803509, -1.0731611288994845, -1.1481509821306797, -1.1846616351756876, -1.0787136528777723, -1.1078025682587835, -0.9951318727114874, -1.1562875947924467, -0.9678970579860663]|  0.4994393885135651|      0.12500000|[77, 0, 0, 19]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[1.095799412624809, -1.0134986810194966, -1.1369316943422407, -1.1171596701579671, -1.1663457195004916, -1.0718697420734804, -1.1522040135906857, -0.9914623036106222, -1.2313738358491175, -1.0167324863313694]|  0.1929860115051270|      0.25000000|[85, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[1.095799412624809, -1.0134986810194966, -1.1369316943422407, -1.1171596701579671, -1.1663457195004916, -1.0718697420734804, -1.1522040135906857, -0.9914623036106222, -1.2313738358491175, -1.0167324863313694]|  0.1929860115051270|      0.12500000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[1.1634420771021206, -0.9916134588355037, -1.1489581323147047, -1.069105356986557, -1.1970866791787842, -1.096445322795428, -1.2014494651696412, -1.0511925801927897, -1.213949666386685, -1.0332026677107347]|  0.0727630630135536|      0.25000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[1.1634420771021206, -0.9916134588355037, -1.1489581323147047, -1.069105356986557, -1.1970866791787842, -1.096445322795428, -1.2014494651696412, -1.0511925801927897, -1.213949666386685, -1.0332026677107347]|  0.0727630630135536|      0.12500000|[117, 0, 0, 29]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[1.1923201521334037, -1.020694084815222, -1.2027432581483155, -1.1049719226430705, -1.2021352768701372, -1.0721719270732013, -1.1832771543998475, -1.126876619061951, -1.169105060626452, -1.0660978393867513]|  0.0032661946024746|      0.25000000|[125, 0, 0, 31]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
