k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       2|[0.762746750511271, -1.0720629547242815, 19.974114444664966]                    |297.9711326566286971|      1.00000000|[6, 2, 2, 4]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       3|[0.762746750511271, -1.0720629547242815, 19.974114444664966]                    |297.9711326566286971|      0.50000000|[9, 3, 3, 6]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[0.762746750511271, -1.0720629547242815, 19.974114444664966]                    |297.9711326566286971|      0.25000000|[13, 3, 4, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       5|[0.762746750511271, -1.0720629547242815, 19.974114444664966]                    |297.9711326566286971|      0.12500000|[16, 4, 5, 10]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       6|[0.762746750511271, -1.0720629547242815, 19.974114444664966]                    |297.9711326566286971|      0.06250000|[19, 5, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[0.7599697842696581, -1.134450140738971, 19.971589077431975]                    |231.4804561597165389|      0.12500000|[22, 6, 7, 14]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       8|[0.7599697842696581, -1.134450140738971, 19.971589077431975]                    |231.4804561597165389|      0.06250000|[25, 7, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       9|[0.7599697842696581, -1.134450140738971, 19.971589077431975]                    |231.4804561597165389|      0.03125000|[28, 8, 9, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      10|[0.7599697842696581, -1.134450140738971, 19.971589077431975]                    |231.4804561597165389|      0.01562500|[31, 9, 10, 20]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
      11|[0.7599697842696581, -1.134450140738971, 19.971589077431975]                    |231.4804561597165389|      0.00781250|[34, 10, 11, 22]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      12|[0.7540254828713779, -1.1298527618725531, 19.97372555694159]                    |230.7424888824828884|      0.01562500|[37, 11, 12, 24]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      13|[0.7540254828713779, -1.1298527618725531, 19.97372555694159]                    |230.7424888824828884|      0.00781250|[40, 12, 13, 26]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      14|[0.7540254828713779, -1.1298527618725531, 19.97372555694159]                    |230.7424888824828884|      0.00390625|[43, 13, 14, 28]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      15|[0.7540254828713779, -1.1298527618725531, 19.97372555694159]                    |230.7424888824828884|      0.00195312|[46, 14, 15, 30]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
