k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[19.99654226386568, 2.000498529970305, 2.020278196153007, 1.9966662661591679, 0.6995652875332241]|5012.1251770356893758|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       3|[19.99654226386568, 2.000498529970305, 2.020278196153007, 1.9966662661591679, 0.6995652875332241]|5012.1251770356893758|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[19.99654226386568, 2.000498529970305, 2.020278196153007, 1.9966662661591679, 0.6995652875332241]|5012.1251770356893758|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[20.066472824050773, 2.0765564805215515, 1.993294749375737, 2.0131638346074228, 0.4741221045680776]|4320.7865886408317238|      0.50000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[20.066472824050773, 2.0765564805215515, 1.993294749375737, 2.0131638346074228, 0.4741221045680776]|4320.7865886408317238|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[20.066472824050773, 2.0765564805215515, 1.993294749375737, 2.0131638346074228, 0.4741221045680776]|4320.7865886408317238|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[20.074603631126788, 2.1208969265639492, 1.9922593919111584, 2.0288828696215564, 0.5896411713674542]|3870.3819353157550722|      0.25000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
       9|[20.074603631126788, 2.1208969265639492, 1.9922593919111584, 2.0288828696215564, 0.5896411713674542]|3870.3819353157550722|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[20.074603631126788, 2.1208969265639492, 1.9922593919111584, 2.0288828696215564, 0.5896411713674542]|3870.3819353157550722|      0.06250000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[20.069189442805563, 2.1337366516902767, 1.9881765957315114, 2.034887340895267, 0.529148567492424]|3783.0689892677751232|      0.12500000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      12|[20.069189442805563, 2.1337366516902767, 1.9881765957315114, 2.034887340895267, 0.529148567492424]|3783.0689892677751232|      0.06250000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[20.076076201372377, 2.177546665953195, 1.999486620248012, 2.043404869977733, 0.5708503690181472]|3688.3371608816864864|      0.12500000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      14|[20.076076201372377, 2.177546665953195, 1.999486620248012, 2.043404869977733, 0.5708503690181472]|3688.3371608816864864|      0.06250000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[20.072703280857016, 2.2223534599550496, 2.0314366966322974, 2.040889689043212, 0.5415230591794092]|3534.0248818377294810|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
