k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.12392152736751, 39.08987881263533, 41.03594372479758, 38.904815535540465]   |851.9668579101562500|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[22.583203362800568, 38.7077457872949, 40.29466285993571, 39.8695251124118]     |735.5432128906250000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[21.756463913373125, 35.42060213172249, 39.494235615944056, 37.90216528323301]  |611.6545410156250000|      8.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[16.299237076651025, 31.34511747148125, 43.62621723088586, 38.63416799530543]   |234.0475158691406250|     16.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[10.838099941248514, 22.279257758336115, 36.03448603613901, 47.92673418105882]  | 57.2365455627441406|     32.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[10.838099941248514, 22.279257758336115, 36.03448603613901, 47.92673418105882]  | 57.2365455627441406|     16.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[4.6753368044137975, 8.514308471855005, 41.03283938812719, 49.81432137865865]   |  1.0881278514862061|     32.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[4.6753368044137975, 8.514308471855005, 41.03283938812719, 49.81432137865865]   |  1.0881278514862061|     16.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[4.6753368044137975, 8.514308471855005, 41.03283938812719, 49.81432137865865]   |  1.0881278514862061|      8.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[4.6753368044137975, 8.514308471855005, 41.03283938812719, 49.81432137865865]   |  1.0881278514862061|      4.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[4.6753368044137975, 8.514308471855005, 41.03283938812719, 49.81432137865865]   |  1.0881278514862061|      2.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[4.6753368044137975, 8.514308471855005, 41.03283938812719, 49.81432137865865]   |  1.0881278514862061|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[4.6753368044137975, 8.514308471855005, 41.03283938812719, 49.81432137865865]   |  1.0881278514862061|      0.50000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[4.283202252901628, 8.216092177521068, 41.09929101260165, 49.868003004088486]   |  0.7960277795791626|      1.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[4.283202252901628, 8.216092177521068, 41.09929101260165, 49.868003004088486]   |  0.7960277795791626|      0.50000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[3.839289621246532, 7.989128049815161, 41.062251921626654, 49.860455426232626]  |  0.5525431036949158|      1.00000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[3.839289621246532, 7.989128049815161, 41.062251921626654, 49.860455426232626]  |  0.5525431036949158|      0.50000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[3.419372564994211, 8.104815127952392, 41.30729756830805, 49.87590847974809]    |  0.4001195430755615|      1.00000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      19|[3.419372564994211, 8.104815127952392, 41.30729756830805, 49.87590847974809]    |  0.4001195430755615|      0.50000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      20|[3.419372564994211, 8.104815127952392, 41.30729756830805, 49.87590847974809]    |  0.4001195430755615|      0.25000000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
