k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]| 27.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.097663481593293, 0.9008576332545521, 0.8627468496690472, 0.7394795645282359, 1.0807325205686127, 0.8059915353255724, 1.3077003496989015, 0.8969673207133162, 0.9427625530274905, 1.0833563134006872, 0.8613918847120612, 0.8240549838095385, 1.5914042137275057, 1.1392962706570573, 0.7901510847277339, 1.2024790435619856, 0.6476204422925185, 1.036778842796761, 1.004223156935861, 0.7889712295294478, 0.8892063047782225, 0.8385755599208419, 1.0915005036832515, 1.0559420083793298, 0.9001445634200239]|  8.0920734405517578|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[1.097663481593293, 0.9008576332545521, 0.8627468496690472, 0.7394795645282359, 1.0807325205686127, 0.8059915353255724, 1.3077003496989015, 0.8969673207133162, 0.9427625530274905, 1.0833563134006872, 0.8613918847120612, 0.8240549838095385, 1.5914042137275057, 1.1392962706570573, 0.7901510847277339, 1.2024790435619856, 0.6476204422925185, 1.036778842796761, 1.004223156935861, 0.7889712295294478, 0.8892063047782225, 0.8385755599208419, 1.0915005036832515, 1.0559420083793298, 0.9001445634200239]|  8.0920734405517578|      1.00000000|[67, 10, 0, 5]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[1.1400116888316842, 0.8152562126023419, 0.8815940844077106, 0.8007783416607555, 0.9242893058903645, 0.4321815109675183, 1.00763547679032, 0.8087359226932389, 0.9477714937400128, 1.254815822830338, 0.9307137456418393, 0.4319589973196339, 1.927632371315312, 0.918394584364089, 1.1075972707690729, 1.1886536593731158, 0.7054342264920597, 1.0413823697980664, 0.9376982767682651, 0.6465237623138179, 0.7759440373966145, 0.8826133020496989, 0.7888151774605181, 0.7768917141344212, 0.6519104897937933]|  4.2721500396728516|      2.00000000|[93, 14, 0, 7]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[1.1400116888316842, 0.8152562126023419, 0.8815940844077106, 0.8007783416607555, 0.9242893058903645, 0.4321815109675183, 1.00763547679032, 0.8087359226932389, 0.9477714937400128, 1.254815822830338, 0.9307137456418393, 0.4319589973196339, 1.927632371315312, 0.918394584364089, 1.1075972707690729, 1.1886536593731158, 0.7054342264920597, 1.0413823697980664, 0.9376982767682651, 0.6465237623138179, 0.7759440373966145, 0.8826133020496989, 0.7888151774605181, 0.7768917141344212, 0.6519104897937933]|  4.2721500396728516|      1.00000000|[133, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[1.1400116888316842, 0.8152562126023419, 0.8815940844077106, 0.8007783416607555, 0.9242893058903645, 0.4321815109675183, 1.00763547679032, 0.8087359226932389, 0.9477714937400128, 1.254815822830338, 0.9307137456418393, 0.4319589973196339, 1.927632371315312, 0.918394584364089, 1.1075972707690729, 1.1886536593731158, 0.7054342264920597, 1.0413823697980664, 0.9376982767682651, 0.6465237623138179, 0.7759440373966145, 0.8826133020496989, 0.7888151774605181, 0.7768917141344212, 0.6519104897937933]|  4.2721500396728516|      0.50000000|[172, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[1.1400116888316842, 0.8152562126023419, 0.8815940844077106, 0.8007783416607555, 0.9242893058903645, 0.4321815109675183, 1.00763547679032, 0.8087359226932389, 0.9477714937400128, 1.254815822830338, 0.9307137456418393, 0.4319589973196339, 1.927632371315312, 0.918394584364089, 1.1075972707690729, 1.1886536593731158, 0.7054342264920597, 1.0413823697980664, 0.9376982767682651, 0.6465237623138179, 0.7759440373966145, 0.8826133020496989, 0.7888151774605181, 0.7768917141344212, 0.6519104897937933]|  4.2721500396728516|      0.25000000|[210, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[1.1061366838106623, 0.773930993245781, 0.8632063541139419, 0.7916118334665377, 0.8744612521239618, 0.4286456490095291, 1.0621349047539386, 0.7792390754654959, 0.8914447719422391, 1.2103006055724823, 0.8169579107643249, 0.4523540660348709, 1.890625631797998, 0.8124936150135953, 1.0549970169893395, 1.131096635045604, 0.7374466089219432, 0.9577554873543264, 0.9740812796699628, 0.6933915508756187, 0.7397044515932287, 0.8354002636948501, 0.7965566917517677, 0.794357826594821, 0.6682288168482898]|  3.4913747310638428|      0.50000000|[237, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[1.1061366838106623, 0.773930993245781, 0.8632063541139419, 0.7916118334665377, 0.8744612521239618, 0.4286456490095291, 1.0621349047539386, 0.7792390754654959, 0.8914447719422391, 1.2103006055724823, 0.8169579107643249, 0.4523540660348709, 1.890625631797998, 0.8124936150135953, 1.0549970169893395, 1.131096635045604, 0.7374466089219432, 0.9577554873543264, 0.9740812796699628, 0.6933915508756187, 0.7397044515932287, 0.8354002636948501, 0.7965566917517677, 0.794357826594821, 0.6682288168482898]|  3.4913747310638428|      0.25000000|[276, 42, 0, 21]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[1.097230450840514, 0.69407012158664, 0.841331316943167, 0.7699861597142184, 0.8492867911177582, 0.46504360516808, 1.1047282400524443, 0.7301066037735701, 0.840559460526388, 1.1854191814437505, 0.7106355073143488, 0.5070387313602247, 1.8301734001710883, 0.7836401803627905, 1.031100354219493, 1.0687991822362668, 0.8339865171320456, 1.0083125123740189, 0.9172070431700269, 0.6568544772981072, 0.7560975258927553, 0.8228590367854411, 0.7793227088949981, 0.7423501677175, 0.7191627829877412]|  3.0924782752990723|      0.50000000|[302, 46, 0, 23]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[1.097230450840514, 0.69407012158664, 0.841331316943167, 0.7699861597142184, 0.8492867911177582, 0.46504360516808, 1.1047282400524443, 0.7301066037735701, 0.840559460526388, 1.1854191814437505, 0.7106355073143488, 0.5070387313602247, 1.8301734001710883, 0.7836401803627905, 1.031100354219493, 1.0687991822362668, 0.8339865171320456, 1.0083125123740189, 0.9172070431700269, 0.6568544772981072, 0.7560975258927553, 0.8228590367854411, 0.7793227088949981, 0.7423501677175, 0.7191627829877412]|  3.0924782752990723|      0.25000000|[340, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[1.1614731401939395, 0.6823886967483827, 0.8706774397400905, 0.7327800634414859, 0.8529087083536696, 0.4331448862744644, 1.1744183710510363, 0.7799179886811988, 0.7870466057848209, 1.1139271289092607, 0.7672059898538354, 0.4147246352521903, 1.7934043939815856, 0.7619207145080703, 1.0664801057271394, 1.0056623580331827, 0.8485323120674282, 1.024536297521019, 0.9568353148014502, 0.6976684634385862, 0.790524989130313, 0.7377704983664766, 0.7632859849305839, 0.6953258736843575, 0.6400481625109273]|  2.6534914970397949|      0.50000000|[366, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[1.1614731401939395, 0.6823886967483827, 0.8706774397400905, 0.7327800634414859, 0.8529087083536696, 0.4331448862744644, 1.1744183710510363, 0.7799179886811988, 0.7870466057848209, 1.1139271289092607, 0.7672059898538354, 0.4147246352521903, 1.7934043939815856, 0.7619207145080703, 1.0664801057271394, 1.0056623580331827, 0.8485323120674282, 1.024536297521019, 0.9568353148014502, 0.6976684634385862, 0.790524989130313, 0.7377704983664766, 0.7632859849305839, 0.6953258736843575, 0.6400481625109273]|  2.6534914970397949|      0.25000000|[404, 62, 0, 31]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[1.1382096948473843, 0.6351102884488983, 0.8472800856984415, 0.7236998089040828, 0.7731397053518521, 0.4904791274277037, 1.1361924085869184, 0.7664322965859989, 0.725774755908832, 1.0033273076099152, 0.6888541067270154, 0.374523564777325, 1.8477614536477396, 0.7760173472559219, 0.9843999951867359, 0.9899266902012402, 0.9196956445497145, 0.9565394238307396, 0.9648510525592306, 0.7033033897310553, 0.807119036456876, 0.7700361917910816, 0.7201209888904578, 0.7256245955758708, 0.6462891081282446]|  2.2866444587707520|      0.50000000|[431, 66, 0, 33]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
