k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.509860870336535, 9.837872797779182, 9.670501124973281, 9.23968201252362, -0.0399660568791657, 0.0916133312252481, 0.1356217629176366, 0.1358009661646125]|1568.7067281522270150|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[8.543238130390511, 9.495222343525237, 9.563634596268878, 7.631746307266454, 0.1613620469172427, 0.3584794494457028, 0.3600334908793954, 0.5708208548381346]|1439.2468677579815903|      4.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[6.708633114252387, 9.137861116424155, 7.9781864477493185, 4.669591984467337, -0.4355389145192582, 0.7029992612877795, 0.9773863627343871, 1.1728209358189647]|879.8894910731095251|      8.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[3.7941660322636444, 4.018741046199929, 5.4412401418334975, 0.906053008980316, 1.1866011464666175, 2.530986271300073, 2.391540640861238, 2.0257347338948857]|190.1578500688437998|     16.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[3.7941660322636444, 4.018741046199929, 5.4412401418334975, 0.906053008980316, 1.1866011464666175, 2.530986271300073, 2.391540640861238, 2.0257347338948857]|190.1578500688437998|      8.00000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[3.0772559520814404, 0.4151415669807217, 3.7283549372985925, -1.9741492323709884, -2.2611933529492694, -1.3514118405359445, -0.6974330995439684, 0.3618509406565182]| 66.9444095566226594|     16.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[3.0772559520814404, 0.4151415669807217, 3.7283549372985925, -1.9741492323709884, -2.2611933529492694, -1.3514118405359445, -0.6974330995439684, 0.3618509406565182]| 66.9444095566226594|      8.00000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[3.0772559520814404, 0.4151415669807217, 3.7283549372985925, -1.9741492323709884, -2.2611933529492694, -1.3514118405359445, -0.6974330995439684, 0.3618509406565182]| 66.9444095566226594|      4.00000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[3.0772559520814404, 0.4151415669807217, 3.7283549372985925, -1.9741492323709884, -2.2611933529492694, -1.3514118405359445, -0.6974330995439684, 0.3618509406565182]| 66.9444095566226594|      2.00000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[2.805617869648512, -0.4313993422146395, 3.4710456038154884, -1.2121668771573868, -0.9703155236849463, -0.7097987431296673, -1.3809111117988642, 0.4944439585387411]| 22.3915340449230271|      4.00000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[2.805617869648512, -0.4313993422146395, 3.4710456038154884, -1.2121668771573868, -0.9703155236849463, -0.7097987431296673, -1.3809111117988642, 0.4944439585387411]| 22.3915340449230271|      2.00000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[3.5143204537357957, -1.1159431787209213, 3.411943035683995, -1.5818448917106946, -1.619812398140617, 0.103755814466777, -1.5951148285260865, -0.8319741485572326]| 12.2789792008893173|      4.00000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[3.5143204537357957, -1.1159431787209213, 3.411943035683995, -1.5818448917106946, -1.619812398140617, 0.103755814466777, -1.5951148285260865, -0.8319741485572326]| 12.2789792008893173|      2.00000000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[3.5143204537357957, -1.1159431787209213, 3.411943035683995, -1.5818448917106946, -1.619812398140617, 0.103755814466777, -1.5951148285260865, -0.8319741485572326]| 12.2789792008893173|      1.00000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[3.380834619258834, -1.7955931911597947, 3.3554352488145027, -1.5361420775555918, -1.31989226808612, 0.6821584528226371, -1.592933953286883, -1.1327549037619322]|  8.3332114560348227|      2.00000000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[3.380834619258834, -1.7955931911597947, 3.3554352488145027, -1.5361420775555918, -1.31989226808612, 0.6821584528226371, -1.592933953286883, -1.1327549037619322]|  8.3332114560348227|      1.00000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[3.380834619258834, -1.7955931911597947, 3.3554352488145027, -1.5361420775555918, -1.31989226808612, 0.6821584528226371, -1.592933953286883, -1.1327549037619322]|  8.3332114560348227|      0.50000000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[3.2580504428610118, -1.850092658873661, 3.594645739496471, -1.7162410252553213, -1.3978500262263143, 0.9624526833734219, -1.3763043638004406, -1.2363209090676777]|  7.8128755375822259|      1.00000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[3.2580504428610118, -1.850092658873661, 3.594645739496471, -1.7162410252553213, -1.3978500262263143, 0.9624526833734219, -1.3763043638004406, -1.2363209090676777]|  7.8128755375822259|      0.50000000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[3.039427224504227, -1.8426642692286657, 3.671836150581992, -1.4531592195810374, -1.5610878046525047, 1.0288276940838232, -1.5369662733253868, -1.501111104992082]|  6.4825139848722948|      1.00000000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[3.039427224504227, -1.8426642692286657, 3.671836150581992, -1.4531592195810374, -1.5610878046525047, 1.0288276940838232, -1.5369662733253868, -1.501111104992082]|  6.4825139848722948|      0.50000000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[3.039427224504227, -1.8426642692286657, 3.671836150581992, -1.4531592195810374, -1.5610878046525047, 1.0288276940838232, -1.5369662733253868, -1.501111104992082]|  6.4825139848722948|      0.25000000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[2.886898496354009, -1.9150230885693573, 3.605990169621924, -1.5942464002733066, -1.6363267015037684, 1.0859273322363163, -1.5095385831304764, -1.5102960993983208]|  5.4829465542325373|      0.50000000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[2.5696691461733057, -1.9605795737743452, 3.5886432331567475, -1.6266884653504186, -1.697673592634768, 1.184722972097666, -1.1554090916613438, -1.5939921328363709]|  4.5764957866916278|      1.00000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[2.5696691461733057, -1.9605795737743452, 3.5886432331567475, -1.6266884653504186, -1.697673592634768, 1.184722972097666, -1.1554090916613438, -1.5939921328363709]|  4.5764957866916278|      0.50000000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[2.5696691461733057, -1.9605795737743452, 3.5886432331567475, -1.6266884653504186, -1.697673592634768, 1.184722972097666, -1.1554090916613438, -1.5939921328363709]|  4.5764957866916278|      0.25000000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[2.478782493207507, -1.932878960307277, 3.6874956061309403, -1.478389221229325, -1.6351413318487589, 1.2921636806245689, -1.1510419392184885, -1.6729539803861495]|  4.1979266324966629|      0.50000000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[2.284231820262267, -1.7863756624936031, 3.5075472765862084, -1.6192131437384205, -1.4833977538679064, 1.3935481579583657, -0.910858915994701, -1.4550520974620027]|  3.8518965326333379|      1.00000000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[2.284231820262267, -1.7863756624936031, 3.5075472765862084, -1.6192131437384205, -1.4833977538679064, 1.3935481579583657, -0.910858915994701, -1.4550520974620027]|  3.8518965326333379|      0.50000000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[2.061400992367878, -1.8030749421138867, 3.782330850201184, -1.3786517415018777, -1.3416394468732113, 1.4491213243582373, -1.118287407434586, -1.4331116749797534]|  2.8469571377555192|      1.00000000|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      31|[2.061400992367878, -1.8030749421138867, 3.782330850201184, -1.3786517415018777, -1.3416394468732113, 1.4491213243582373, -1.118287407434586, -1.4331116749797534]|  2.8469571377555192|      0.50000000|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      32|[2.061400992367878, -1.8030749421138867, 3.782330850201184, -1.3786517415018777, -1.3416394468732113, 1.4491213243582373, -1.118287407434586, -1.4331116749797534]|  2.8469571377555192|      0.25000000|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      33|[2.0071188289757456, -1.6350152743538315, 3.704136865269599, -1.503299118172694, -1.3351060920159203, 1.490540495484944, -1.0516365815147868, -1.3743106379043215]|  2.2250486656993083|      0.50000000|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      34|[2.0071188289757456, -1.6350152743538315, 3.704136865269599, -1.503299118172694, -1.3351060920159203, 1.490540495484944, -1.0516365815147868, -1.3743106379043215]|  2.2250486656993083|      0.25000000|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      35|[1.9337730760616945, -1.5247578843090994, 3.7172747354047093, -1.3662768211182692, -1.226827889535304, 1.5974626814193484, -1.0178218152691463, -1.332885602544473]|  1.6161639228827258|      0.50000000|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      36|[1.9337730760616945, -1.5247578843090994, 3.7172747354047093, -1.3662768211182692, -1.226827889535304, 1.5974626814193484, -1.0178218152691463, -1.332885602544473]|  1.6161639228827258|      0.25000000|[576, 36, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      37|[1.9337730760616945, -1.5247578843090994, 3.7172747354047093, -1.3662768211182692, -1.226827889535304, 1.5974626814193484, -1.0178218152691463, -1.332885602544473]|  1.6161639228827258|      0.12500000|[592, 37, 37, 74]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      38|[1.8786455048486896, -1.4882652401216876, 3.6996925842764914, -1.432637389691089, -1.1996342684247703, 1.6298785968052152, -0.9572193749519685, -1.3000459871240908]|  1.4103219150252997|      0.25000000|[608, 38, 38, 76]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      39|[1.9365093591373272, -1.3614988371132468, 3.7591670605796823, -1.319783687792081, -1.109784375277465, 1.7292039558011072, -0.875476982481078, -1.2532642267232057]|  0.9435873167534455|      0.50000000|[624, 39, 39, 78]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      40|[1.9365093591373272, -1.3614988371132468, 3.7591670605796823, -1.319783687792081, -1.109784375277465, 1.7292039558011072, -0.875476982481078, -1.2532642267232057]|  0.9435873167534455|      0.25000000|[640, 40, 40, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
