k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.12500000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[1.0103434322512899, 2.0259826449893956, 1.055725655349752, 0.9349936533862372, 1.0140218024764842, 1.0855285382764166]|  0.6035853261021275|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[1.1927266292675711, 2.0152278719858248, 1.0774561185292038, 0.8935730877197218, 1.1635655062178405, 1.1531266794117454]|  0.3970864993342153|      0.50000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[1.1927266292675711, 2.0152278719858248, 1.0774561185292038, 0.8935730877197218, 1.1635655062178405, 1.1531266794117454]|  0.3970864993342153|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[1.1927266292675711, 2.0152278719858248, 1.0774561185292038, 0.8935730877197218, 1.1635655062178405, 1.1531266794117454]|  0.3970864993342153|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[1.2320054637414508, 1.9149585149018602, 1.1011929604192814, 0.8669543016412387, 1.2030975990062331, 1.1876729584719465]|  0.3516531780634983|      0.25000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
       9|[1.2320054637414508, 1.9149585149018602, 1.1011929604192814, 0.8669543016412387, 1.2030975990062331, 1.1876729584719465]|  0.3516531780634983|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[1.220637332124579, 1.9738228720917963, 1.135512022110386, 0.8066883964057024, 1.2681483414569794, 1.132997766533122]|  0.3304317626921122|      0.25000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      11|[1.220637332124579, 1.9738228720917963, 1.135512022110386, 0.8066883964057024, 1.2681483414569794, 1.132997766533122]|  0.3304317626921122|      0.12500000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[1.2608805082583403, 1.9455313004452877, 1.213350551015019, 0.7267588324582204, 1.284518703984682, 1.110872821238792]|  0.3233591708076326|      0.25000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[1.2608805082583403, 1.9455313004452877, 1.213350551015019, 0.7267588324582204, 1.284518703984682, 1.110872821238792]|  0.3233591708076326|      0.12500000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[1.2608805082583403, 1.9455313004452877, 1.213350551015019, 0.7267588324582204, 1.284518703984682, 1.110872821238792]|  0.3233591708076326|      0.06250000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[1.2817698751421327, 1.9328932555296972, 1.179917383902014, 0.7598365862053593, 1.3026587579082047, 1.0831385795979065]|  0.3126265443842572|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      16|[1.2817698751421327, 1.9328932555296972, 1.179917383902014, 0.7598365862053593, 1.3026587579082047, 1.0831385795979065]|  0.3126265443842572|      0.06250000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[1.2817698751421327, 1.9328932555296972, 1.179917383902014, 0.7598365862053593, 1.3026587579082047, 1.0831385795979065]|  0.3126265443842572|      0.03125000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[1.2848841072321735, 1.9359609748019322, 1.1989807276643294, 0.7435423672831872, 1.3076220291831198, 1.1005714924217533]|  0.3041087627214726|      0.06250000|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      19|[1.3201456815941688, 1.922697483802685, 1.2041919061361706, 0.729143273656528, 1.3540383445030786, 1.1104703092101298]|  0.2966309652602263|      0.12500000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      20|[1.3201456815941688, 1.922697483802685, 1.2041919061361706, 0.729143273656528, 1.3540383445030786, 1.1104703092101298]|  0.2966309652602263|      0.06250000|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[1.3201456815941688, 1.922697483802685, 1.2041919061361706, 0.729143273656528, 1.3540383445030786, 1.1104703092101298]|  0.2966309652602263|      0.03125000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[1.3201456815941688, 1.922697483802685, 1.2041919061361706, 0.729143273656528, 1.3540383445030786, 1.1104703092101298]|  0.2966309652602263|      0.01562500|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[1.325089960783102, 1.924039962260329, 1.2149738228184173, 0.7227978199250698, 1.3607804027513595, 1.1144606249956839]|  0.2954996697544677|      0.03125000|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      24|[1.325089960783102, 1.924039962260329, 1.2149738228184173, 0.7227978199250698, 1.3607804027513595, 1.1144606249956839]|  0.2954996697544677|      0.01562500|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[1.325089960783102, 1.924039962260329, 1.2149738228184173, 0.7227978199250698, 1.3607804027513595, 1.1144606249956839]|  0.2954996697544677|      0.00781250|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      26|[1.330601771760359, 1.9252921185740492, 1.212305004208627, 0.723480695466304, 1.3650245532176044, 1.1125936821443652]|  0.2951510627716130|      0.01562500|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      27|[1.3457492022925261, 1.9220203217370946, 1.2135995281928447, 0.7242439667187583, 1.3649003646252216, 1.1139042242359622]|  0.2949752219832471|      0.03125000|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      28|[1.3457492022925261, 1.9220203217370946, 1.2135995281928447, 0.7242439667187583, 1.3649003646252216, 1.1139042242359622]|  0.2949752219832471|      0.01562500|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      29|[1.3457492022925261, 1.9220203217370946, 1.2135995281928447, 0.7242439667187583, 1.3649003646252216, 1.1139042242359622]|  0.2949752219832471|      0.00781250|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[1.3438415425617116, 1.9229070290447356, 1.2197115625506387, 0.7228881009258004, 1.364690563776886, 1.118072004018613]|  0.2945458217729598|      0.01562500|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
