k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[31, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[19.98663452973872, 2.017880668206174, 2.0037029035413005, 2.0239748763816214, 0.6989119558770318]|4994.5288085937500000|      1.00000000|[61, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       3|[19.98663452973872, 2.017880668206174, 2.0037029035413005, 2.0239748763816214, 0.6989119558770318]|4994.5288085937500000|      0.50000000|[91, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[19.98663452973872, 2.017880668206174, 2.0037029035413005, 2.0239748763816214, 0.6989119558770318]|4994.5288085937500000|      0.25000000|[121, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[19.98663452973872, 2.017880668206174, 2.0037029035413005, 2.0239748763816214, 0.6989119558770318]|4994.5288085937500000|      0.12500000|[151, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[19.988297643124074, 2.0213958006450197, 2.006957916302047, 2.027580497940977, 0.5740669228044145]|4075.9487304687500000|      0.25000000|[181, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       7|[20.017188082746877, 2.253643977279215, 2.0475255510312587, 2.0821257205312893, 0.5183424878270797]|3485.0544433593750000|      0.50000000|[211, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[20.017188082746877, 2.253643977279215, 2.0475255510312587, 2.0821257205312893, 0.5183424878270797]|3485.0544433593750000|      0.25000000|[241, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[20.017188082746877, 2.253643977279215, 2.0475255510312587, 2.0821257205312893, 0.5183424878270797]|3485.0544433593750000|      0.12500000|[271, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[20.017188082746877, 2.253643977279215, 2.0475255510312587, 2.0821257205312893, 0.5183424878270797]|3485.0544433593750000|      0.06250000|[301, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[20.02428110736832, 2.297420801003913, 2.056218943205384, 2.0883902892913753, 0.5610590983791041]|3449.1601562500000000|      0.12500000|[331, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      12|[20.02428110736832, 2.297420801003913, 2.056218943205384, 2.0883902892913753, 0.5610590983791041]|3449.1601562500000000|      0.06250000|[361, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[20.027967432448648, 2.313127844759953, 2.0621465170252917, 2.093045290657229, 0.5011496282200261]|3386.8139648437500000|      0.12500000|[391, 0, 0, 26]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      14|[20.027967432448648, 2.313127844759953, 2.0621465170252917, 2.093045290657229, 0.5011496282200261]|3386.8139648437500000|      0.06250000|[421, 0, 0, 28]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
