k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[100.08980831874739, 1.0143856853421531, -0.1328680268757471]                   |17928.7851562500000000|      0.50000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[100.08980831874739, 1.0143856853421531, -0.1328680268757471]                   |17928.7851562500000000|      0.25000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[100.20070640539171, 0.9058417984078382, 0.0631417662158682]                    |13400.5839843750000000|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[100.20070640539171, 0.9058417984078382, 0.0631417662158682]                    |13400.5839843750000000|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[100.20070640539171, 0.9058417984078382, 0.0631417662158682]                    |13400.5839843750000000|      0.12500000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[100.20070640539171, 0.9058417984078382, 0.0631417662158682]                    |13400.5839843750000000|      0.06250000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[100.20900586822874, 0.9159184752215521, 0.002020333796391]                     |4870.1660156250000000|      0.12500000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[100.20900586822874, 0.9159184752215521, 0.002020333796391]                     |4870.1660156250000000|      0.06250000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[100.20900586822874, 0.9159184752215521, 0.002020333796391]                     |4870.1660156250000000|      0.03125000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[100.20900586822874, 0.9159184752215521, 0.002020333796391]                     |4870.1660156250000000|      0.01562500|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[100.21223824050159, 0.9138228367409597, 0.0171630116919418]                    |1877.4221191406250000|      0.03125000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[100.21223824050159, 0.9138228367409597, 0.0171630116919418]                    |1877.4221191406250000|      0.01562500|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[100.21223824050159, 0.9138228367409597, 0.0171630116919418]                    |1877.4221191406250000|      0.00781250|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
