k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.939456117588996, -0.4089383528658367, -0.240200577033107, 0.3121090558407734, 0.3200575152115935, 0.1233873422837715, -0.5598444259188051]|59314.9135204147096374|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[9.939456117588996, -0.4089383528658367, -0.240200577033107, 0.3121090558407734, 0.3200575152115935, 0.1233873422837715, -0.5598444259188051]|59314.9135204147096374|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[10.026359564684974, -0.2203945933642837, -0.4719708208000729, -0.4533000878908815, 0.4726856099445006, -0.1859800241557171, -1.0051835503088944]|52522.3308853444614215|      2.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[10.419838571316351, 0.7441912307417907, 0.1185771071383482, -1.2553553176357388, 0.4626198864330337, -1.5350222823278936, -0.684726565057431]|44087.8260973067226587|      4.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       5|[10.419838571316351, 0.7441912307417907, 0.1185771071383482, -1.2553553176357388, 0.4626198864330337, -1.5350222823278936, -0.684726565057431]|44087.8260973067226587|      2.00000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[10.419838571316351, 0.7441912307417907, 0.1185771071383482, -1.2553553176357388, 0.4626198864330337, -1.5350222823278936, -0.684726565057431]|44087.8260973067226587|      1.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[10.419838571316351, 0.7441912307417907, 0.1185771071383482, -1.2553553176357388, 0.4626198864330337, -1.5350222823278936, -0.684726565057431]|44087.8260973067226587|      0.50000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[10.489574742466896, 0.8060630244840923, 0.1513966513181636, -1.4532125406107823, 0.4336566154118386, -1.4280191023225213, -0.2502204168738918]|24752.8704055555099330|      1.00000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[10.489574742466896, 0.8060630244840923, 0.1513966513181636, -1.4532125406107823, 0.4336566154118386, -1.4280191023225213, -0.2502204168738918]|24752.8704055555099330|      0.50000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[10.489574742466896, 0.8060630244840923, 0.1513966513181636, -1.4532125406107823, 0.4336566154118386, -1.4280191023225213, -0.2502204168738918]|24752.8704055555099330|      0.25000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[10.489574742466896, 0.8060630244840923, 0.1513966513181636, -1.4532125406107823, 0.4336566154118386, -1.4280191023225213, -0.2502204168738918]|24752.8704055555099330|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
