k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.50000000|[49, 16, 1, 2]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       2|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.25000000|[98, 32, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       3|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.12500000|[147, 48, 3, 6]                                                            |  | used linear model with 65 points | iterate failure | actual_k=16
       4|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.06250000|[196, 64, 4, 8]                                                            |  | used linear model with 65 points | iterate failure | actual_k=16
       5|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.03125000|[245, 80, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       6|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.01562500|[294, 96, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       7|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00781250|[343, 112, 7, 14]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
       8|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00390625|[392, 128, 8, 16]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
       9|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00195312|[441, 144, 9, 18]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
      10|[107.4700591085043, 0.0935961778586505, 0.9087197497034818, 102.4000238210473, 0.1815925990210375, 0.8177053978473167, 97.44026074487061, 0.2837825148239579, 0.7160275137739104, 96.30029714747089, 0.3050407853503879, 0.6945906066135641, 93.9900704172659, 0.3564908824375084, 0.6434628934584344, 89.72000223000926, 0.4679513800449625, 0.5321110187566931, 83.70980891453449, 0.6580991528063267, 0.3421629541336197, 78.31002982477507, 0.8762758259336507, 0.1237187463307003, 886.3699841963643, 910.0102134764445, 922.5197952475193, 926.4597211164688, 935.5600466128901, 952.8300110179712, 975.7300247082353]|  0.5703753051170168|      0.00390625|[490, 160, 10, 20]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      11|[107.4700591085043, 0.0935961778586505, 0.9087197497034818, 102.4000238210473, 0.1815925990210375, 0.8177053978473167, 97.44026074487061, 0.2837825148239579, 0.7160275137739104, 96.30029714747089, 0.3050407853503879, 0.6945906066135641, 93.9900704172659, 0.3564908824375084, 0.6434628934584344, 89.72000223000926, 0.4679513800449625, 0.5321110187566931, 83.70980891453449, 0.6580991528063267, 0.3421629541336197, 78.31002982477507, 0.8762758259336507, 0.1237187463307003, 886.3699841963643, 910.0102134764445, 922.5197952475193, 926.4597211164688, 935.5600466128901, 952.8300110179712, 975.7300247082353]|  0.5703753051170168|      0.00195312|[539, 176, 11, 22]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      12|[107.4701063543751, 0.0945424618979146, 0.9089804481022682, 102.4003981537771, 0.1827293124749275, 0.8181591659557195, 97.4404992125844, 0.2837371304198987, 0.7155828013829199, 96.30033411400899, 0.304923791294148, 0.6948237219184311, 93.9903368402714, 0.356196227319911, 0.643654260556405, 89.71984563176491, 0.4674216556366505, 0.532116187305501, 83.70967562917839, 0.6581039802965629, 0.3421258867161533, 78.31001427944219, 0.8759525030649442, 0.1239799517017533, 886.3700938951968, 910.0101903282373, 922.5196858089214, 926.4597810404185, 935.5597505720742, 952.8302439713427, 975.7298730149679]|  0.3586140652662169|      0.00390625|[588, 192, 12, 24]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      13|[107.4701063543751, 0.0945424618979146, 0.9089804481022682, 102.4003981537771, 0.1827293124749275, 0.8181591659557195, 97.4404992125844, 0.2837371304198987, 0.7155828013829199, 96.30033411400899, 0.304923791294148, 0.6948237219184311, 93.9903368402714, 0.356196227319911, 0.643654260556405, 89.71984563176491, 0.4674216556366505, 0.532116187305501, 83.70967562917839, 0.6581039802965629, 0.3421258867161533, 78.31001427944219, 0.8759525030649442, 0.1239799517017533, 886.3700938951968, 910.0101903282373, 922.5196858089214, 926.4597810404185, 935.5597505720742, 952.8302439713427, 975.7298730149679]|  0.3586140652662169|      0.00195312|[637, 208, 13, 26]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      14|[107.4701063543751, 0.0945424618979146, 0.9089804481022682, 102.4003981537771, 0.1827293124749275, 0.8181591659557195, 97.4404992125844, 0.2837371304198987, 0.7155828013829199, 96.30033411400899, 0.304923791294148, 0.6948237219184311, 93.9903368402714, 0.356196227319911, 0.643654260556405, 89.71984563176491, 0.4674216556366505, 0.532116187305501, 83.70967562917839, 0.6581039802965629, 0.3421258867161533, 78.31001427944219, 0.8759525030649442, 0.1239799517017533, 886.3700938951968, 910.0101903282373, 922.5196858089214, 926.4597810404185, 935.5597505720742, 952.8302439713427, 975.7298730149679]|  0.3586140652662169|      0.00097656|[686, 224, 14, 28]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      15|[107.47016869962049, 0.0942540021608852, 0.9087085959203866, 102.40035540038542, 0.1829986312434007, 0.8182651169230413, 97.44061991504073, 0.2841729345507557, 0.7154399808764881, 96.30032632074612, 0.3047291405741592, 0.6945698735445603, 93.99035854660225, 0.3563516208755005, 0.6436832579367866, 89.71985758516628, 0.4676802321689869, 0.53212664353579, 83.70973632186048, 0.6577611509731217, 0.3420951988859451, 78.3100786853371, 0.8758760772748695, 0.1239825181385106, 886.3702572687442, 910.0104091903318, 922.5196017085476, 926.4598870641223, 935.5599490088938, 952.8303949116505, 975.7298770595324]|  0.3194056250912508|      0.00195312|[735, 240, 15, 30]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      16|[107.47016869962049, 0.0942540021608852, 0.9087085959203866, 102.40035540038542, 0.1829986312434007, 0.8182651169230413, 97.44061991504073, 0.2841729345507557, 0.7154399808764881, 96.30032632074612, 0.3047291405741592, 0.6945698735445603, 93.99035854660225, 0.3563516208755005, 0.6436832579367866, 89.71985758516628, 0.4676802321689869, 0.53212664353579, 83.70973632186048, 0.6577611509731217, 0.3420951988859451, 78.3100786853371, 0.8758760772748695, 0.1239825181385106, 886.3702572687442, 910.0104091903318, 922.5196017085476, 926.4598870641223, 935.5599490088938, 952.8303949116505, 975.7298770595324]|  0.3194056250912508|      0.00097656|[784, 256, 16, 32]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      17|[107.47026090546275, 0.0946549540383388, 0.9090425741361788, 102.40044085709691, 0.1832166699589151, 0.8182935041738245, 97.44054808969759, 0.284162516918351, 0.7155299842086268, 96.30016125694334, 0.3050109293688762, 0.6946218748181778, 93.99047313489704, 0.3562688296382651, 0.643481299905712, 89.71983707416898, 0.4677735919723911, 0.5321107857971686, 83.7097236277028, 0.6577163370762316, 0.3417722174949684, 78.31006832070507, 0.8757728430158666, 0.1238384882898825, 886.3700500819626, 910.0103973850639, 922.5198980286966, 926.4601044609284, 935.559781037958, 952.8301166885984, 975.7299279018983]|  0.2778610826755588|      0.00195312|[833, 272, 17, 34]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      18|[107.47026090546275, 0.0946549540383388, 0.9090425741361788, 102.40044085709691, 0.1832166699589151, 0.8182935041738245, 97.44054808969759, 0.284162516918351, 0.7155299842086268, 96.30016125694334, 0.3050109293688762, 0.6946218748181778, 93.99047313489704, 0.3562688296382651, 0.643481299905712, 89.71983707416898, 0.4677735919723911, 0.5321107857971686, 83.7097236277028, 0.6577163370762316, 0.3417722174949684, 78.31006832070507, 0.8757728430158666, 0.1238384882898825, 886.3700500819626, 910.0103973850639, 922.5198980286966, 926.4601044609284, 935.559781037958, 952.8301166885984, 975.7299279018983]|  0.2778610826755588|      0.00097656|[882, 288, 18, 36]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      19|[107.47041020311688, 0.0946817156359964, 0.9090503282615173, 102.40048108555432, 0.1834610632611902, 0.8183275538605869, 97.44032148280753, 0.2845404889924761, 0.7159004472735994, 96.3005708180458, 0.3048441911675075, 0.6945037840599121, 93.99041678206775, 0.3563238708124075, 0.6431944740681071, 89.71960194285715, 0.4677603183476283, 0.5319675856890912, 83.70965853667947, 0.6577554422830296, 0.3416819307628496, 78.30995483080942, 0.8759026428880299, 0.123880888891541, 886.370012808249, 910.0105085715405, 922.5199287668249, 926.4601525835858, 935.5598744651402, 952.8302514694913, 975.7296570426191]|  0.2549606063650981|      0.00195312|[931, 304, 19, 38]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      20|[107.47041020311688, 0.0946817156359964, 0.9090503282615173, 102.40048108555432, 0.1834610632611902, 0.8183275538605869, 97.44032148280753, 0.2845404889924761, 0.7159004472735994, 96.3005708180458, 0.3048441911675075, 0.6945037840599121, 93.99041678206775, 0.3563238708124075, 0.6431944740681071, 89.71960194285715, 0.4677603183476283, 0.5319675856890912, 83.70965853667947, 0.6577554422830296, 0.3416819307628496, 78.30995483080942, 0.8759026428880299, 0.123880888891541, 886.370012808249, 910.0105085715405, 922.5199287668249, 926.4601525835858, 935.5598744651402, 952.8302514694913, 975.7296570426191]|  0.2549606063650981|      0.00097656|[980, 320, 20, 40]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      21|[107.47041020311688, 0.0946817156359964, 0.9090503282615173, 102.40048108555432, 0.1834610632611902, 0.8183275538605869, 97.44032148280753, 0.2845404889924761, 0.7159004472735994, 96.3005708180458, 0.3048441911675075, 0.6945037840599121, 93.99041678206775, 0.3563238708124075, 0.6431944740681071, 89.71960194285715, 0.4677603183476283, 0.5319675856890912, 83.70965853667947, 0.6577554422830296, 0.3416819307628496, 78.30995483080942, 0.8759026428880299, 0.123880888891541, 886.370012808249, 910.0105085715405, 922.5199287668249, 926.4601525835858, 935.5598744651402, 952.8302514694913, 975.7296570426191]|  0.2549606063650981|      0.00048828|[1029, 336, 21, 42]                                                        |  | used linear model with 65 points | iterate failure | actual_k=16
      22|[107.47034710228252, 0.0946532262668563, 0.9090794917912122, 102.40050837693077, 0.1836869613114956, 0.8184142685750089, 97.44032806453536, 0.2845380985486486, 0.7159887298909249, 96.30060733126575, 0.3050896684663649, 0.6946703753302578, 93.99035363038945, 0.3563022096207361, 0.643105434183898, 89.71957401811984, 0.4675848091951562, 0.5319524179181331, 83.70967266789272, 0.657758814698736, 0.3416969310109405, 78.30991234742838, 0.8760184471347494, 0.1239430173948243, 886.3699684448408, 910.0105085550688, 922.519862912401, 926.4601402605186, 935.5599503724106, 952.8302552340131, 975.7296383452609]|  0.2336730919674124|      0.00097656|[1078, 352, 22, 44]                                                        |  | used linear model with 65 points | iterate success | actual_k=16
      23|[107.47034710228252, 0.0946532262668563, 0.9090794917912122, 102.40050837693077, 0.1836869613114956, 0.8184142685750089, 97.44032806453536, 0.2845380985486486, 0.7159887298909249, 96.30060733126575, 0.3050896684663649, 0.6946703753302578, 93.99035363038945, 0.3563022096207361, 0.643105434183898, 89.71957401811984, 0.4675848091951562, 0.5319524179181331, 83.70967266789272, 0.657758814698736, 0.3416969310109405, 78.30991234742838, 0.8760184471347494, 0.1239430173948243, 886.3699684448408, 910.0105085550688, 922.519862912401, 926.4601402605186, 935.5599503724106, 952.8302552340131, 975.7296383452609]|  0.2336730919674124|      0.00048828|[1127, 368, 23, 46]                                                        |  | used linear model with 65 points | iterate failure | actual_k=16
      24|[107.47033387806499, 0.0948077281552051, 0.9092659320035988, 102.40056328082699, 0.1836358287462897, 0.8183711135362556, 97.4403200861161, 0.2847000252459634, 0.7161669128798984, 96.3006741430034, 0.3051885226015232, 0.6946460835482741, 93.99035357356077, 0.3564607776838145, 0.6431102834088352, 89.7195868359622, 0.467491815852386, 0.5318712948078776, 83.70973928304873, 0.6577146000823031, 0.3417468510421244, 78.3098549622904, 0.8760884921505325, 0.1239591245094731, 886.3700691715428, 910.0104945929766, 922.5197503150513, 926.4600824793167, 935.5598300054722, 952.8302693928922, 975.7296206688997]|  0.2240954966272979|      0.00097656|[1176, 384, 24, 48]                                                        |  | used linear model with 65 points | iterate success | actual_k=16
      25|[107.47033387806499, 0.0948077281552051, 0.9092659320035988, 102.40056328082699, 0.1836358287462897, 0.8183711135362556, 97.4403200861161, 0.2847000252459634, 0.7161669128798984, 96.3006741430034, 0.3051885226015232, 0.6946460835482741, 93.99035357356077, 0.3564607776838145, 0.6431102834088352, 89.7195868359622, 0.467491815852386, 0.5318712948078776, 83.70973928304873, 0.6577146000823031, 0.3417468510421244, 78.3098549622904, 0.8760884921505325, 0.1239591245094731, 886.3700691715428, 910.0104945929766, 922.5197503150513, 926.4600824793167, 935.5598300054722, 952.8302693928922, 975.7296206688997]|  0.2240954966272979|      0.00048828|[1225, 400, 25, 50]                                                        |  | used linear model with 65 points | iterate failure | actual_k=16
