k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.06250000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.03125000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.01562500|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00781250|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00390625|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00195312|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00097656|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00048828|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00024414|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00012207|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[-1.1568116226e-06, -4.15802015448e-05, 0.010077173682211, 0.0003389573845069, 3.80093473958e-05, 0.0979671945805148, 0.0001417091314709, -5.83259865985e-05]|2566.3024845754835042|      0.00024414|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[-1.1568116226e-06, -4.15802015448e-05, 0.010077173682211, 0.0003389573845069, 3.80093473958e-05, 0.0979671945805148, 0.0001417091314709, -5.83259865985e-05]|2566.3024845754835042|      0.00012207|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[-1.1568116226e-06, -4.15802015448e-05, 0.010077173682211, 0.0003389573845069, 3.80093473958e-05, 0.0979671945805148, 0.0001417091314709, -5.83259865985e-05]|2566.3024845754835042|      0.00006104|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[4.7557549429e-06, -7.38784373584e-05, 0.010041443688332, 0.0003602427869259, 4.14011087391e-05, 0.0979690573236903, 0.0001670839633768, -4.22449714482e-05]|1649.6596193531504468|      0.00012207|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      18|[4.7557549429e-06, -7.38784373584e-05, 0.010041443688332, 0.0003602427869259, 4.14011087391e-05, 0.0979690573236903, 0.0001670839633768, -4.22449714482e-05]|1649.6596193531504468|      0.00006104|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[4.7557549429e-06, -7.38784373584e-05, 0.010041443688332, 0.0003602427869259, 4.14011087391e-05, 0.0979690573236903, 0.0001670839633768, -4.22449714482e-05]|1649.6596193531504468|      0.00003052|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[4.7557549429e-06, -7.38784373584e-05, 0.010041443688332, 0.0003602427869259, 4.14011087391e-05, 0.0979690573236903, 0.0001670839633768, -4.22449714482e-05]|1649.6596193531504468|      0.00001526|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      21|[4.7557549429e-06, -7.38784373584e-05, 0.010041443688332, 0.0003602427869259, 4.14011087391e-05, 0.0979690573236903, 0.0001670839633768, -4.22449714482e-05]|1649.6596193531504468|      0.00000763|[147, 42, 21, 63]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      22|[1.8643035402e-06, -7.48237913596e-05, 0.0100393021788976, 0.0003602717022167, 4.00631816621e-05, 0.0979676301830533, 0.0001679508254862, -3.59371709138e-05]|1602.6122994484096580|      0.00001526|[154, 44, 22, 66]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      23|[1.8643035402e-06, -7.48237913596e-05, 0.0100393021788976, 0.0003602717022167, 4.00631816621e-05, 0.0979676301830533, 0.0001679508254862, -3.59371709138e-05]|1602.6122994484096580|      0.00000763|[161, 46, 23, 69]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      24|[1.8643035402e-06, -7.48237913596e-05, 0.0100393021788976, 0.0003602717022167, 4.00631816621e-05, 0.0979676301830533, 0.0001679508254862, -3.59371709138e-05]|1602.6122994484096580|      0.00000381|[168, 48, 24, 72]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      25|[1.8643035402e-06, -7.48237913596e-05, 0.0100393021788976, 0.0003602717022167, 4.00631816621e-05, 0.0979676301830533, 0.0001679508254862, -3.59371709138e-05]|1602.6122994484096580|      0.00000191|[175, 50, 25, 75]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      26|[1.3560435946e-06, -7.59537490611e-05, 0.0100385934093562, 0.0003596248895206, 3.94742928455e-05, 0.0979672346805962, 0.0001673057109881, -3.64497529593e-05]|1600.5039887134510082|      0.00000381|[182, 52, 26, 78]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      27|[1.3560435946e-06, -7.59537490611e-05, 0.0100385934093562, 0.0003596248895206, 3.94742928455e-05, 0.0979672346805962, 0.0001673057109881, -3.64497529593e-05]|1600.5039887134510082|      0.00000191|[189, 54, 27, 81]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
