k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.01374213571383, 149.9193730456132, -99.99210525809684, 1.137250377825545, 1.9564715472705603]|84553.9609375000000000|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[49.01374213571383, 149.9193730456132, -99.99210525809684, 1.137250377825545, 1.9564715472705603]|84553.9609375000000000|      1.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[48.01756009523645, 149.8594647454372, -100.05484148656227, 1.1448485327134745, 1.9502448723493953]|81282.3359375000000000|      2.00000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[46.03550504514554, 149.71715667227764, -100.22361005570727, 1.2828926569596306, 1.8896876221427605]|74956.5000000000000000|      4.00000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[46.03550504514554, 149.71715667227764, -100.22361005570727, 1.2828926569596306, 1.8896876221427605]|74956.5000000000000000|      2.00000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[44.0413300719152, 149.60424315132903, -100.32427475983923, 1.2798724962506491, 1.9090321019774246]|68874.8203125000000000|      4.00000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[44.0413300719152, 149.60424315132903, -100.32427475983923, 1.2798724962506491, 1.9090321019774246]|68874.8203125000000000|      2.00000000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[42.41233096428603, 149.71858033297823, -100.30103288241378, 2.2786627423493178, 2.4879680014238095]|64159.5859375000000000|      4.00000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       9|[42.41233096428603, 149.71858033297823, -100.30103288241378, 2.2786627423493178, 2.4879680014238095]|64159.5859375000000000|      2.00000000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[40.41988926901722, 149.5959922786354, -100.42409440948113, 2.2805630600169566, 2.488681608742758]|58555.6875000000000000|      4.00000000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      11|[40.41988926901722, 149.5959922786354, -100.42409440948113, 2.2805630600169566, 2.488681608742758]|58555.6875000000000000|      2.00000000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[38.42814490655606, 149.46636043609604, -100.55022078548765, 2.2730471273572608, 2.475057070741226]|53215.9335937500000000|      4.00000000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      13|[38.42814490655606, 149.46636043609604, -100.55022078548765, 2.2730471273572608, 2.475057070741226]|53215.9335937500000000|      2.00000000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[36.43701356503695, 149.32511278767524, -100.67436611690918, 2.2680047697790626, 2.4723013580910047]|48140.0625000000000000|      4.00000000|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      15|[36.43701356503695, 149.32511278767524, -100.67436611690918, 2.2680047697790626, 2.4723013580910047]|48140.0625000000000000|      2.00000000|[400, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[34.44524097916931, 149.19980246016806, -100.80488407048448, 2.2743283039831774, 2.4642785957309212]|43328.1796875000000000|      4.00000000|[426, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      17|[34.44524097916931, 149.19980246016806, -100.80488407048448, 2.2743283039831774, 2.4642785957309212]|43328.1796875000000000|      2.00000000|[452, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[32.454738856884454, 149.0490438585397, -100.92615530489964, 2.2655964919393723, 2.484031782218008]|38780.5078125000000000|      4.00000000|[478, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      19|[32.454738856884454, 149.0490438585397, -100.92615530489964, 2.2655964919393723, 2.484031782218008]|38780.5078125000000000|      2.00000000|[504, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[30.465862896211075, 148.90205957256433, -101.07647719665034, 2.2757324847077385, 2.4757478675071556]|34496.0898437500000000|      4.00000000|[530, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[30.465862896211075, 148.90205957256433, -101.07647719665034, 2.2757324847077385, 2.4757478675071556]|34496.0898437500000000|      2.00000000|[557, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[28.477671166130023, 148.7473751433044, -101.22806020262266, 2.2651384224336666, 2.484507429526838]|30475.2636718750000000|      4.00000000|[583, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      23|[28.477671166130023, 148.7473751433044, -101.22806020262266, 2.2651384224336666, 2.484507429526838]|30475.2636718750000000|      2.00000000|[610, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      24|[26.49096242625365, 148.55280781020733, -101.34995314044008, 2.2523465304554064, 2.495015283740767]|26719.1347656250000000|      4.00000000|[636, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      25|[26.49096242625365, 148.55280781020733, -101.34995314044008, 2.2523465304554064, 2.495015283740767]|26719.1347656250000000|      2.00000000|[662, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
