k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[59, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[117, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[175, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[119.9937962985888, 0.0014467873111011, 0.8614624575875119, 109.98629664393275, 0.2027689163074583, 0.7989331182870639, 99.99409726808629, 0.2830976685861388, 0.723815916860821, 88.00342074490976, 0.327689899652886, 0.7247824328467865, 86.00411355094113, 0.3660594775629318, 0.6426827759083316, 83.99768167320066, 0.4688260165184596, 0.5239620894851126, 79.99859874484974, 0.6280897363642561, 0.3447910120325241, 76.01627455986068, 0.8843037705788563, 0.1152850001551537, 886.375217131294, 910.020127543031, 922.5161868541587, 926.4799564100192, 935.5744825990344, 952.84386250862, 975.7128708418734]|1914.8951416015625000|      0.25000000|[205, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       5|[119.9937962985888, 0.0014467873111011, 0.8614624575875119, 109.98629664393275, 0.2027689163074583, 0.7989331182870639, 99.99409726808629, 0.2830976685861388, 0.723815916860821, 88.00342074490976, 0.327689899652886, 0.7247824328467865, 86.00411355094113, 0.3660594775629318, 0.6426827759083316, 83.99768167320066, 0.4688260165184596, 0.5239620894851126, 79.99859874484974, 0.6280897363642561, 0.3447910120325241, 76.01627455986068, 0.8843037705788563, 0.1152850001551537, 886.375217131294, 910.020127543031, 922.5161868541587, 926.4799564100192, 935.5744825990344, 952.84386250862, 975.7128708418734]|1914.8951416015625000|      0.12500000|[263, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[119.9937962985888, 0.0014467873111011, 0.8614624575875119, 109.98629664393275, 0.2027689163074583, 0.7989331182870639, 99.99409726808629, 0.2830976685861388, 0.723815916860821, 88.00342074490976, 0.327689899652886, 0.7247824328467865, 86.00411355094113, 0.3660594775629318, 0.6426827759083316, 83.99768167320066, 0.4688260165184596, 0.5239620894851126, 79.99859874484974, 0.6280897363642561, 0.3447910120325241, 76.01627455986068, 0.8843037705788563, 0.1152850001551537, 886.375217131294, 910.020127543031, 922.5161868541587, 926.4799564100192, 935.5744825990344, 952.84386250862, 975.7128708418734]|1914.8951416015625000|      0.06250000|[321, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[120.00205380223373, 0.0111765325521709, 0.8528854008555925, 109.98680476379057, 0.1729875627721514, 0.7783907763656974, 99.99726745715763, 0.2860316549988769, 0.7219008183018804, 88.00327273013623, 0.3393152718534777, 0.7469382852951137, 86.0110003612889, 0.3636032074630443, 0.6566757387205585, 83.99238467435032, 0.4686975349705622, 0.5189398808454546, 80.00706742075813, 0.6225562144407232, 0.3481482929042554, 76.01952157507094, 0.8634725856737606, 0.1150321388217407, 886.386595146688, 910.034643239655, 922.5070204168455, 926.4756191012318, 935.5787029471874, 952.8440829769037, 975.693104742909]|1153.1442871093750000|      0.12500000|[351, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[119.9817002076011, -0.0106516819642124, 0.8763293409581001, 109.99157302851606, 0.1352570052294302, 0.7592758164820181, 99.95475858777176, 0.2517877598850571, 0.7281536805035438, 88.01902875106286, 0.3960598440838484, 0.7666967938880056, 85.99397514896357, 0.3847014235970093, 0.6460623170316131, 83.97303377384779, 0.4623843640490918, 0.5133293981575849, 79.99879064434931, 0.6366607197080743, 0.3124426010428358, 76.01960500178119, 0.8730622366843088, 0.1274640995281978, 886.3885194495351, 910.0349529272848, 922.4781673800895, 926.4456979978614, 935.5544874999861, 952.8430021779603, 975.702808922386]|465.7127685546875000|      0.25000000|[409, 0, 0, 28]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | iterate success | actual_k=0
       9|[119.9817002076011, -0.0106516819642124, 0.8763293409581001, 109.99157302851606, 0.1352570052294302, 0.7592758164820181, 99.95475858777176, 0.2517877598850571, 0.7281536805035438, 88.01902875106286, 0.3960598440838484, 0.7666967938880056, 85.99397514896357, 0.3847014235970093, 0.6460623170316131, 83.97303377384779, 0.4623843640490918, 0.5133293981575849, 79.99879064434931, 0.6366607197080743, 0.3124426010428358, 76.01960500178119, 0.8730622366843088, 0.1274640995281978, 886.3885194495351, 910.0349529272848, 922.4781673800895, 926.4456979978614, 935.5544874999861, 952.8430021779603, 975.702808922386]|465.7127685546875000|      0.12500000|[467, 0, 0, 32]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[119.9817002076011, -0.0106516819642124, 0.8763293409581001, 109.99157302851606, 0.1352570052294302, 0.7592758164820181, 99.95475858777176, 0.2517877598850571, 0.7281536805035438, 88.01902875106286, 0.3960598440838484, 0.7666967938880056, 85.99397514896357, 0.3847014235970093, 0.6460623170316131, 83.97303377384779, 0.4623843640490918, 0.5133293981575849, 79.99879064434931, 0.6366607197080743, 0.3124426010428358, 76.01960500178119, 0.8730622366843088, 0.1274640995281978, 886.3885194495351, 910.0349529272848, 922.4781673800895, 926.4456979978614, 935.5544874999861, 952.8430021779603, 975.702808922386]|465.7127685546875000|      0.06250000|[525, 0, 0, 36]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
