k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.06250000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.03125000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.01562500|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.00781250|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[1.205695174587683, -1.199370470963285, 0.9746892716264394]                     |  0.0001425282214016|      0.01562500|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[1.205695174587683, -1.199370470963285, 0.9746892716264394]                     |  0.0001425282214016|      0.00781250|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[1.205695174587683, -1.199370470963285, 0.9746892716264394]                     |  0.0001425282214016|      0.00390625|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[1.205695174587683, -1.199370470963285, 0.9746892716264394]                     |  0.0001425282214016|      0.00195312|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[1.205695174587683, -1.199370470963285, 0.9746892716264394]                     |  0.0001425282214016|      0.00097656|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[1.2053542459901534, -1.2000484818644015, 0.9753038798152557]                   |  0.0001187046708778|      0.00195312|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[1.2053542459901534, -1.2000484818644015, 0.9753038798152557]                   |  0.0001187046708778|      0.00097656|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[1.2044094495697686, -1.2002707702821078, 0.9751960748998398]                   |  0.0001118255356924|      0.00195312|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
