k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[121, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[241, 16, 1, 5]                                                            |  | trying linear partial model with 61 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[362, 24, 1, 7]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[119.99932566321212, -0.0196048625675299, 0.8633135628618607, 109.9945614874805, 0.1956606679028343, 0.827905835293438, 99.99945974970701, 0.2718016395368987, 0.7130372491248583, 87.99915902529082, 0.3272317940316745, 0.7050919520671942, 85.99960533563603, 0.3589936108016836, 0.6398380028561154, 83.9994199643124, 0.4649209472510932, 0.5268395499568729, 80.0013540045371, 0.6585020939380942, 0.3407906777903065, 76.00051034995157, 0.8784329714107147, 0.1244558207992429, 886.3690029317336, 910.0118180902853, 922.5175671581168, 926.4632364572561, 935.5594137934023, 952.8306064384417, 975.7264997113521]|2451.8505859375000000|      0.25000000|[482, 32, 1, 9]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       5|[119.99932566321212, -0.0196048625675299, 0.8633135628618607, 109.9945614874805, 0.1956606679028343, 0.827905835293438, 99.99945974970701, 0.2718016395368987, 0.7130372491248583, 87.99915902529082, 0.3272317940316745, 0.7050919520671942, 85.99960533563603, 0.3589936108016836, 0.6398380028561154, 83.9994199643124, 0.4649209472510932, 0.5268395499568729, 80.0013540045371, 0.6585020939380942, 0.3407906777903065, 76.00051034995157, 0.8784329714107147, 0.1244558207992429, 886.3690029317336, 910.0118180902853, 922.5175671581168, 926.4632364572561, 935.5594137934023, 952.8306064384417, 975.7264997113521]|2451.8505859375000000|      0.12500000|[602, 40, 2, 12]                                                           |  | trying linear partial model with 61 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[119.99932566321212, -0.0196048625675299, 0.8633135628618607, 109.9945614874805, 0.1956606679028343, 0.827905835293438, 99.99945974970701, 0.2718016395368987, 0.7130372491248583, 87.99915902529082, 0.3272317940316745, 0.7050919520671942, 85.99960533563603, 0.3589936108016836, 0.6398380028561154, 83.9994199643124, 0.4649209472510932, 0.5268395499568729, 80.0013540045371, 0.6585020939380942, 0.3407906777903065, 76.00051034995157, 0.8784329714107147, 0.1244558207992429, 886.3690029317336, 910.0118180902853, 922.5175671581168, 926.4632364572561, 935.5594137934023, 952.8306064384417, 975.7264997113521]|2451.8505859375000000|      0.06250000|[723, 48, 2, 14]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[120.00018085175687, 0.0113041511285937, 0.873432055229851, 109.99529409509984, 0.1480127788609213, 0.8097277806476373, 99.99879152597755, 0.278904198885936, 0.7180873876575771, 87.99997621519073, 0.3380265600776934, 0.7090508394060062, 85.9995320505023, 0.3631516471342347, 0.639842544861768, 83.99977791093146, 0.463635921322531, 0.5268556770479682, 80.00008389938061, 0.6561108149968219, 0.3400991677991122, 75.9995025870933, 0.8785490355409042, 0.12286007281336, 886.367284475597, 910.0127715857991, 922.518245760102, 926.4628481301527, 935.5581405589477, 952.8308872614657, 975.7257442739939]|1190.7590332031250000|      0.12500000|[843, 56, 2, 16]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       8|[120.00018085175687, 0.0113041511285937, 0.873432055229851, 109.99529409509984, 0.1480127788609213, 0.8097277806476373, 99.99879152597755, 0.278904198885936, 0.7180873876575771, 87.99997621519073, 0.3380265600776934, 0.7090508394060062, 85.9995320505023, 0.3631516471342347, 0.639842544861768, 83.99977791093146, 0.463635921322531, 0.5268556770479682, 80.00008389938061, 0.6561108149968219, 0.3400991677991122, 75.9995025870933, 0.8785490355409042, 0.12286007281336, 886.367284475597, 910.0127715857991, 922.518245760102, 926.4628481301527, 935.5581405589477, 952.8308872614657, 975.7257442739939]|1190.7590332031250000|      0.06250000|[963, 64, 2, 18]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[120.00043002126749, -0.0284121067829495, 0.8543544388503215, 109.99524386812408, 0.1306268881734965, 0.8088579950888989, 99.99959088665425, 0.2527520245902678, 0.7092645623306164, 87.99949993267286, 0.3626311026936917, 0.7204408779284964, 85.99924247059288, 0.3699903623958978, 0.6371640676384809, 83.99923329036423, 0.4663313069199536, 0.5264469791973905, 79.99811733643342, 0.6481693711589218, 0.3367316797062967, 75.99843629791908, 0.8784544396357697, 0.1251007193157, 886.3647322968275, 910.0110697490888, 922.5168860742629, 926.4616550833863, 935.5572401310818, 952.8321574091813, 975.7274059339098]|734.1830444335937500|      0.12500000|[1083, 72, 2, 20]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
      10|[120.00043002126749, -0.0284121067829495, 0.8543544388503215, 109.99524386812408, 0.1306268881734965, 0.8088579950888989, 99.99959088665425, 0.2527520245902678, 0.7092645623306164, 87.99949993267286, 0.3626311026936917, 0.7204408779284964, 85.99924247059288, 0.3699903623958978, 0.6371640676384809, 83.99923329036423, 0.4663313069199536, 0.5264469791973905, 79.99811733643342, 0.6481693711589218, 0.3367316797062967, 75.99843629791908, 0.8784544396357697, 0.1251007193157, 886.3647322968275, 910.0110697490888, 922.5168860742629, 926.4616550833863, 935.5572401310818, 952.8321574091813, 975.7274059339098]|734.1830444335937500|      0.06250000|[1203, 80, 2, 22]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
