k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.50000000|[9, 4, 0, 4]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.25000000|[18, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[999.9669666705191, 1000.0438727946539, 400.12340295527076, 40.186435724553625, 0.711358557682217, 0.2945069261061119, -0.0666344533788996]|1361092.5000000000000000|      0.50000000|[22, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[999.9669666705191, 1000.0438727946539, 400.12340295527076, 40.186435724553625, 0.711358557682217, 0.2945069261061119, -0.0666344533788996]|1361092.5000000000000000|      0.25000000|[30, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[999.9669666705191, 1000.0438727946539, 400.12340295527076, 40.186435724553625, 0.711358557682217, 0.2945069261061119, -0.0666344533788996]|1361092.5000000000000000|      0.12500000|[39, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[999.9669666705191, 1000.0438727946539, 400.12340295527076, 40.186435724553625, 0.711358557682217, 0.2945069261061119, -0.0666344533788996]|1361092.5000000000000000|      0.06250000|[48, 23, 0, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[999.9669666705191, 1000.0438727946539, 400.12340295527076, 40.186435724553625, 0.711358557682217, 0.2945069261061119, -0.0666344533788996]|1361092.5000000000000000|      0.03125000|[57, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[999.9656315456511, 1000.0516938028768, 400.1122647069697, 40.18472020949662, 0.7166098415114786, 0.2679211464078785, -0.0594075217465783]|1309004.8750000000000000|      0.06250000|[61, 29, 0, 29]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[999.9656315456511, 1000.0516938028768, 400.1122647069697, 40.18472020949662, 0.7166098415114786, 0.2679211464078785, -0.0594075217465783]|1309004.8750000000000000|      0.03125000|[70, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[999.9663283343369, 1000.0430270047056, 400.1099540101914, 40.19159052934801, 0.7403629205322538, 0.2787244365573414, -0.0464652213519993]|1259419.1250000000000000|      0.06250000|[75, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[999.9663283343369, 1000.0430270047056, 400.1099540101914, 40.19159052934801, 0.7403629205322538, 0.2787244365573414, -0.0464652213519993]|1259419.1250000000000000|      0.03125000|[83, 40, 0, 40]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[999.9822141372937, 1000.0228981434014, 400.1134805051529, 40.18027791277495, 0.7450179052038834, 0.2814102203212576, -0.0587020072804906]|1235259.8750000000000000|      0.06250000|[88, 42, 0, 42]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[1000.0050458899352, 1000.0253948362611, 400.11061362322414, 40.152779813458956, 0.7816071190417304, 0.3163438892876964, -0.0661337850870385]|1222287.3750000000000000|      0.12500000|[96, 46, 0, 46]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=1
      14|[1000.0050458899352, 1000.0253948362611, 400.11061362322414, 40.152779813458956, 0.7816071190417304, 0.3163438892876964, -0.0661337850870385]|1222287.3750000000000000|      0.06250000|[105, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[999.9820522954022, 1000.0190411576756, 400.12408746676635, 40.149979532622176, 0.8339013520084407, 0.2970773219957862, -0.0726069550624983]|1094524.6250000000000000|      0.12500000|[109, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[999.9820522954022, 1000.0190411576756, 400.12408746676635, 40.149979532622176, 0.8339013520084407, 0.2970773219957862, -0.0726069550624983]|1094524.6250000000000000|      0.06250000|[118, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[999.9820522954022, 1000.0190411576756, 400.12408746676635, 40.149979532622176, 0.8339013520084407, 0.2970773219957862, -0.0726069550624983]|1094524.6250000000000000|      0.03125000|[126, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[999.9668571277933, 1000.003169540311, 400.1364577620689, 40.157564037963205, 0.8479420458934226, 0.2897263562628744, -0.066947058027195]|1091927.7500000000000000|      0.06250000|[131, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[999.9701900651322, 999.9794715549649, 400.1564462409945, 40.16904520663381, 0.8906698754595186, 0.3059414262187493, -0.0936602491942287]|1035770.7500000000000000|      0.12500000|[136, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[999.9701900651322, 999.9794715549649, 400.1564462409945, 40.16904520663381, 0.8906698754595186, 0.3059414262187493, -0.0936602491942287]|1035770.7500000000000000|      0.06250000|[144, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[999.9701900651322, 999.9794715549649, 400.1564462409945, 40.16904520663381, 0.8906698754595186, 0.3059414262187493, -0.0936602491942287]|1035770.7500000000000000|      0.03125000|[152, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
