k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.50000000|[33, 0, 1, 3]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       2|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.25000000|[66, 0, 2, 6]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       3|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.12500000|[99, 0, 3, 9]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       4|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.06250000|[132, 0, 4, 12]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       5|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.03125000|[165, 0, 5, 15]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       6|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.01562500|[198, 0, 6, 18]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       7|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00781250|[231, 0, 7, 21]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       8|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00390625|[264, 0, 8, 24]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       9|[107.46836215052144, 0.0950170951929804, 0.9086865293999232, 102.39954983090216, 0.1822921298745139, 0.8176770291304483, 97.44032270318873, 0.2839179965804674, 0.716331784225005, 96.29956688678304, 0.3048252323440648, 0.6952429801626323, 93.9899122575473, 0.3562418993681492, 0.6431154191723968, 89.71960264617697, 0.4677773865427801, 0.5316840864710659, 83.71025387436731, 0.6582264680308166, 0.3418463703419554, 78.30967690530487, 0.8756381613919416, 0.1236751567572995, 886.3699209109976, 910.0098448087232, 922.5199834928316, 926.4602603368584, 935.5592440963538, 952.8301578724006, 975.7297810859928]|  0.5520354498625566|      0.00781250|[297, 0, 9, 27]                                                            |  | used linear model with 33 points | iterate success | actual_k=0
      10|[107.46836215052144, 0.0950170951929804, 0.9086865293999232, 102.39954983090216, 0.1822921298745139, 0.8176770291304483, 97.44032270318873, 0.2839179965804674, 0.716331784225005, 96.29956688678304, 0.3048252323440648, 0.6952429801626323, 93.9899122575473, 0.3562418993681492, 0.6431154191723968, 89.71960264617697, 0.4677773865427801, 0.5316840864710659, 83.71025387436731, 0.6582264680308166, 0.3418463703419554, 78.30967690530487, 0.8756381613919416, 0.1236751567572995, 886.3699209109976, 910.0098448087232, 922.5199834928316, 926.4602603368584, 935.5592440963538, 952.8301578724006, 975.7297810859928]|  0.5520354498625566|      0.00390625|[330, 0, 10, 30]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
      11|[107.46836215052144, 0.0950170951929804, 0.9086865293999232, 102.39954983090216, 0.1822921298745139, 0.8176770291304483, 97.44032270318873, 0.2839179965804674, 0.716331784225005, 96.29956688678304, 0.3048252323440648, 0.6952429801626323, 93.9899122575473, 0.3562418993681492, 0.6431154191723968, 89.71960264617697, 0.4677773865427801, 0.5316840864710659, 83.71025387436731, 0.6582264680308166, 0.3418463703419554, 78.30967690530487, 0.8756381613919416, 0.1236751567572995, 886.3699209109976, 910.0098448087232, 922.5199834928316, 926.4602603368584, 935.5592440963538, 952.8301578724006, 975.7297810859928]|  0.5520354498625566|      0.00195312|[363, 0, 11, 33]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
