k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.50000000|[100, 0, 1, 8]                                                             |  | used linear model with 100 points | iterate failure | actual_k=0
       2|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.25000000|[200, 0, 2, 16]                                                            |  | used linear model with 100 points | iterate failure | actual_k=0
       3|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.12500000|[300, 0, 3, 24]                                                            |  | used linear model with 100 points | iterate failure | actual_k=0
       4|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.06250000|[400, 0, 4, 32]                                                            |  | used linear model with 100 points | iterate failure | actual_k=0
       5|[0.6024728612188676, 0.0216209340375059, 1.8915167836409663, 0.6522765938277257, 0.0253964042233995, 2.0076361192902006, 1.3019097885783826, 0.0244787549535402, 2.1103031498300733, -0.0160675584167248, 0.0151977089734814, 2.1538605610565593, 1.2378500045743273, 0.0201475295644038, 2.2232731932969005, 0.222556114055221, 0.0147664221711962, 2.279477691654741, 1.3338844099731961, 0.0231236551588346, 2.3847041694579065, 4.501204386449211, 0.0424130982410474, 2.4891850214285203, 0.6646103255660831, 0.0225466356743232, 2.554994087762791, 4.38579796329499, 0.0546023774494747, 2.70210693031442, 0.2209548763352125, 0.0215320752310395, 2.939303397894679, 0.2342444142380177, 0.0260468222851127, 2.9702359671016763, 0.7112200028663517, 0.0169209660919368, 3.1284642065522332, 0.2028278374314995, 0.0193743662680576, 3.2254680807053524, -0.0677801549333216, 0.025090932709573, 3.247695742418662, 1.3797886789204035, 0.0340493687341963, 3.3864395764216173, 0.2413239095794465, 0.0265146818578877, 3.6671781216515456, 0.0597022115063557, 0.0147280473478912, 3.7183367788242836, 0.0237405111377065, 0.0194640755619009, 3.831556494889568, 0.4185644600178587, 0.0136731065620969, 3.9625885307698114, 0.2561716386699556, 0.018889190078097, 4.051398531630386, 0.8229228698952499, 0.0192460445548064, 4.16922633647924, 0.9644733733969403, 0.0253076426785567, 4.421874051199299, 0.7382381088939978, 0.0203056374774923, 4.560662820176434, 0.2199648808754104, 0.018069107278552, 4.602761407628085, 0.4952806835857945, 0.0136961817843515, 4.714559986580531, 0.0524519233584501, 0.0203746209290149, 4.798179297563491, 0.3680049481829958, 0.0205554584200757, 4.960335692143274, 0.1666831217685398, 0.0112904138076783, 5.395625590856244, 0.286103146770295, 0.0132130364664995, 5.419455534318769, 0.1005131011542129, 0.0157912841507605, 2.578500897371443, -0.0079106049461905, 0.0227971221073367, 3.8641766001492144, 0.146328491117185, 0.024373457606982, 5.201494253944777]|316147.6879236127133481|      0.12500000|[500, 0, 5, 40]                                                            |  | used linear model with 100 points | iterate success | actual_k=0
       6|[0.6024728612188676, 0.0216209340375059, 1.8915167836409663, 0.6522765938277257, 0.0253964042233995, 2.0076361192902006, 1.3019097885783826, 0.0244787549535402, 2.1103031498300733, -0.0160675584167248, 0.0151977089734814, 2.1538605610565593, 1.2378500045743273, 0.0201475295644038, 2.2232731932969005, 0.222556114055221, 0.0147664221711962, 2.279477691654741, 1.3338844099731961, 0.0231236551588346, 2.3847041694579065, 4.501204386449211, 0.0424130982410474, 2.4891850214285203, 0.6646103255660831, 0.0225466356743232, 2.554994087762791, 4.38579796329499, 0.0546023774494747, 2.70210693031442, 0.2209548763352125, 0.0215320752310395, 2.939303397894679, 0.2342444142380177, 0.0260468222851127, 2.9702359671016763, 0.7112200028663517, 0.0169209660919368, 3.1284642065522332, 0.2028278374314995, 0.0193743662680576, 3.2254680807053524, -0.0677801549333216, 0.025090932709573, 3.247695742418662, 1.3797886789204035, 0.0340493687341963, 3.3864395764216173, 0.2413239095794465, 0.0265146818578877, 3.6671781216515456, 0.0597022115063557, 0.0147280473478912, 3.7183367788242836, 0.0237405111377065, 0.0194640755619009, 3.831556494889568, 0.4185644600178587, 0.0136731065620969, 3.9625885307698114, 0.2561716386699556, 0.018889190078097, 4.051398531630386, 0.8229228698952499, 0.0192460445548064, 4.16922633647924, 0.9644733733969403, 0.0253076426785567, 4.421874051199299, 0.7382381088939978, 0.0203056374774923, 4.560662820176434, 0.2199648808754104, 0.018069107278552, 4.602761407628085, 0.4952806835857945, 0.0136961817843515, 4.714559986580531, 0.0524519233584501, 0.0203746209290149, 4.798179297563491, 0.3680049481829958, 0.0205554584200757, 4.960335692143274, 0.1666831217685398, 0.0112904138076783, 5.395625590856244, 0.286103146770295, 0.0132130364664995, 5.419455534318769, 0.1005131011542129, 0.0157912841507605, 2.578500897371443, -0.0079106049461905, 0.0227971221073367, 3.8641766001492144, 0.146328491117185, 0.024373457606982, 5.201494253944777]|316147.6879236127133481|      0.06250000|[600, 0, 6, 48]                                                            |  | used linear model with 100 points | iterate failure | actual_k=0
       7|[0.6045997587307664, 0.0324511064112753, 1.8864234980973063, 0.6477607025093874, 0.0232592610901146, 2.0119343757042207, 1.2995240836063018, 0.038168611579369, 2.11486358633552, -0.0155174919347245, 0.0228395245052894, 2.1598285521533462, 1.2467223447135445, 0.0246361729543189, 2.220094937835453, 0.2217230074930815, 0.0225800101411823, 2.2778310812956146, 1.3428518721276135, 0.0283543862792158, 2.391637049630742, 4.495148282622583, 0.0571394093961651, 2.488517202948527, 0.6601725271010237, 0.0226226211939498, 2.553392135876034, 4.390463810628596, 0.063668147082536, 2.7004693345703012, 0.2112652130977866, 0.0281473985736463, 2.9443015601733253, 0.2372734836183152, 0.0274269046672575, 2.969644821855205, 0.7089843192326275, 0.0311333400560258, 3.130789484276926, 0.1833339803352522, 0.0219796256215766, 3.2137721376258863, -0.0647465225841301, 0.0215876959470654, 3.246695367489622, 1.3851744606490917, 0.0385385736280024, 3.3824265532450766, 0.2583593650540834, 0.0248959638906933, 3.659802514062321, 0.0706963723746796, 0.0056760771071852, 3.722363597257546, 0.0235881975950562, 0.0216362395152004, 3.83404814667099, 0.4175167742678373, 0.0131317391384636, 3.965486370670949, 0.2564974724109802, 0.0220214093750689, 4.042803268501605, 0.8214504181803837, 0.0270001159455678, 4.166582291637904, 0.9592292394471668, 0.0300405362703302, 4.421455044852635, 0.731473151883741, 0.0265215260835486, 4.555561505579513, 0.2128031980315227, 0.0153449420968816, 4.608360930213613, 0.5032666932307073, 0.0220292144456365, 4.72105552452311, 0.0476921744671017, 0.0247369312553319, 4.802272048122675, 0.3579295132556, 0.0205640910639124, 4.9566504879424755, 0.1646741195767501, 0.0102544628319245, 5.400627247163809, 0.2844519023247929, 0.0154048137852426, 5.410079271265322, 0.1007707906035568, 0.0180616809844383, 2.581333415649084, -0.0101065521955409, 0.0268751692996949, 3.866991481533054, 0.1371298598715581, 0.0204780475989378, 5.19204277500296]|286460.8244145482312888|      0.12500000|[700, 0, 7, 56]                                                            |  | used linear model with 100 points | iterate success | actual_k=0
       8|[0.6045997587307664, 0.0324511064112753, 1.8864234980973063, 0.6477607025093874, 0.0232592610901146, 2.0119343757042207, 1.2995240836063018, 0.038168611579369, 2.11486358633552, -0.0155174919347245, 0.0228395245052894, 2.1598285521533462, 1.2467223447135445, 0.0246361729543189, 2.220094937835453, 0.2217230074930815, 0.0225800101411823, 2.2778310812956146, 1.3428518721276135, 0.0283543862792158, 2.391637049630742, 4.495148282622583, 0.0571394093961651, 2.488517202948527, 0.6601725271010237, 0.0226226211939498, 2.553392135876034, 4.390463810628596, 0.063668147082536, 2.7004693345703012, 0.2112652130977866, 0.0281473985736463, 2.9443015601733253, 0.2372734836183152, 0.0274269046672575, 2.969644821855205, 0.7089843192326275, 0.0311333400560258, 3.130789484276926, 0.1833339803352522, 0.0219796256215766, 3.2137721376258863, -0.0647465225841301, 0.0215876959470654, 3.246695367489622, 1.3851744606490917, 0.0385385736280024, 3.3824265532450766, 0.2583593650540834, 0.0248959638906933, 3.659802514062321, 0.0706963723746796, 0.0056760771071852, 3.722363597257546, 0.0235881975950562, 0.0216362395152004, 3.83404814667099, 0.4175167742678373, 0.0131317391384636, 3.965486370670949, 0.2564974724109802, 0.0220214093750689, 4.042803268501605, 0.8214504181803837, 0.0270001159455678, 4.166582291637904, 0.9592292394471668, 0.0300405362703302, 4.421455044852635, 0.731473151883741, 0.0265215260835486, 4.555561505579513, 0.2128031980315227, 0.0153449420968816, 4.608360930213613, 0.5032666932307073, 0.0220292144456365, 4.72105552452311, 0.0476921744671017, 0.0247369312553319, 4.802272048122675, 0.3579295132556, 0.0205640910639124, 4.9566504879424755, 0.1646741195767501, 0.0102544628319245, 5.400627247163809, 0.2844519023247929, 0.0154048137852426, 5.410079271265322, 0.1007707906035568, 0.0180616809844383, 2.581333415649084, -0.0101065521955409, 0.0268751692996949, 3.866991481533054, 0.1371298598715581, 0.0204780475989378, 5.19204277500296]|286460.8244145482312888|      0.06250000|[800, 0, 8, 64]                                                            |  | used linear model with 100 points | iterate failure | actual_k=0
       9|[0.6025562519696314, 0.0318817306882039, 1.8809211744441563, 0.6557345183970003, 0.026491766618147, 2.0050735769464425, 1.2937736302181029, 0.0403798204414222, 2.1199959255980225, -0.0170928261958107, 0.0192389491921455, 2.1524246450803606, 1.2430902891981233, 0.0345466024331954, 2.2174810514295618, 0.2241807361423849, 0.0220357481299537, 2.2766907931390192, 1.3386223841726836, 0.0377505936638157, 2.38247122678765, 4.495698784163276, 0.0840368109224955, 2.4798291755235686, 0.6597676166167172, 0.0232167435057763, 2.5607407398438626, 4.399597416375878, 0.0749253184528648, 2.715073246324333, 0.2151368204099689, 0.0269979920315247, 2.937552553448243, 0.2369959849755859, 0.0299976090405134, 2.965934936064633, 0.7125417882224113, 0.0278587050033346, 3.131387153258659, 0.1846977730759032, 0.0209164494312666, 3.2099326897630354, -0.0647993363250061, 0.0147266576611897, 3.2346561042563873, 1.3911548828621105, 0.0455776687045722, 3.385395488364788, 0.2512391559763125, 0.0263992272917628, 3.6686211239458446, 0.0756046762103369, 0.0003236552742673, 3.718800087830913, 0.032987738160208, 0.0325445269081256, 3.8393556556410284, 0.4123413803020172, 0.0225894384016064, 3.967963960683588, 0.2542299654467292, 0.0281137459484948, 4.045615268643679, 0.8141281099985072, 0.0273517360019464, 4.162805926284006, 0.9652224710189263, 0.0367027790050954, 4.419259882581653, 0.7300946316180771, 0.0227777400561437, 4.556098507083594, 0.2128724663879177, 0.0156200740271766, 4.611980909125204, 0.4950767040954458, 0.0248300105584909, 4.729606793022309, 0.051267485574568, 0.0302223466820209, 4.801126140018567, 0.3530626360560264, 0.0108594031866715, 4.958178272123473, 0.1706316267254504, 0.0257000391778114, 5.402590690591268, 0.2862625020453208, 0.0231444593224726, 5.409474721517066, 0.0991275802051738, 0.0110460047423453, 2.5895175807575233, -0.0055971195818192, 0.0291285196087483, 3.8623247803929543, 0.1382898661592872, 0.0203599990876648, 5.189908018889781]|257212.5420718831010163|      0.12500000|[900, 0, 9, 72]                                                            |  | used linear model with 100 points | iterate success | actual_k=0
      10|[0.6025562519696314, 0.0318817306882039, 1.8809211744441563, 0.6557345183970003, 0.026491766618147, 2.0050735769464425, 1.2937736302181029, 0.0403798204414222, 2.1199959255980225, -0.0170928261958107, 0.0192389491921455, 2.1524246450803606, 1.2430902891981233, 0.0345466024331954, 2.2174810514295618, 0.2241807361423849, 0.0220357481299537, 2.2766907931390192, 1.3386223841726836, 0.0377505936638157, 2.38247122678765, 4.495698784163276, 0.0840368109224955, 2.4798291755235686, 0.6597676166167172, 0.0232167435057763, 2.5607407398438626, 4.399597416375878, 0.0749253184528648, 2.715073246324333, 0.2151368204099689, 0.0269979920315247, 2.937552553448243, 0.2369959849755859, 0.0299976090405134, 2.965934936064633, 0.7125417882224113, 0.0278587050033346, 3.131387153258659, 0.1846977730759032, 0.0209164494312666, 3.2099326897630354, -0.0647993363250061, 0.0147266576611897, 3.2346561042563873, 1.3911548828621105, 0.0455776687045722, 3.385395488364788, 0.2512391559763125, 0.0263992272917628, 3.6686211239458446, 0.0756046762103369, 0.0003236552742673, 3.718800087830913, 0.032987738160208, 0.0325445269081256, 3.8393556556410284, 0.4123413803020172, 0.0225894384016064, 3.967963960683588, 0.2542299654467292, 0.0281137459484948, 4.045615268643679, 0.8141281099985072, 0.0273517360019464, 4.162805926284006, 0.9652224710189263, 0.0367027790050954, 4.419259882581653, 0.7300946316180771, 0.0227777400561437, 4.556098507083594, 0.2128724663879177, 0.0156200740271766, 4.611980909125204, 0.4950767040954458, 0.0248300105584909, 4.729606793022309, 0.051267485574568, 0.0302223466820209, 4.801126140018567, 0.3530626360560264, 0.0108594031866715, 4.958178272123473, 0.1706316267254504, 0.0257000391778114, 5.402590690591268, 0.2862625020453208, 0.0231444593224726, 5.409474721517066, 0.0991275802051738, 0.0110460047423453, 2.5895175807575233, -0.0055971195818192, 0.0291285196087483, 3.8623247803929543, 0.1382898661592872, 0.0203599990876648, 5.189908018889781]|257212.5420718831010163|      0.06250000|[1000, 0, 10, 80]                                                          |  | used linear model with 100 points | iterate failure | actual_k=0
      11|[0.599318609603364, 0.0336349299512416, 1.8790623437282075, 0.6526223514551227, 0.0307693704398873, 1.9981676454037076, 1.3042573868511478, 0.0552393894167686, 2.1120528861057877, -0.0237953665566967, 0.0227303008029602, 2.1548570677100387, 1.2496140658044659, 0.0379215228628353, 2.2177370532988143, 0.2113202461467618, 0.0212646570641526, 2.263976086827199, 1.346333855242813, 0.0428732007221624, 2.373914957515622, 4.489954823447309, 0.0893370844495276, 2.480545747122196, 0.654243608362726, 0.0326257343211297, 2.55533443705531, 4.396233656688085, 0.0792871314446694, 2.720711717931428, 0.2108918950158298, 0.0246930607002263, 2.928200200259426, 0.2365270563259039, 0.0253061991567459, 2.9616950311796213, 0.7148288561987646, 0.0272151000819045, 3.118381293102698, 0.1904705770469491, 0.0171126652843443, 3.212430328317034, -0.0593435591010126, 0.01495217842275, 3.2373506063823654, 1.396091648381016, 0.0577899859884063, 3.3908651476717, 0.2495670869987477, 0.0255793410408984, 3.669100303003002, 0.0825917290887326, -0.0062572522278327, 3.724710864767708, 0.0314021630495435, 0.0399234994461076, 3.8313374686086337, 0.405110924073095, 0.0215827361140639, 3.9599924491599836, 0.2513451359655613, 0.0335012529008076, 4.049444306796343, 0.8152018315031563, 0.0374879501033083, 4.163247901079269, 0.9611307331838703, 0.0352035792836039, 4.411147691805285, 0.7365510449277163, 0.0202819629999743, 4.571164849196069, 0.2120201316116942, 0.0177520946085357, 4.604721969069078, 0.4874966462854819, 0.0165693335784251, 4.725742651034902, 0.0477613973459513, 0.0197696851458985, 4.798751626420931, 0.3526255293567493, 0.0291800184664368, 4.957764288723903, 0.173766869587351, 0.0169431886733299, 5.407593219012328, 0.2854130005362154, 0.0230883847226769, 5.406910036013656, 0.0920268223127944, 0.0065802014861735, 2.5837063773677142, -0.0105557448920802, 0.028089546423485, 3.854480031031057, 0.1337435068396567, 0.0136889326083473, 5.188496026386763]|244969.8491952266485896|      0.12500000|[1100, 0, 11, 88]                                                          |  | used linear model with 100 points | iterate success | actual_k=0
