k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.06250000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.03125000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.01562500|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00781250|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00390625|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00195312|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00097656|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.399259195187687, 1.0002895275526995, -0.0005666183395266]                    |  0.0000003772585433|      0.00195312|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[0.399259195187687, 1.0002895275526995, -0.0005666183395266]                    |  0.0000003772585433|      0.00097656|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.399259195187687, 1.0002895275526995, -0.0005666183395266]                    |  0.0000003772585433|      0.00048828|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.3987883300428571, 1.0003705045052258, -0.0004658843946748]                   |  0.0000002270384408|      0.00097656|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[0.3987883300428571, 1.0003705045052258, -0.0004658843946748]                   |  0.0000002270384408|      0.00048828|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
