k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.369425314535576, 4.2424760377675845, -4.856819040889735, -0.9103773151294268]|6054809.0346926739439368|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[23.32207126587297, 2.5686950178194747, -4.6514374145545885, -0.6668101137753818]|3642996.7117806104943156|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[23.32207126587297, 2.5686950178194747, -4.6514374145545885, -0.6668101137753818]|3642996.7117806104943156|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[22.007390841932217, 1.1291987463982684, -4.347380421443946, -0.3396783170757667]|2674461.8511648373678327|      4.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[22.007390841932217, 1.1291987463982684, -4.347380421443946, -0.3396783170757667]|2674461.8511648373678327|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[22.007390841932217, 1.1291987463982684, -4.347380421443946, -0.3396783170757667]|2674461.8511648373678327|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[21.455523385608533, 1.1012221691837316, -3.520009229064947, -0.2390973457166705]|2467708.4715937320142984|      2.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[21.455523385608533, 1.1012221691837316, -3.520009229064947, -0.2390973457166705]|2467708.4715937320142984|      1.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[20.635647428931925, 1.648327741045736, -3.565853534937994, -0.0766867286986115]|2241729.7443666541948915|      2.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[20.635647428931925, 1.648327741045736, -3.565853534937994, -0.0766867286986115]|2241729.7443666541948915|      1.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[20.12239255420424, 2.4269354462539825, -3.2048497470457673, -0.0806541064319219]|2115238.4547569788992405|      2.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[20.12239255420424, 2.4269354462539825, -3.2048497470457673, -0.0806541064319219]|2115238.4547569788992405|      1.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[19.174960931908345, 2.2411000989054504, -2.962207943868314, -0.1753298694360528]|1881479.3479591147042811|      2.00000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[19.174960931908345, 2.2411000989054504, -2.962207943868314, -0.1753298694360528]|1881479.3479591147042811|      1.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
