k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |105126.8339513395767426|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.492200199935769, 2.4272416586285632, 2.531932813470336, 2.5406024512236662]  |84699.3238019665586762|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[2.492200199935769, 2.4272416586285632, 2.531932813470336, 2.5406024512236662]  |84699.3238019665586762|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[2.492200199935769, 2.4272416586285632, 2.531932813470336, 2.5406024512236662]  |84699.3238019665586762|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[2.6501725453746814, 2.8860718793950157, 2.631891146869145, 2.473312792493146]  |76287.6261387158301659|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[2.6501725453746814, 2.8860718793950157, 2.631891146869145, 2.473312792493146]  |76287.6261387158301659|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[2.4622705081941394, 3.2511065060033264, 2.5711708810659135, 2.752159695149637] |73193.9886306882981444|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[2.4622705081941394, 3.2511065060033264, 2.5711708810659135, 2.752159695149637] |73193.9886306882981444|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[2.878740388611094, 3.380893718517642, 2.373408574554789, 2.608639005712012]    |68406.9137266214675037|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[3.3546987052057227, 3.640369481976715, 2.990228361416627, 2.037964527942543]   |56357.7718808328791056|      2.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[3.3546987052057227, 3.640369481976715, 2.990228361416627, 2.037964527942543]   |56357.7718808328791056|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[3.3546987052057227, 3.640369481976715, 2.990228361416627, 2.037964527942543]   |56357.7718808328791056|      0.50000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[3.3546987052057227, 3.640369481976715, 2.990228361416627, 2.037964527942543]   |56357.7718808328791056|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[3.4292719411838264, 3.817507513332631, 2.8333770804275713, 2.0070028423424833] |52282.9514258414055803|      0.50000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[3.4292719411838264, 3.817507513332631, 2.8333770804275713, 2.0070028423424833] |52282.9514258414055803|      0.25000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[3.4292719411838264, 3.817507513332631, 2.8333770804275713, 2.0070028423424833] |52282.9514258414055803|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[3.5519622081573723, 3.8351516483903154, 2.8209238115077917, 2.0172838433267177]|50832.2219045298406854|      0.25000000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      17|[3.5519622081573723, 3.8351516483903154, 2.8209238115077917, 2.0172838433267177]|50832.2219045298406854|      0.12500000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      18|[3.656449343713712, 3.876165041504057, 2.7938458877339216, 2.0651599974394417]  |49180.6938977587415138|      0.25000000|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      19|[3.656449343713712, 3.876165041504057, 2.7938458877339216, 2.0651599974394417]  |49180.6938977587415138|      0.12500000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      20|[3.7277560693437426, 3.916476017925254, 2.8219298332616716, 2.1553080316026314] |46832.6568223781068809|      0.25000000|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
