k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.50000000|[71, 10, 1, 6]                                                             |  | used linear model with 81 points | iterate failure | actual_k=2
       2|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.25000000|[142, 20, 2, 12]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
       3|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.12500000|[213, 30, 3, 18]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
       4|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.06250000|[284, 40, 4, 24]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
       5|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.03125000|[355, 50, 5, 30]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
       6|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.01562500|[426, 60, 6, 36]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
       7|[0.6884345561455959, 0.0206499923929314, 0.6656647502461236, 0.0227106506637775, 0.6169702503106111, 0.0215973573499344, 1.3245323709980048, 0.0203581648422336, 0.0020622142658546, 0.0192653108355456, 1.251502931752712, 0.0232236588145659, 0.2316151152957111, 0.0192158163774231, 1.2302171067880274, 0.0204765395184647, 4.59376294171354, 0.0281462675400747, 4.454499709306253, 0.0291583026647224, 0.082296548528754, 0.0212159154854454, 0.2423732595199022, 0.0201699302478492, 0.7158623590765063, 0.0204809789258778, 0.2049626250647043, 0.0204407913544544, -0.0631282903635938, 0.019717883956647, 1.4001310726104548, 0.020532986640435, 0.2416989790175887, 0.0197820161506116, 0.0627296637675727, 0.0182827480588613, 0.0230688209302969, 0.0204804164761751, 0.4241391950299891, 0.0195357502060437, 0.2641741222034688, 0.020208587558691, 0.836056755453575, 0.0214662792544289, 1.0297039126385725, 0.0204109745603228, 0.7959223824457579, 0.0206584120229789, 0.2454587634180913, 0.0178863599655889, 0.5059385220539847, 0.0193329895282268, 0.2756043770012863, 0.0203425631521112, 0.3856045435633368, 0.0209463456602149, 0.166139077636757, 0.0214818034765761, 0.2950221474297304, 0.0193739107243751, 0.1854352182536736, 0.020740681397287, 0.007428541927658, 0.0210963695881147, 0.1621629302675862, 0.0201166423661727]|394256.2889012816594914|      0.03125000|[497, 70, 7, 42]                                                           |  | used linear model with 81 points | iterate success | actual_k=2
       8|[0.688709981713696, 0.0187433896806173, 0.6667624392560301, 0.0186832848369977, 0.6174090024017814, 0.0233477320880697, 1.3222599249763922, 0.0207667295330381, 0.0042395358649832, 0.0178166963585665, 1.2576917360282527, 0.0327173138782895, 0.2292589431551006, 0.020184018303633, 1.2332348858106172, 0.0213965838927534, 4.597550698154939, 0.0441274784041083, 4.460620335141127, 0.0365982118875746, 0.085380724702687, 0.0223906643735954, 0.2460431553932556, 0.0192844894907851, 0.7188470037945881, 0.029713253214104, 0.2064066384620254, 0.0191522926730506, -0.0598659992235789, 0.019745265426504, 1.400273131671384, 0.0174756288929148, 0.2409937439553246, 0.020945917686561, 0.0661980664703412, 0.0179187166736431, 0.0183498485545671, 0.0178340086231122, 0.4230615752257799, 0.017314354162263, 0.2646131926773445, 0.0188278264417224, 0.8377149830576199, 0.0184913425406809, 1.0274514392825238, 0.0260206433535146, 0.7962148112812327, 0.0242700458183886, 0.2478923309322029, 0.0155223649836304, 0.5095971446262684, 0.0233036020645761, 0.2757906641892426, 0.0224271415597206, 0.3876309435482674, 0.0170698584425858, 0.1683796757955316, 0.0198510397250931, 0.2978719740608977, 0.0166580587083613, 0.1857190599386977, 0.0263187139370403, 0.0013971415755871, 0.0224482220120149, 0.1577030032883022, 0.0197615499393582]|339277.5718270428478718|      0.06250000|[568, 80, 8, 48]                                                           |  | used linear model with 81 points | iterate success | actual_k=2
       9|[0.688709981713696, 0.0187433896806173, 0.6667624392560301, 0.0186832848369977, 0.6174090024017814, 0.0233477320880697, 1.3222599249763922, 0.0207667295330381, 0.0042395358649832, 0.0178166963585665, 1.2576917360282527, 0.0327173138782895, 0.2292589431551006, 0.020184018303633, 1.2332348858106172, 0.0213965838927534, 4.597550698154939, 0.0441274784041083, 4.460620335141127, 0.0365982118875746, 0.085380724702687, 0.0223906643735954, 0.2460431553932556, 0.0192844894907851, 0.7188470037945881, 0.029713253214104, 0.2064066384620254, 0.0191522926730506, -0.0598659992235789, 0.019745265426504, 1.400273131671384, 0.0174756288929148, 0.2409937439553246, 0.020945917686561, 0.0661980664703412, 0.0179187166736431, 0.0183498485545671, 0.0178340086231122, 0.4230615752257799, 0.017314354162263, 0.2646131926773445, 0.0188278264417224, 0.8377149830576199, 0.0184913425406809, 1.0274514392825238, 0.0260206433535146, 0.7962148112812327, 0.0242700458183886, 0.2478923309322029, 0.0155223649836304, 0.5095971446262684, 0.0233036020645761, 0.2757906641892426, 0.0224271415597206, 0.3876309435482674, 0.0170698584425858, 0.1683796757955316, 0.0198510397250931, 0.2978719740608977, 0.0166580587083613, 0.1857190599386977, 0.0263187139370403, 0.0013971415755871, 0.0224482220120149, 0.1577030032883022, 0.0197615499393582]|339277.5718270428478718|      0.03125000|[639, 90, 9, 54]                                                           |  | used linear model with 81 points | iterate failure | actual_k=2
      10|[0.68922380755437, 0.0180149935656033, 0.6662131637541191, 0.0249598207167908, 0.6187619226744663, 0.023355984758433, 1.3194705539734142, 0.0224195953885731, 0.0093775768760639, 0.0142408730947132, 1.260106205911655, 0.0308585744624337, 0.2301202188739389, 0.0194503748113233, 1.234782947256033, 0.0161644458996324, 4.59965823463842, 0.0525393724803244, 4.4582685639847845, 0.0555464075321064, 0.0910591774742123, 0.018659067822885, 0.2475481883317512, 0.0227856593340098, 0.7213540807210158, 0.0296131693530271, 0.2086191858831468, 0.0206853949986863, -0.064044046381843, 0.0193615443253105, 1.4002298989502093, 0.0243106123672981, 0.2421670322266715, 0.0249665096102724, 0.0636122119431708, 0.0155547427239296, 0.0190356911730589, 0.019036103214844, 0.4252742992148135, 0.0182052311624961, 0.2616314587840795, 0.0208874581398669, 0.8300156183492067, 0.0153292685724381, 1.024929765963472, 0.0250187829373529, 0.7923629644672091, 0.0243410586811978, 0.2505575600900225, 0.0152672665166128, 0.5105017968634243, 0.0208615289545134, 0.2781430967390121, 0.0210995212883701, 0.3875411517676272, 0.017883092889558, 0.1645485564111496, 0.0194574427865781, 0.2995493512903321, 0.0099625351549991, 0.1887169779538076, 0.0286997203669444, 0.0048909560330808, 0.0255270885580529, 0.1590628861106297, 0.0208841192658623]|306336.8928004481131211|      0.06250000|[710, 100, 10, 60]                                                         |  | used linear model with 81 points | iterate success | actual_k=2
      11|[0.68922380755437, 0.0180149935656033, 0.6662131637541191, 0.0249598207167908, 0.6187619226744663, 0.023355984758433, 1.3194705539734142, 0.0224195953885731, 0.0093775768760639, 0.0142408730947132, 1.260106205911655, 0.0308585744624337, 0.2301202188739389, 0.0194503748113233, 1.234782947256033, 0.0161644458996324, 4.59965823463842, 0.0525393724803244, 4.4582685639847845, 0.0555464075321064, 0.0910591774742123, 0.018659067822885, 0.2475481883317512, 0.0227856593340098, 0.7213540807210158, 0.0296131693530271, 0.2086191858831468, 0.0206853949986863, -0.064044046381843, 0.0193615443253105, 1.4002298989502093, 0.0243106123672981, 0.2421670322266715, 0.0249665096102724, 0.0636122119431708, 0.0155547427239296, 0.0190356911730589, 0.019036103214844, 0.4252742992148135, 0.0182052311624961, 0.2616314587840795, 0.0208874581398669, 0.8300156183492067, 0.0153292685724381, 1.024929765963472, 0.0250187829373529, 0.7923629644672091, 0.0243410586811978, 0.2505575600900225, 0.0152672665166128, 0.5105017968634243, 0.0208615289545134, 0.2781430967390121, 0.0210995212883701, 0.3875411517676272, 0.017883092889558, 0.1645485564111496, 0.0194574427865781, 0.2995493512903321, 0.0099625351549991, 0.1887169779538076, 0.0286997203669444, 0.0048909560330808, 0.0255270885580529, 0.1590628861106297, 0.0208841192658623]|306336.8928004481131211|      0.03125000|[781, 110, 11, 66]                                                         |  | used linear model with 81 points | iterate failure | actual_k=2
