k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3663286144721168, 0.0744851007213991, 0.0031290635563736, 0.3464682653233525, 0.2829510357844781, 0.2245474039140237, 0.132091794458493, -0.1576045807075024, -0.3605163297957605, 0.0347419001828735, 0.1029943469294904, -0.082730480688528, 0.0764136157871192, -0.285782367153213, 0.1400555222664523, 0.0771493443541392, -0.0631560684569701, 0.1506966265862431, -0.1405210146702356, 0.3477833625548136, -0.1769569525212694, 0.3271303751584042]| 13.9622259140014648|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[1.4256352498914673, -0.3292478257993787, -0.4946555924670694, 1.0809702655288194, 0.766790637188385, 0.0504673207411054, 0.5873252411621328, -0.2245380553266448, -0.4917207713057089, 0.022854656472104, -0.1021535146125216, -0.1614188917897462, 0.6422045426459088, -0.3052793582830786, -0.1353043222324283, -0.3034146676799146, -0.2056238959419364, 0.3193487107297638, -0.2999087429061079, 0.8876128843333547, -0.8653245865504425, 0.2545473161348103]| 12.4729795455932617|      4.00000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[1.4256352498914673, -0.3292478257993787, -0.4946555924670694, 1.0809702655288194, 0.766790637188385, 0.0504673207411054, 0.5873252411621328, -0.2245380553266448, -0.4917207713057089, 0.022854656472104, -0.1021535146125216, -0.1614188917897462, 0.6422045426459088, -0.3052793582830786, -0.1353043222324283, -0.3034146676799146, -0.2056238959419364, 0.3193487107297638, -0.2999087429061079, 0.8876128843333547, -0.8653245865504425, 0.2545473161348103]| 12.4729795455932617|      2.00000000|[73, 24, 1, 7]                                                             |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
       4|[1.4256352498914673, -0.3292478257993787, -0.4946555924670694, 1.0809702655288194, 0.766790637188385, 0.0504673207411054, 0.5873252411621328, -0.2245380553266448, -0.4917207713057089, 0.022854656472104, -0.1021535146125216, -0.1614188917897462, 0.6422045426459088, -0.3052793582830786, -0.1353043222324283, -0.3034146676799146, -0.2056238959419364, 0.3193487107297638, -0.2999087429061079, 0.8876128843333547, -0.8653245865504425, 0.2545473161348103]| 12.4729795455932617|      1.00000000|[98, 32, 1, 9]                                                             |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       5|[1.973590976589359, -0.227981654910783, -0.445160471325636, 1.5941947061324053, 0.6077777808059707, 0.3058081850393498, 0.7612429368849375, -0.2100432910451213, -0.5784403791036452, -0.0273387216272542, 0.0461317320553149, 0.0213526714949192, 0.8023985199863491, -0.2766742913297996, 0.133589975566713, -0.1110994184994533, -0.3245631346690759, 0.4236612390231269, -0.1950405466370342, 1.1322769839560263, -0.8070961792221043, 0.3016614912327482]| 12.1493625640869141|      2.00000000|[122, 40, 1, 11]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       6|[1.973590976589359, -0.227981654910783, -0.445160471325636, 1.5941947061324053, 0.6077777808059707, 0.3058081850393498, 0.7612429368849375, -0.2100432910451213, -0.5784403791036452, -0.0273387216272542, 0.0461317320553149, 0.0213526714949192, 0.8023985199863491, -0.2766742913297996, 0.133589975566713, -0.1110994184994533, -0.3245631346690759, 0.4236612390231269, -0.1950405466370342, 1.1322769839560263, -0.8070961792221043, 0.3016614912327482]| 12.1493625640869141|      1.00000000|[146, 48, 1, 13]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       7|[1.973590976589359, -0.227981654910783, -0.445160471325636, 1.5941947061324053, 0.6077777808059707, 0.3058081850393498, 0.7612429368849375, -0.2100432910451213, -0.5784403791036452, -0.0273387216272542, 0.0461317320553149, 0.0213526714949192, 0.8023985199863491, -0.2766742913297996, 0.133589975566713, -0.1110994184994533, -0.3245631346690759, 0.4236612390231269, -0.1950405466370342, 1.1322769839560263, -0.8070961792221043, 0.3016614912327482]| 12.1493625640869141|      0.50000000|[170, 56, 1, 15]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       8|[1.973590976589359, -0.227981654910783, -0.445160471325636, 1.5941947061324053, 0.6077777808059707, 0.3058081850393498, 0.7612429368849375, -0.2100432910451213, -0.5784403791036452, -0.0273387216272542, 0.0461317320553149, 0.0213526714949192, 0.8023985199863491, -0.2766742913297996, 0.133589975566713, -0.1110994184994533, -0.3245631346690759, 0.4236612390231269, -0.1950405466370342, 1.1322769839560263, -0.8070961792221043, 0.3016614912327482]| 12.1493625640869141|      0.25000000|[194, 64, 2, 18]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
       9|[1.973590976589359, -0.227981654910783, -0.445160471325636, 1.5941947061324053, 0.6077777808059707, 0.3058081850393498, 0.7612429368849375, -0.2100432910451213, -0.5784403791036452, -0.0273387216272542, 0.0461317320553149, 0.0213526714949192, 0.8023985199863491, -0.2766742913297996, 0.133589975566713, -0.1110994184994533, -0.3245631346690759, 0.4236612390231269, -0.1950405466370342, 1.1322769839560263, -0.8070961792221043, 0.3016614912327482]| 12.1493625640869141|      0.12500000|[219, 72, 2, 20]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      10|[1.973590976589359, -0.227981654910783, -0.445160471325636, 1.5941947061324053, 0.6077777808059707, 0.3058081850393498, 0.7612429368849375, -0.2100432910451213, -0.5784403791036452, -0.0273387216272542, 0.0461317320553149, 0.0213526714949192, 0.8023985199863491, -0.2766742913297996, 0.133589975566713, -0.1110994184994533, -0.3245631346690759, 0.4236612390231269, -0.1950405466370342, 1.1322769839560263, -0.8070961792221043, 0.3016614912327482]| 12.1493625640869141|      0.06250000|[243, 80, 2, 22]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      11|[1.9823413465349635, -0.239922267527988, -0.4350518545084898, 1.6292279737059057, 0.5926110443365475, 0.2993051269562355, 0.77594343998958, -0.1962044231278183, -0.5782675635596585, -0.0217061239399532, 0.0464536270546725, 0.0159739454336864, 0.7953779699536772, -0.277440080846985, 0.1200476925320617, -0.1206535506265268, -0.3219901216215856, 0.4484081472281546, -0.2167951105087509, 1.1352481549972817, -0.7936280071171259, 0.298531008604388]| 12.1470956802368164|      0.12500000|[267, 88, 2, 24]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
