k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.52090304426033, -1.1906276427060583, -0.0550765419142085, -0.648721373736579, -0.4666284207143864, -0.0114730869895004, 0.35850264560971]|68432.7978102732304251|      2.00000000|[11, 1, 1, 2]                                                              |  | used linear model with 12 points | iterate success | actual_k=1
       2|[9.421227094829254, -0.7674314939737055, 0.5528654562505338, 0.2604611932887415, -0.4343241575178729, 0.8320846307836032, -1.0206746899249886]|57258.3015379186326754|      4.00000000|[22, 2, 2, 4]                                                              |  | used linear model with 12 points | iterate success | actual_k=1
       3|[9.421227094829254, -0.7674314939737055, 0.5528654562505338, 0.2604611932887415, -0.4343241575178729, 0.8320846307836032, -1.0206746899249886]|57258.3015379186326754|      2.00000000|[34, 2, 3, 6]                                                              |  | used linear model with 12 points | iterate failure | actual_k=1
       4|[9.421227094829254, -0.7674314939737055, 0.5528654562505338, 0.2604611932887415, -0.4343241575178729, 0.8320846307836032, -1.0206746899249886]|57258.3015379186326754|      1.00000000|[46, 2, 4, 8]                                                              |  | used linear model with 12 points | iterate failure | actual_k=1
       5|[9.224263763209935, -0.6568539487157461, 0.4800040372670841, -0.6016794724477419, -0.7142968084084392, 0.825807198081507, -1.3699004724515556]|52610.5938115037643001|      2.00000000|[57, 3, 5, 10]                                                             |  | used linear model with 12 points | iterate success | actual_k=1
       6|[8.669543967771213, -1.0253908350502516, 0.168382555209677, -1.9517494113684168, -0.612756310157548, 0.6547055482981274, -0.1061427913438495]|18340.7834680003361427|      4.00000000|[69, 3, 6, 12]                                                             |  | used linear model with 12 points | iterate success | actual_k=1
       7|[8.669543967771213, -1.0253908350502516, 0.168382555209677, -1.9517494113684168, -0.612756310157548, 0.6547055482981274, -0.1061427913438495]|18340.7834680003361427|      2.00000000|[80, 4, 7, 14]                                                             |  | used linear model with 12 points | iterate failure | actual_k=1
       8|[8.669543967771213, -1.0253908350502516, 0.168382555209677, -1.9517494113684168, -0.612756310157548, 0.6547055482981274, -0.1061427913438495]|18340.7834680003361427|      1.00000000|[91, 5, 8, 16]                                                             |  | used linear model with 12 points | iterate failure | actual_k=1
       9|[8.669543967771213, -1.0253908350502516, 0.168382555209677, -1.9517494113684168, -0.612756310157548, 0.6547055482981274, -0.1061427913438495]|18340.7834680003361427|      0.50000000|[102, 6, 9, 18]                                                            |  | used linear model with 12 points | iterate failure | actual_k=1
      10|[8.669543967771213, -1.0253908350502516, 0.168382555209677, -1.9517494113684168, -0.612756310157548, 0.6547055482981274, -0.1061427913438495]|18340.7834680003361427|      0.25000000|[114, 6, 10, 20]                                                           |  | used linear model with 12 points | iterate failure | actual_k=1
      11|[8.669543967771213, -1.0253908350502516, 0.168382555209677, -1.9517494113684168, -0.612756310157548, 0.6547055482981274, -0.1061427913438495]|18340.7834680003361427|      0.12500000|[126, 6, 11, 22]                                                           |  | used linear model with 12 points | iterate failure | actual_k=1
      12|[8.669543967771213, -1.0253908350502516, 0.168382555209677, -1.9517494113684168, -0.612756310157548, 0.6547055482981274, -0.1061427913438495]|18340.7834680003361427|      0.06250000|[137, 7, 12, 24]                                                           |  | used linear model with 12 points | iterate failure | actual_k=1
      13|[8.669543967771213, -1.0253908350502516, 0.168382555209677, -1.9517494113684168, -0.612756310157548, 0.6547055482981274, -0.1061427913438495]|18340.7834680003361427|      0.03125000|[148, 8, 13, 26]                                                           |  | used linear model with 12 points | iterate failure | actual_k=1
      14|[8.673025742400966, -1.035294599764885, 0.1564777608070823, -1.9592668425706203, -0.6127922138551127, 0.6579241075905297, -0.1317896015794846]|10654.7800892952691356|      0.06250000|[160, 8, 14, 28]                                                           |  | used linear model with 12 points | iterate success | actual_k=1
      15|[8.673025742400966, -1.035294599764885, 0.1564777608070823, -1.9592668425706203, -0.6127922138551127, 0.6579241075905297, -0.1317896015794846]|10654.7800892952691356|      0.03125000|[171, 9, 15, 30]                                                           |  | used linear model with 12 points | iterate failure | actual_k=1
      16|[8.670837122051038, -1.0448069056280647, 0.1385204266642617, -1.9658289030097214, -0.621256505926682, 0.6693517801700334, -0.1494962684185228]|9753.4326670037153235|      0.06250000|[182, 10, 16, 32]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      17|[8.670837122051038, -1.0448069056280647, 0.1385204266642617, -1.9658289030097214, -0.621256505926682, 0.6693517801700334, -0.1494962684185228]|9753.4326670037153235|      0.03125000|[194, 10, 17, 34]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      18|[8.670837122051038, -1.0448069056280647, 0.1385204266642617, -1.9658289030097214, -0.621256505926682, 0.6693517801700334, -0.1494962684185228]|9753.4326670037153235|      0.01562500|[206, 10, 18, 36]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      19|[8.670837122051038, -1.0448069056280647, 0.1385204266642617, -1.9658289030097214, -0.621256505926682, 0.6693517801700334, -0.1494962684185228]|9753.4326670037153235|      0.00781250|[217, 11, 19, 38]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      20|[8.670837122051038, -1.0448069056280647, 0.1385204266642617, -1.9658289030097214, -0.621256505926682, 0.6693517801700334, -0.1494962684185228]|9753.4326670037153235|      0.00390625|[229, 11, 20, 40]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      21|[8.670408177420079, -1.0456192906137896, 0.1393358955547118, -1.96841429698382, -0.6213743454294356, 0.6672732551165662, -0.1511489698864661]|9742.5507377421854471|      0.00781250|[240, 12, 21, 42]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      22|[8.670408177420079, -1.0456192906137896, 0.1393358955547118, -1.96841429698382, -0.6213743454294356, 0.6672732551165662, -0.1511489698864661]|9742.5507377421854471|      0.00390625|[252, 12, 22, 44]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
