k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.290812756433667, -0.9379501546694236, -0.2197773596159847, -0.0382158859912083, 0.4493539498488163, -0.6701899258113293, -0.3707946894877357]|54809.8070255629136227|      2.00000000|[34, 4, 1, 4]                                                              |  | used quadratic model with 38 points | iterate success | actual_k=2
       2|[10.290812756433667, -0.9379501546694236, -0.2197773596159847, -0.0382158859912083, 0.4493539498488163, -0.6701899258113293, -0.3707946894877357]|54809.8070255629136227|      1.00000000|[68, 8, 2, 8]                                                              |  | used quadratic model with 38 points | iterate failure | actual_k=2
       3|[10.290812756433667, -0.9379501546694236, -0.2197773596159847, -0.0382158859912083, 0.4493539498488163, -0.6701899258113293, -0.3707946894877357]|54809.8070255629136227|      0.50000000|[102, 12, 3, 12]                                                           |  | used quadratic model with 38 points | iterate failure | actual_k=2
       4|[10.221630620336455, -0.9656781478101666, -0.0523651816108074, -0.3964280883816642, 0.5818120947804255, -0.5467528495256296, -0.1355920126431235]|38096.7743106181878829|      1.00000000|[135, 17, 4, 16]                                                           |  | used quadratic model with 38 points | iterate success | actual_k=2
       5|[10.221630620336455, -0.9656781478101666, -0.0523651816108074, -0.3964280883816642, 0.5818120947804255, -0.5467528495256296, -0.1355920126431235]|38096.7743106181878829|      0.50000000|[167, 23, 5, 20]                                                           |  | used quadratic model with 38 points | iterate failure | actual_k=2
       6|[10.221630620336455, -0.9656781478101666, -0.0523651816108074, -0.3964280883816642, 0.5818120947804255, -0.5467528495256296, -0.1355920126431235]|38096.7743106181878829|      0.25000000|[200, 28, 6, 24]                                                           |  | used quadratic model with 38 points | iterate failure | actual_k=2
       7|[10.221630620336455, -0.9656781478101666, -0.0523651816108074, -0.3964280883816642, 0.5818120947804255, -0.5467528495256296, -0.1355920126431235]|38096.7743106181878829|      0.12500000|[232, 34, 7, 28]                                                           |  | used quadratic model with 38 points | iterate failure | actual_k=2
       8|[10.227372292505546, -0.9469883919071413, -0.0519432172371132, -0.4333681954211151, 0.5695691601414051, -0.553458320623165, -0.0186171269977249]|8839.3843465162080975|      0.25000000|[266, 38, 8, 32]                                                           |  | used quadratic model with 38 points | iterate success | actual_k=2
       9|[10.227372292505546, -0.9469883919071413, -0.0519432172371132, -0.4333681954211151, 0.5695691601414051, -0.553458320623165, -0.0186171269977249]|8839.3843465162080975|      0.12500000|[299, 43, 9, 36]                                                           |  | used quadratic model with 38 points | iterate failure | actual_k=2
      10|[10.227372292505546, -0.9469883919071413, -0.0519432172371132, -0.4333681954211151, 0.5695691601414051, -0.553458320623165, -0.0186171269977249]|8839.3843465162080975|      0.06250000|[332, 48, 10, 40]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      11|[10.227372292505546, -0.9469883919071413, -0.0519432172371132, -0.4333681954211151, 0.5695691601414051, -0.553458320623165, -0.0186171269977249]|8839.3843465162080975|      0.03125000|[366, 52, 11, 44]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      12|[10.227372292505546, -0.9469883919071413, -0.0519432172371132, -0.4333681954211151, 0.5695691601414051, -0.553458320623165, -0.0186171269977249]|8839.3843465162080975|      0.01562500|[399, 57, 12, 48]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      13|[10.227372292505546, -0.9469883919071413, -0.0519432172371132, -0.4333681954211151, 0.5695691601414051, -0.553458320623165, -0.0186171269977249]|8839.3843465162080975|      0.00781250|[431, 63, 13, 52]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      14|[10.228288432668915, -0.9464293685416741, -0.0520937413123667, -0.4320241218123517, 0.5701532975689876, -0.5536557374004547, -0.0262114640357198]|3667.5083197583767287|      0.01562500|[464, 68, 14, 56]                                                          |  | used quadratic model with 38 points | iterate success | actual_k=2
      15|[10.228288432668915, -0.9464293685416741, -0.0520937413123667, -0.4320241218123517, 0.5701532975689876, -0.5536557374004547, -0.0262114640357198]|3667.5083197583767287|      0.00781250|[498, 72, 15, 60]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      16|[10.228288432668915, -0.9464293685416741, -0.0520937413123667, -0.4320241218123517, 0.5701532975689876, -0.5536557374004547, -0.0262114640357198]|3667.5083197583767287|      0.00390625|[530, 78, 16, 64]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      17|[10.228288432668915, -0.9464293685416741, -0.0520937413123667, -0.4320241218123517, 0.5701532975689876, -0.5536557374004547, -0.0262114640357198]|3667.5083197583767287|      0.00195312|[564, 82, 17, 68]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
      18|[10.228288432668915, -0.9464293685416741, -0.0520937413123667, -0.4320241218123517, 0.5701532975689876, -0.5536557374004547, -0.0262114640357198]|3667.5083197583767287|      0.00097656|[598, 86, 18, 72]                                                          |  | used quadratic model with 38 points | iterate failure | actual_k=2
