k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.577485086884385, 3.1599009189620855, 0.8548634628448837, 40.02956219073916, -0.5858028013639887, -1.6244906952965306, 25.644378968367903, -0.4480505500639508, 1.062905929795608]|933.5598754882812500|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[10.577485086884385, 3.1599009189620855, 0.8548634628448837, 40.02956219073916, -0.5858028013639887, -1.6244906952965306, 25.644378968367903, -0.4480505500639508, 1.062905929795608]|933.5598754882812500|      1.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[10.577485086884385, 3.1599009189620855, 0.8548634628448837, 40.02956219073916, -0.5858028013639887, -1.6244906952965306, 25.644378968367903, -0.4480505500639508, 1.062905929795608]|933.5598754882812500|      0.50000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[10.481378052960057, 3.1402956479235042, 0.9125898849424287, 40.09431711804658, -0.4905108153063329, -1.4544294515713445, 25.929984642884108, -0.7048215234488082, 1.2805069583914432]|886.9116210937500000|      1.00000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[10.481378052960057, 3.1402956479235042, 0.9125898849424287, 40.09431711804658, -0.4905108153063329, -1.4544294515713445, 25.929984642884108, -0.7048215234488082, 1.2805069583914432]|886.9116210937500000|      0.50000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[10.721943673243565, 2.9073317435463446, 0.7464524176368423, 40.335494353605796, -0.3301737437855894, -1.4577284724103214, 26.04743955257625, -0.7277115590114779, 1.1707371309384116]|866.3437500000000000|      1.00000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[10.721943673243565, 2.9073317435463446, 0.7464524176368423, 40.335494353605796, -0.3301737437855894, -1.4577284724103214, 26.04743955257625, -0.7277115590114779, 1.1707371309384116]|866.3437500000000000|      0.50000000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[10.721943673243565, 2.9073317435463446, 0.7464524176368423, 40.335494353605796, -0.3301737437855894, -1.4577284724103214, 26.04743955257625, -0.7277115590114779, 1.1707371309384116]|866.3437500000000000|      0.25000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[10.735955977511564, 3.0233834248618177, 0.6095435747815576, 40.29534180329066, -0.2839232362393685, -1.4815480371096232, 26.10666327982714, -0.7491237743562504, 1.0230652307746877]|861.0036010742187500|      0.50000000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[10.735955977511564, 3.0233834248618177, 0.6095435747815576, 40.29534180329066, -0.2839232362393685, -1.4815480371096232, 26.10666327982714, -0.7491237743562504, 1.0230652307746877]|861.0036010742187500|      0.25000000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[10.622261171405714, 2.971574140109499, 0.5012029279977491, 40.25296720058959, -0.4318469721222044, -1.4187162630836356, 26.1106305577154, -0.7114481360663065, 1.1011134844336479]|852.7292480468750000|      0.50000000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[10.622261171405714, 2.971574140109499, 0.5012029279977491, 40.25296720058959, -0.4318469721222044, -1.4187162630836356, 26.1106305577154, -0.7114481360663065, 1.1011134844336479]|852.7292480468750000|      0.25000000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[10.622261171405714, 2.971574140109499, 0.5012029279977491, 40.25296720058959, -0.4318469721222044, -1.4187162630836356, 26.1106305577154, -0.7114481360663065, 1.1011134844336479]|852.7292480468750000|      0.12500000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[10.622261171405714, 2.971574140109499, 0.5012029279977491, 40.25296720058959, -0.4318469721222044, -1.4187162630836356, 26.1106305577154, -0.7114481360663065, 1.1011134844336479]|852.7292480468750000|      0.06250000|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[10.634615865420344, 2.994686796532268, 0.5097740895085092, 40.2861130507975, -0.4584683287787279, -1.419486303909138, 26.144087420281696, -0.704164044273243, 1.113981864832989]|850.8109130859375000|      0.12500000|[400, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      16|[10.634615865420344, 2.994686796532268, 0.5097740895085092, 40.2861130507975, -0.4584683287787279, -1.419486303909138, 26.144087420281696, -0.704164044273243, 1.113981864832989]|850.8109130859375000|      0.06250000|[426, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[10.643393680134736, 3.0126133587671045, 0.4986782890685941, 40.27297262257106, -0.487436728306855, -1.4075549311998645, 26.18189846490971, -0.6945921960240825, 1.1406132277945074]|849.4622192382812500|      0.12500000|[452, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      18|[10.643393680134736, 3.0126133587671045, 0.4986782890685941, 40.27297262257106, -0.487436728306855, -1.4075549311998645, 26.18189846490971, -0.6945921960240825, 1.1406132277945074]|849.4622192382812500|      0.06250000|[478, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[10.619080806907615, 3.030174304179302, 0.5165298218736918, 40.31470733585363, -0.5060592358619251, -1.3983013204233516, 26.195062634760475, -0.6874214293222042, 1.1576173894147495]|848.2893066406250000|      0.12500000|[504, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      20|[10.644269239816984, 3.100206895937325, 0.5080057145449762, 40.32752396761993, -0.5570101597963222, -1.4539544036701524, 26.183578026254875, -0.6297417105668495, 1.1840170858291434]|847.6351318359375000|      0.25000000|[530, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[10.644269239816984, 3.100206895937325, 0.5080057145449762, 40.32752396761993, -0.5570101597963222, -1.4539544036701524, 26.183578026254875, -0.6297417105668495, 1.1840170858291434]|847.6351318359375000|      0.12500000|[557, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[10.602262015768705, 3.062983864594407, 0.5235667484088886, 40.394945081592006, -0.6025057612905447, -1.4102132985300282, 26.163801495990718, -0.5737716799517095, 1.1974408398012433]|847.1341552734375000|      0.25000000|[583, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      23|[10.726417130458529, 3.044022270391901, 0.5621398974794609, 40.58074680284699, -0.6542021911448839, -1.4108346109639052, 26.243074348937263, -0.614493858939628, 1.2074613201534041]|843.9931640625000000|      0.50000000|[610, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      24|[10.726417130458529, 3.044022270391901, 0.5621398974794609, 40.58074680284699, -0.6542021911448839, -1.4108346109639052, 26.243074348937263, -0.614493858939628, 1.2074613201534041]|843.9931640625000000|      0.25000000|[636, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      25|[10.726417130458529, 3.044022270391901, 0.5621398974794609, 40.58074680284699, -0.6542021911448839, -1.4108346109639052, 26.243074348937263, -0.614493858939628, 1.2074613201534041]|843.9931640625000000|      0.12500000|[662, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      26|[10.66246469041708, 3.028768338380926, 0.5083605227476591, 40.58685630654991, -0.6930789512773053, -1.3360420469750138, 26.26200518409367, -0.6316074782714011, 1.2322861705282124]|841.4403686523437500|      0.25000000|[689, 104, 0, 52]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      27|[10.66246469041708, 3.028768338380926, 0.5083605227476591, 40.58685630654991, -0.6930789512773053, -1.3360420469750138, 26.26200518409367, -0.6316074782714011, 1.2322861705282124]|841.4403686523437500|      0.12500000|[716, 108, 0, 54]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      28|[10.66246469041708, 3.028768338380926, 0.5083605227476591, 40.58685630654991, -0.6930789512773053, -1.3360420469750138, 26.26200518409367, -0.6316074782714011, 1.2322861705282124]|841.4403686523437500|      0.06250000|[742, 112, 0, 56]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      29|[10.626550055108089, 3.051011576905116, 0.5050959688492632, 40.621136918693324, -0.6947705846038578, -1.3327693765908653, 26.269697718326757, -0.610637223384998, 1.2528606926809351]|840.2106933593750000|      0.12500000|[769, 116, 0, 58]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      30|[10.626550055108089, 3.051011576905116, 0.5050959688492632, 40.621136918693324, -0.6947705846038578, -1.3327693765908653, 26.269697718326757, -0.610637223384998, 1.2528606926809351]|840.2106933593750000|      0.06250000|[795, 120, 0, 60]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
