k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[119.983046492189, -0.0123128006354592, 0.872187560799132, 109.99915409303007, 0.191737350219821, 0.845165648689352, 99.9888841640579, 0.2678604611361614, 0.6998706654023398, 87.9943275201957, 0.3103320491482985, 0.7066347253955187, 85.98945925542844, 0.3626172880912005, 0.636910387383432, 84.01331454348114, 0.4635754124780673, 0.5280513462503822, 80.00280515336779, 0.6575212489605226, 0.3393178580717599, 76.0108067760027, 0.8887423255059543, 0.1267919990287393, 886.3906526504954, 910.0053748509603, 922.5154487037103, 926.4707132300045, 935.5523489880088, 952.8382059358242, 975.7206160608621]|2516.9577636718750000|      0.25000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       5|[119.983046492189, -0.0123128006354592, 0.872187560799132, 109.99915409303007, 0.191737350219821, 0.845165648689352, 99.9888841640579, 0.2678604611361614, 0.6998706654023398, 87.9943275201957, 0.3103320491482985, 0.7066347253955187, 85.98945925542844, 0.3626172880912005, 0.636910387383432, 84.01331454348114, 0.4635754124780673, 0.5280513462503822, 80.00280515336779, 0.6575212489605226, 0.3393178580717599, 76.0108067760027, 0.8887423255059543, 0.1267919990287393, 886.3906526504954, 910.0053748509603, 922.5154487037103, 926.4707132300045, 935.5523489880088, 952.8382059358242, 975.7206160608621]|2516.9577636718750000|      0.12500000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[119.96160444918048, 0.0246834037999537, 0.8980395710585654, 109.99886514254706, 0.1094685236048972, 0.7974650406046254, 99.97426608435865, 0.2658074036956017, 0.6839206258364752, 87.99932503161577, 0.3116917900329625, 0.710367022225019, 86.00139018596096, 0.3973728049335524, 0.6319511348425496, 84.02639495618634, 0.4612075696618619, 0.552679200052018, 79.9966735387801, 0.6606146365662229, 0.3365769619947345, 76.01637759498655, 0.8988846348300933, 0.1272777264942854, 886.3867189197873, 909.9910106426411, 922.5047341603387, 926.4493197869914, 935.5626392782111, 952.8421882444394, 975.7030499173721]|1798.0683593750000000|      0.25000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[119.96160444918048, 0.0246834037999537, 0.8980395710585654, 109.99886514254706, 0.1094685236048972, 0.7974650406046254, 99.97426608435865, 0.2658074036956017, 0.6839206258364752, 87.99932503161577, 0.3116917900329625, 0.710367022225019, 86.00139018596096, 0.3973728049335524, 0.6319511348425496, 84.02639495618634, 0.4612075696618619, 0.552679200052018, 79.9966735387801, 0.6606146365662229, 0.3365769619947345, 76.01637759498655, 0.8988846348300933, 0.1272777264942854, 886.3867189197873, 909.9910106426411, 922.5047341603387, 926.4493197869914, 935.5626392782111, 952.8421882444394, 975.7030499173721]|1798.0683593750000000|      0.12500000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[119.96160444918048, 0.0246834037999537, 0.8980395710585654, 109.99886514254706, 0.1094685236048972, 0.7974650406046254, 99.97426608435865, 0.2658074036956017, 0.6839206258364752, 87.99932503161577, 0.3116917900329625, 0.710367022225019, 86.00139018596096, 0.3973728049335524, 0.6319511348425496, 84.02639495618634, 0.4612075696618619, 0.552679200052018, 79.9966735387801, 0.6606146365662229, 0.3365769619947345, 76.01637759498655, 0.8988846348300933, 0.1272777264942854, 886.3867189197873, 909.9910106426411, 922.5047341603387, 926.4493197869914, 935.5626392782111, 952.8421882444394, 975.7030499173721]|1798.0683593750000000|      0.06250000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[119.9662165926368, -0.0253357129418804, 0.8785706492417893, 110.00096194651499, 0.1262962665072914, 0.805597629706845, 99.97347362066576, 0.2533982296771028, 0.6781212250686537, 87.99519088978528, 0.3267805551796547, 0.7153489610943627, 85.99815836605725, 0.4004505830977944, 0.6292535667974489, 84.02839635319467, 0.4626742971829283, 0.5568551703809036, 79.99591125923497, 0.6517418361416623, 0.3326121428104535, 76.01151906263509, 0.8984236398754981, 0.1249036077804344, 886.3890183191446, 909.9898077494619, 922.5052434244229, 926.4507320018623, 935.5622889323994, 952.8408706921829, 975.7055738331348]|753.0397338867187500|      0.12500000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      10|[119.96670679946838, -0.0335055572025406, 0.8695287061571257, 110.03781286773477, 0.0663830864100244, 0.7921819343958277, 99.98000865517825, 0.2563029201141415, 0.6842987507036047, 87.98957908850453, 0.3804139014052799, 0.7603970802862748, 85.98244561182555, 0.4194979804159737, 0.6460692677257618, 84.04007529617805, 0.4431642804358702, 0.5152678479907699, 79.97561678523375, 0.65135892485885, 0.3374140766942215, 76.00507026816157, 0.9107018757787482, 0.15220914810131, 886.4007290480472, 909.9985254161074, 922.51859290593, 926.4360643571338, 935.5480612977295, 952.8406434790687, 975.706600312111]|373.0945434570312500|      0.25000000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      11|[119.96670679946838, -0.0335055572025406, 0.8695287061571257, 110.03781286773477, 0.0663830864100244, 0.7921819343958277, 99.98000865517825, 0.2563029201141415, 0.6842987507036047, 87.98957908850453, 0.3804139014052799, 0.7603970802862748, 85.98244561182555, 0.4194979804159737, 0.6460692677257618, 84.04007529617805, 0.4431642804358702, 0.5152678479907699, 79.97561678523375, 0.65135892485885, 0.3374140766942215, 76.00507026816157, 0.9107018757787482, 0.15220914810131, 886.4007290480472, 909.9985254161074, 922.51859290593, 926.4360643571338, 935.5480612977295, 952.8406434790687, 975.706600312111]|373.0945434570312500|      0.12500000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[119.96670679946838, -0.0335055572025406, 0.8695287061571257, 110.03781286773477, 0.0663830864100244, 0.7921819343958277, 99.98000865517825, 0.2563029201141415, 0.6842987507036047, 87.98957908850453, 0.3804139014052799, 0.7603970802862748, 85.98244561182555, 0.4194979804159737, 0.6460692677257618, 84.04007529617805, 0.4431642804358702, 0.5152678479907699, 79.97561678523375, 0.65135892485885, 0.3374140766942215, 76.00507026816157, 0.9107018757787482, 0.15220914810131, 886.4007290480472, 909.9985254161074, 922.51859290593, 926.4360643571338, 935.5480612977295, 952.8406434790687, 975.706600312111]|373.0945434570312500|      0.06250000|[1537, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
