k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5751384800206318, 0.2965869607752898, 0.8484407877941793, 0.3459663136154759, -0.0645371268699011, 0.3893162270622818, 0.8608470704563528, 0.9133228718670904, 0.8931916390032972, 0.7563662176638409]| 28.9558523059468556|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       2|[0.5751384800206318, 0.2965869607752898, 0.8484407877941793, 0.3459663136154759, -0.0645371268699011, 0.3893162270622818, 0.8608470704563528, 0.9133228718670904, 0.8931916390032972, 0.7563662176638409]| 28.9558523059468556|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[0.5751384800206318, 0.2965869607752898, 0.8484407877941793, 0.3459663136154759, -0.0645371268699011, 0.3893162270622818, 0.8608470704563528, 0.9133228718670904, 0.8931916390032972, 0.7563662176638409]| 28.9558523059468556|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[0.5751384800206318, 0.2965869607752898, 0.8484407877941793, 0.3459663136154759, -0.0645371268699011, 0.3893162270622818, 0.8608470704563528, 0.9133228718670904, 0.8931916390032972, 0.7563662176638409]| 28.9558523059468556|      0.25000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       5|[0.5751384800206318, 0.2965869607752898, 0.8484407877941793, 0.3459663136154759, -0.0645371268699011, 0.3893162270622818, 0.8608470704563528, 0.9133228718670904, 0.8931916390032972, 0.7563662176638409]| 28.9558523059468556|      0.12500000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[0.5751384800206318, 0.2965869607752898, 0.8484407877941793, 0.3459663136154759, -0.0645371268699011, 0.3893162270622818, 0.8608470704563528, 0.9133228718670904, 0.8931916390032972, 0.7563662176638409]| 28.9558523059468556|      0.06250000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       7|[0.5990759184400322, 0.2903702967497049, 0.8672027588142021, 0.33897157064813, -0.0317965832346412, 0.362911469053566, 0.8594430060917012, 0.8998530053159932, 0.9237310282637867, 0.7534598963643876]| 23.7200891220583649|      0.12500000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       8|[0.5990759184400322, 0.2903702967497049, 0.8672027588142021, 0.33897157064813, -0.0317965832346412, 0.362911469053566, 0.8594430060917012, 0.8998530053159932, 0.9237310282637867, 0.7534598963643876]| 23.7200891220583649|      0.06250000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       9|[0.5990759184400322, 0.2903702967497049, 0.8672027588142021, 0.33897157064813, -0.0317965832346412, 0.362911469053566, 0.8594430060917012, 0.8998530053159932, 0.9237310282637867, 0.7534598963643876]| 23.7200891220583649|      0.03125000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
      10|[0.6205895132032124, 0.2958387050738003, 0.8623119620171363, 0.3321362190045628, -0.0431801423422372, 0.3690250255428101, 0.8539028851203952, 0.8866468239457096, 0.9260084847892122, 0.7474650352754902]| 19.2267428630548984|      0.06250000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      11|[0.6205895132032124, 0.2958387050738003, 0.8623119620171363, 0.3321362190045628, -0.0431801423422372, 0.3690250255428101, 0.8539028851203952, 0.8866468239457096, 0.9260084847892122, 0.7474650352754902]| 19.2267428630548984|      0.03125000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      12|[0.6280204925077058, 0.3192287070731182, 0.8539333686709981, 0.3307904027756804, -0.0451268925281332, 0.3642530227172837, 0.8661218168900298, 0.8960729494869327, 0.9219171254686185, 0.7520239387196324]| 17.4140301247683844|      0.06250000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      13|[0.6280204925077058, 0.3192287070731182, 0.8539333686709981, 0.3307904027756804, -0.0451268925281332, 0.3642530227172837, 0.8661218168900298, 0.8960729494869327, 0.9219171254686185, 0.7520239387196324]| 17.4140301247683844|      0.03125000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      14|[0.6506092724110729, 0.3123298873801916, 0.8609134102164238, 0.330860787649034, -0.0457547212808948, 0.3745047405238648, 0.8683616135560713, 0.8995078559396215, 0.933810179524497, 0.7417167576226054]| 15.5705646955266808|      0.06250000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      15|[0.682294833910468, 0.3218078078530766, 0.8594216174190618, 0.3307369863070533, -0.0609124033537833, 0.329906259626335, 0.8673125495539197, 0.8930151215716893, 0.9322604863097732, 0.7650783914557128]| 12.0317103497358104|      0.12500000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
