k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5307385723413395, 0.0679395784680335, 0.8845643388310837, 0.0769489463157215, 0.7228186769221201, 0.0390863879968888, 1.4613232064955115, 0.0321052182424181, -0.1033015039507059, -0.1230526920639503, 1.4156398259517946, 0.1554897057404733, 0.3315112987932564, 0.2500722839715707, 1.1431998482507177, 0.3515355930949794, 4.501044117392228, -0.2669537814813629, 4.425321581974482, 0.0285778598502762, -0.0134618996252165, -0.1180919662201287, 0.2012466228531314, -0.0634776899110238, 0.6922512670884173, 0.013846664758329, 0.2522936924089507, 0.1097336825929716, 0.0147584526704589, -0.0634420331023348, 1.2568320205900654, 0.0412860802615568, 0.3618112938003757, -0.0812381143797176, 0.0801276672653705, -0.0780966576402337, 0.0076847761344908, 0.1112970633989794, 0.3556735233669031, -0.1373769152398191, 0.4398595606658674, -0.1954447749104219, 0.8973741476000141, 0.0275056220615225, 1.1984639707972966, -0.0341532131050218, 0.9508622607267363, -0.0321157565354034, 0.1464268656623637, -0.048192111779668, 0.4465033658812602, 0.2422848526360718, 0.0708997145365998, 0.0649208629034813, 0.5321263212410782, -0.1948701678945241, 0.0935412660986467, 0.1180575445843454, 0.3015178627337585, -0.0973065943865614, 0.1923267095810327, 0.1542789876530288, -0.1003690188334653, -0.0678294498257672, 0.1867593400604258, 0.0851802722747129]|166257.0937500000000000|      2.00000000|[45, 0, 0, 3]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | iterate success | actual_k=0
       2|[0.5247884057967135, -0.1571942830773275, 0.8518358143547785, -0.0950281275726891, 1.0385876346632226, 0.1851525420606294, 1.482591006511924, -0.2179816287658312, -0.0902910490390693, 0.0188925243583691, 1.3185384841984842, 0.0786481069073872, 0.2653936772815795, 0.511393796592697, 0.7163173822529272, 0.4244658727091751, 4.421608365576168, -0.7889842028535019, 4.200049143146119, 0.3177433977962668, 0.0097253193418798, -0.4003156493373425, 0.8300976567132069, -0.1974975211306286, 0.8855987041435651, -0.2530365927882767, 0.4439953600514654, -0.097790806274536, -0.5242564214646324, -0.1747238721696094, 0.9431840001790535, 0.13679907578248, 0.3786192954482557, 0.0476620795607913, -0.1747633163224888, -0.0637084132802171, -0.114337806111291, 0.3421728710470352, 0.6170742944689803, -0.2053163414446359, 0.5681681939620908, 0.0315038936155945, 1.0565367643628214, -0.0819566087333213, 1.2504666738624055, 0.0659896108559784, 0.986860740379689, -0.0549364740613729, 0.3226597405837676, -0.1586202710809132, 0.1071945403101928, 0.3598828097413456, 0.2537237494358918, 0.5307938289831793, 0.7626090136593281, -0.3749289183166961, 0.4387824397538357, 0.6008862608585317, 0.365522842967049, 0.36008928681854, 0.4957830496260411, 0.2751362345169738, 0.5213275781714453, 0.0458225306048867, 0.2863138771369833, 0.0717310732127553]|15783.8203125000000000|      4.00000000|[89, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | iterate success | actual_k=0
       3|[0.5247884057967135, -0.1571942830773275, 0.8518358143547785, -0.0950281275726891, 1.0385876346632226, 0.1851525420606294, 1.482591006511924, -0.2179816287658312, -0.0902910490390693, 0.0188925243583691, 1.3185384841984842, 0.0786481069073872, 0.2653936772815795, 0.511393796592697, 0.7163173822529272, 0.4244658727091751, 4.421608365576168, -0.7889842028535019, 4.200049143146119, 0.3177433977962668, 0.0097253193418798, -0.4003156493373425, 0.8300976567132069, -0.1974975211306286, 0.8855987041435651, -0.2530365927882767, 0.4439953600514654, -0.097790806274536, -0.5242564214646324, -0.1747238721696094, 0.9431840001790535, 0.13679907578248, 0.3786192954482557, 0.0476620795607913, -0.1747633163224888, -0.0637084132802171, -0.114337806111291, 0.3421728710470352, 0.6170742944689803, -0.2053163414446359, 0.5681681939620908, 0.0315038936155945, 1.0565367643628214, -0.0819566087333213, 1.2504666738624055, 0.0659896108559784, 0.986860740379689, -0.0549364740613729, 0.3226597405837676, -0.1586202710809132, 0.1071945403101928, 0.3598828097413456, 0.2537237494358918, 0.5307938289831793, 0.7626090136593281, -0.3749289183166961, 0.4387824397538357, 0.6008862608585317, 0.365522842967049, 0.36008928681854, 0.4957830496260411, 0.2751362345169738, 0.5213275781714453, 0.0458225306048867, 0.2863138771369833, 0.0717310732127553]|15783.8203125000000000|      2.00000000|[175, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.5247884057967135, -0.1571942830773275, 0.8518358143547785, -0.0950281275726891, 1.0385876346632226, 0.1851525420606294, 1.482591006511924, -0.2179816287658312, -0.0902910490390693, 0.0188925243583691, 1.3185384841984842, 0.0786481069073872, 0.2653936772815795, 0.511393796592697, 0.7163173822529272, 0.4244658727091751, 4.421608365576168, -0.7889842028535019, 4.200049143146119, 0.3177433977962668, 0.0097253193418798, -0.4003156493373425, 0.8300976567132069, -0.1974975211306286, 0.8855987041435651, -0.2530365927882767, 0.4439953600514654, -0.097790806274536, -0.5242564214646324, -0.1747238721696094, 0.9431840001790535, 0.13679907578248, 0.3786192954482557, 0.0476620795607913, -0.1747633163224888, -0.0637084132802171, -0.114337806111291, 0.3421728710470352, 0.6170742944689803, -0.2053163414446359, 0.5681681939620908, 0.0315038936155945, 1.0565367643628214, -0.0819566087333213, 1.2504666738624055, 0.0659896108559784, 0.986860740379689, -0.0549364740613729, 0.3226597405837676, -0.1586202710809132, 0.1071945403101928, 0.3598828097413456, 0.2537237494358918, 0.5307938289831793, 0.7626090136593281, -0.3749289183166961, 0.4387824397538357, 0.6008862608585317, 0.365522842967049, 0.36008928681854, 0.4957830496260411, 0.2751362345169738, 0.5213275781714453, 0.0458225306048867, 0.2863138771369833, 0.0717310732127553]|15783.8203125000000000|      1.00000000|[261, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.5247884057967135, -0.1571942830773275, 0.8518358143547785, -0.0950281275726891, 1.0385876346632226, 0.1851525420606294, 1.482591006511924, -0.2179816287658312, -0.0902910490390693, 0.0188925243583691, 1.3185384841984842, 0.0786481069073872, 0.2653936772815795, 0.511393796592697, 0.7163173822529272, 0.4244658727091751, 4.421608365576168, -0.7889842028535019, 4.200049143146119, 0.3177433977962668, 0.0097253193418798, -0.4003156493373425, 0.8300976567132069, -0.1974975211306286, 0.8855987041435651, -0.2530365927882767, 0.4439953600514654, -0.097790806274536, -0.5242564214646324, -0.1747238721696094, 0.9431840001790535, 0.13679907578248, 0.3786192954482557, 0.0476620795607913, -0.1747633163224888, -0.0637084132802171, -0.114337806111291, 0.3421728710470352, 0.6170742944689803, -0.2053163414446359, 0.5681681939620908, 0.0315038936155945, 1.0565367643628214, -0.0819566087333213, 1.2504666738624055, 0.0659896108559784, 0.986860740379689, -0.0549364740613729, 0.3226597405837676, -0.1586202710809132, 0.1071945403101928, 0.3598828097413456, 0.2537237494358918, 0.5307938289831793, 0.7626090136593281, -0.3749289183166961, 0.4387824397538357, 0.6008862608585317, 0.365522842967049, 0.36008928681854, 0.4957830496260411, 0.2751362345169738, 0.5213275781714453, 0.0458225306048867, 0.2863138771369833, 0.0717310732127553]|15783.8203125000000000|      0.50000000|[347, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.5247884057967135, -0.1571942830773275, 0.8518358143547785, -0.0950281275726891, 1.0385876346632226, 0.1851525420606294, 1.482591006511924, -0.2179816287658312, -0.0902910490390693, 0.0188925243583691, 1.3185384841984842, 0.0786481069073872, 0.2653936772815795, 0.511393796592697, 0.7163173822529272, 0.4244658727091751, 4.421608365576168, -0.7889842028535019, 4.200049143146119, 0.3177433977962668, 0.0097253193418798, -0.4003156493373425, 0.8300976567132069, -0.1974975211306286, 0.8855987041435651, -0.2530365927882767, 0.4439953600514654, -0.097790806274536, -0.5242564214646324, -0.1747238721696094, 0.9431840001790535, 0.13679907578248, 0.3786192954482557, 0.0476620795607913, -0.1747633163224888, -0.0637084132802171, -0.114337806111291, 0.3421728710470352, 0.6170742944689803, -0.2053163414446359, 0.5681681939620908, 0.0315038936155945, 1.0565367643628214, -0.0819566087333213, 1.2504666738624055, 0.0659896108559784, 0.986860740379689, -0.0549364740613729, 0.3226597405837676, -0.1586202710809132, 0.1071945403101928, 0.3598828097413456, 0.2537237494358918, 0.5307938289831793, 0.7626090136593281, -0.3749289183166961, 0.4387824397538357, 0.6008862608585317, 0.365522842967049, 0.36008928681854, 0.4957830496260411, 0.2751362345169738, 0.5213275781714453, 0.0458225306048867, 0.2863138771369833, 0.0717310732127553]|15783.8203125000000000|      0.25000000|[433, 0, 0, 30]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.5247884057967135, -0.1571942830773275, 0.8518358143547785, -0.0950281275726891, 1.0385876346632226, 0.1851525420606294, 1.482591006511924, -0.2179816287658312, -0.0902910490390693, 0.0188925243583691, 1.3185384841984842, 0.0786481069073872, 0.2653936772815795, 0.511393796592697, 0.7163173822529272, 0.4244658727091751, 4.421608365576168, -0.7889842028535019, 4.200049143146119, 0.3177433977962668, 0.0097253193418798, -0.4003156493373425, 0.8300976567132069, -0.1974975211306286, 0.8855987041435651, -0.2530365927882767, 0.4439953600514654, -0.097790806274536, -0.5242564214646324, -0.1747238721696094, 0.9431840001790535, 0.13679907578248, 0.3786192954482557, 0.0476620795607913, -0.1747633163224888, -0.0637084132802171, -0.114337806111291, 0.3421728710470352, 0.6170742944689803, -0.2053163414446359, 0.5681681939620908, 0.0315038936155945, 1.0565367643628214, -0.0819566087333213, 1.2504666738624055, 0.0659896108559784, 0.986860740379689, -0.0549364740613729, 0.3226597405837676, -0.1586202710809132, 0.1071945403101928, 0.3598828097413456, 0.2537237494358918, 0.5307938289831793, 0.7626090136593281, -0.3749289183166961, 0.4387824397538357, 0.6008862608585317, 0.365522842967049, 0.36008928681854, 0.4957830496260411, 0.2751362345169738, 0.5213275781714453, 0.0458225306048867, 0.2863138771369833, 0.0717310732127553]|15783.8203125000000000|      0.12500000|[519, 0, 0, 36]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.5147181344663068, -0.1719379542329746, 0.8461020419267158, -0.1061489171494336, 1.0495306455253524, 0.177311624718673, 1.4676948305748596, -0.2096989694958911, -0.1151679848114083, 0.0389122792010276, 1.3154186671040613, 0.0641189962535754, 0.2580144120744476, 0.4905292877616303, 0.7160892941988314, 0.4306148580254709, 4.428867279570672, -0.7959079305135852, 4.211621626944029, 0.3243758229608029, 0.0285317703564363, -0.4192803141204973, 0.8363083512014756, -0.2140743521947159, 0.8890452236779762, -0.2658745617816876, 0.4253381573357128, -0.1164263839649319, -0.4920929793161161, -0.1688432563056971, 0.9622477860868102, 0.1391609305744851, 0.3525582826035607, 0.0425223235543796, -0.1916857363178218, -0.0869904951116343, -0.0941569349173831, 0.3234080080645043, 0.5955684823564473, -0.2191141653667569, 0.5686858876837845, 0.0613429383847278, 1.0863482300235106, -0.076973775804552, 1.2613830844742295, 0.0859096142733513, 0.9873514184329547, -0.0795106764832175, 0.303791039362657, -0.1575711425268273, 0.1004397172753106, 0.3501415494389346, 0.2727243083824892, 0.5408715403445061, 0.7611259591985097, -0.3661560137648998, 0.4206303003185211, 0.5784439247648713, 0.3637531227675156, 0.3796263118504932, 0.4997139957017163, 0.2687049793087702, 0.5272167684003688, 0.0576493482773623, 0.3141164183030187, 0.0844634828462195]|13399.8046875000000000|      0.25000000|[549, 0, 0, 38]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       9|[0.5147181344663068, -0.1719379542329746, 0.8461020419267158, -0.1061489171494336, 1.0495306455253524, 0.177311624718673, 1.4676948305748596, -0.2096989694958911, -0.1151679848114083, 0.0389122792010276, 1.3154186671040613, 0.0641189962535754, 0.2580144120744476, 0.4905292877616303, 0.7160892941988314, 0.4306148580254709, 4.428867279570672, -0.7959079305135852, 4.211621626944029, 0.3243758229608029, 0.0285317703564363, -0.4192803141204973, 0.8363083512014756, -0.2140743521947159, 0.8890452236779762, -0.2658745617816876, 0.4253381573357128, -0.1164263839649319, -0.4920929793161161, -0.1688432563056971, 0.9622477860868102, 0.1391609305744851, 0.3525582826035607, 0.0425223235543796, -0.1916857363178218, -0.0869904951116343, -0.0941569349173831, 0.3234080080645043, 0.5955684823564473, -0.2191141653667569, 0.5686858876837845, 0.0613429383847278, 1.0863482300235106, -0.076973775804552, 1.2613830844742295, 0.0859096142733513, 0.9873514184329547, -0.0795106764832175, 0.303791039362657, -0.1575711425268273, 0.1004397172753106, 0.3501415494389346, 0.2727243083824892, 0.5408715403445061, 0.7611259591985097, -0.3661560137648998, 0.4206303003185211, 0.5784439247648713, 0.3637531227675156, 0.3796263118504932, 0.4997139957017163, 0.2687049793087702, 0.5272167684003688, 0.0576493482773623, 0.3141164183030187, 0.0844634828462195]|13399.8046875000000000|      0.12500000|[635, 0, 0, 44]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.5115772024307922, -0.1794785393373138, 0.8640814610690862, -0.1115682406694985, 1.0412807720329003, 0.1757825026731376, 1.483889431031258, -0.2109652976041928, -0.1164005744017669, 0.0541937117700298, 1.3003372627735745, 0.0996909898283884, 0.247760058097937, 0.4959550697792975, 0.7241174590672054, 0.4074473482703951, 4.41158480956968, -0.7873455118971351, 4.2401720245665775, 0.332866677929762, 0.0033860417403477, -0.4148005698962374, 0.8479386458165563, -0.1929738030625798, 0.8933589677108429, -0.2555782583497804, 0.421408702871035, -0.1283283684643204, -0.4690542009105072, -0.1568816051646462, 0.9680953631963735, 0.1576402049722992, 0.3506677963408717, 0.0618594018098953, -0.1813450347421849, -0.064247806874034, -0.0775622339626799, 0.3119511189415287, 0.5941279257310939, -0.2352600785825017, 0.5597097079051805, 0.0362768472091956, 1.0787026268413258, -0.1053780620989838, 1.2770337540005705, 0.1006357599888132, 0.9737075340753655, -0.0936215657679433, 0.2977549891886562, -0.1537779237014862, 0.0875408013715524, 0.3781162595248282, 0.2936415483385837, 0.5230407567852569, 0.771796294730779, -0.3885939881685606, 0.4195525956360242, 0.5657770361656107, 0.3670842415595454, 0.3918736765855187, 0.4959407005249734, 0.2521785463594213, 0.5532740620836082, 0.0409341751715821, 0.3299182215979993, 0.1018240631699527]|10945.2841796875000000|      0.25000000|[665, 0, 0, 46]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
