k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[59, 0, 1, 5]                                                              |  | used quadratic model with 59 points | iterate failure | actual_k=0
       2|[0.0539168904938112, -0.0975457913705577, -0.0077708651977635, -0.032512007768295, 0.4686618050074951, -0.107457093222248, -0.0054130533302697, 0.059060695637216, -0.041856770517516]|100513.8326233889529249|      1.00000000|[118, 0, 2, 10]                                                            |  | used quadratic model with 59 points | iterate success | actual_k=0
       3|[0.0539168904938112, -0.0975457913705577, -0.0077708651977635, -0.032512007768295, 0.4686618050074951, -0.107457093222248, -0.0054130533302697, 0.059060695637216, -0.041856770517516]|100513.8326233889529249|      0.50000000|[177, 0, 3, 15]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
       4|[0.0539168904938112, -0.0975457913705577, -0.0077708651977635, -0.032512007768295, 0.4686618050074951, -0.107457093222248, -0.0054130533302697, 0.059060695637216, -0.041856770517516]|100513.8326233889529249|      0.25000000|[236, 0, 4, 20]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
       5|[0.0645239092372516, -0.0743939639806363, 0.0008844964842759, 0.044961734132855, 0.6769382687853027, -0.0181936681262781, -0.0217491275999081, 0.1050152105653979, 0.0034053425947857]|13431.4168208074606810|      0.50000000|[295, 0, 5, 25]                                                            |  | used quadratic model with 59 points | iterate success | actual_k=0
       6|[0.0645239092372516, -0.0743939639806363, 0.0008844964842759, 0.044961734132855, 0.6769382687853027, -0.0181936681262781, -0.0217491275999081, 0.1050152105653979, 0.0034053425947857]|13431.4168208074606810|      0.25000000|[354, 0, 6, 30]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
       7|[0.1114741022466602, -0.0819331042075314, 0.0010837921642919, -0.0200466374926217, 0.910805702128621, -0.0350084716233484, -0.0316496006920326, 0.0767035530779758, 0.0150856391871168]|1765.4551053849802429|      0.50000000|[413, 0, 7, 35]                                                            |  | used quadratic model with 59 points | iterate success | actual_k=0
       8|[0.1114741022466602, -0.0819331042075314, 0.0010837921642919, -0.0200466374926217, 0.910805702128621, -0.0350084716233484, -0.0316496006920326, 0.0767035530779758, 0.0150856391871168]|1765.4551053849802429|      0.25000000|[472, 0, 8, 40]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
       9|[0.1114741022466602, -0.0819331042075314, 0.0010837921642919, -0.0200466374926217, 0.910805702128621, -0.0350084716233484, -0.0316496006920326, 0.0767035530779758, 0.0150856391871168]|1765.4551053849802429|      0.12500000|[531, 0, 9, 45]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=0
      10|[0.1114741022466602, -0.0819331042075314, 0.0010837921642919, -0.0200466374926217, 0.910805702128621, -0.0350084716233484, -0.0316496006920326, 0.0767035530779758, 0.0150856391871168]|1765.4551053849802429|      0.06250000|[590, 0, 10, 50]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=0
      11|[0.1141276539834574, -0.0864648808816064, 0.0015835459611332, 0.0106058427531592, 0.9149327285382706, 0.0186433386159125, -0.0329489140069114, 0.0818698543460226, 0.0189482019973433]|567.5984540390029451|      0.12500000|[649, 0, 11, 55]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=0
      12|[0.1141276539834574, -0.0864648808816064, 0.0015835459611332, 0.0106058427531592, 0.9149327285382706, 0.0186433386159125, -0.0329489140069114, 0.0818698543460226, 0.0189482019973433]|567.5984540390029451|      0.06250000|[708, 0, 12, 60]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=0
      13|[0.1141276539834574, -0.0864648808816064, 0.0015835459611332, 0.0106058427531592, 0.9149327285382706, 0.0186433386159125, -0.0329489140069114, 0.0818698543460226, 0.0189482019973433]|567.5984540390029451|      0.03125000|[767, 0, 13, 65]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=0
      14|[0.1119131491112006, -0.0836929285891305, 0.0021043643016264, -0.0110830916459115, 0.9246519961179187, -0.0006560773685317, -0.0344711413298813, 0.0866237109805725, 0.0177458405716782]|158.9267796566630011|      0.06250000|[826, 0, 14, 70]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=0
      15|[0.1119131491112006, -0.0836929285891305, 0.0021043643016264, -0.0110830916459115, 0.9246519961179187, -0.0006560773685317, -0.0344711413298813, 0.0866237109805725, 0.0177458405716782]|158.9267796566630011|      0.03125000|[885, 0, 15, 75]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=0
      16|[0.1119131491112006, -0.0836929285891305, 0.0021043643016264, -0.0110830916459115, 0.9246519961179187, -0.0006560773685317, -0.0344711413298813, 0.0866237109805725, 0.0177458405716782]|158.9267796566630011|      0.01562500|[944, 0, 16, 80]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=0
      17|[0.1134713138124676, -0.0856217684337734, 0.0053109468645502, 0.0032026862726208, 0.9284528171696633, 0.0019941718390186, -0.0340519040533092, 0.0856929904270256, 0.0166900754583106]| 76.0055927120968136|      0.03125000|[1003, 0, 17, 85]                                                          |  | used quadratic model with 59 points | iterate success | actual_k=0
