k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[61, 4, 1, 2]                                                              |  | used linear model with 65 points | iterate failure | actual_k=4
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[122, 8, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=4
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[183, 12, 3, 6]                                                            |  | used linear model with 65 points | iterate failure | actual_k=4
       4|[120.00354710900717, -0.0098111300979603, 0.8613915978292594, 110.01345276590644, 0.2020231751195175, 0.8345479469019705, 99.9904323936494, 0.2549029528644527, 0.7074507726714192, 87.98464623599453, 0.3164060325398128, 0.6954576211827863, 86.00745516581748, 0.3582995447899048, 0.6392431231320341, 83.9832075698861, 0.4782112483373055, 0.5369564096567894, 80.00114688944335, 0.6592581406441334, 0.3412330238185497, 76.00871521826934, 0.8730877320737201, 0.1183260503360601, 886.3740690091672, 910.0122938205, 922.5221918578673, 926.4527604312235, 935.5614013084905, 952.8201642954211, 975.7373137459227]|2800.5431400087773000|      0.25000000|[244, 16, 4, 8]                                                            |  | used linear model with 65 points | iterate success | actual_k=4
       5|[120.00354710900717, -0.0098111300979603, 0.8613915978292594, 110.01345276590644, 0.2020231751195175, 0.8345479469019705, 99.9904323936494, 0.2549029528644527, 0.7074507726714192, 87.98464623599453, 0.3164060325398128, 0.6954576211827863, 86.00745516581748, 0.3582995447899048, 0.6392431231320341, 83.9832075698861, 0.4782112483373055, 0.5369564096567894, 80.00114688944335, 0.6592581406441334, 0.3412330238185497, 76.00871521826934, 0.8730877320737201, 0.1183260503360601, 886.3740690091672, 910.0122938205, 922.5221918578673, 926.4527604312235, 935.5614013084905, 952.8201642954211, 975.7373137459227]|2800.5431400087773000|      0.12500000|[305, 20, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=4
       6|[120.00914601782561, 0.0350876461697298, 0.8716716245792613, 110.0126598843846, 0.1058309358924932, 0.795799487167868, 100.00391901481188, 0.2538148193201154, 0.7297200424127642, 87.99847455599748, 0.3270514566280048, 0.6872777632917886, 86.01306988589971, 0.3596514260731336, 0.6346850606169206, 83.98474906327607, 0.4825704059674165, 0.5403085960530255, 80.0034071111076, 0.663146886927635, 0.3501396166040146, 76.01440033582807, 0.874198725983878, 0.1125870149628038, 886.3970246765507, 909.9983433213797, 922.5194431193338, 926.454854839838, 935.5415029374034, 952.8369935178558, 975.7383722849466]|1919.5490313285540651|      0.25000000|[366, 24, 6, 12]                                                           |  | used linear model with 65 points | iterate success | actual_k=4
       7|[120.00914601782561, 0.0350876461697298, 0.8716716245792613, 110.0126598843846, 0.1058309358924932, 0.795799487167868, 100.00391901481188, 0.2538148193201154, 0.7297200424127642, 87.99847455599748, 0.3270514566280048, 0.6872777632917886, 86.01306988589971, 0.3596514260731336, 0.6346850606169206, 83.98474906327607, 0.4825704059674165, 0.5403085960530255, 80.0034071111076, 0.663146886927635, 0.3501396166040146, 76.01440033582807, 0.874198725983878, 0.1125870149628038, 886.3970246765507, 909.9983433213797, 922.5194431193338, 926.454854839838, 935.5415029374034, 952.8369935178558, 975.7383722849466]|1919.5490313285540651|      0.12500000|[427, 28, 7, 14]                                                           |  | used linear model with 65 points | iterate failure | actual_k=4
       8|[120.00914601782561, 0.0350876461697298, 0.8716716245792613, 110.0126598843846, 0.1058309358924932, 0.795799487167868, 100.00391901481188, 0.2538148193201154, 0.7297200424127642, 87.99847455599748, 0.3270514566280048, 0.6872777632917886, 86.01306988589971, 0.3596514260731336, 0.6346850606169206, 83.98474906327607, 0.4825704059674165, 0.5403085960530255, 80.0034071111076, 0.663146886927635, 0.3501396166040146, 76.01440033582807, 0.874198725983878, 0.1125870149628038, 886.3970246765507, 909.9983433213797, 922.5194431193338, 926.454854839838, 935.5415029374034, 952.8369935178558, 975.7383722849466]|1919.5490313285540651|      0.06250000|[488, 32, 8, 16]                                                           |  | used linear model with 65 points | iterate failure | actual_k=4
       9|[120.00857041782538, -0.0167256641146513, 0.8542670475600751, 110.01198040712404, 0.1259727750417062, 0.7996993616977961, 100.00594092782639, 0.2391568706262184, 0.7228737838467235, 87.99803371476663, 0.3374186185711744, 0.6872976046290006, 86.01306493826456, 0.3611425235237012, 0.6358784550001796, 83.98833194551261, 0.4851238253066669, 0.5403850652423972, 80.00382301125813, 0.6589575305906759, 0.3560519933864418, 76.01720851629523, 0.8750793900702655, 0.1097113699643219, 886.3963348065563, 909.9994262020309, 922.5193975987786, 926.4583591702633, 935.5389872937565, 952.8392616074617, 975.7407182386244]|750.6894162369741252|      0.12500000|[549, 36, 9, 18]                                                           |  | used linear model with 65 points | iterate success | actual_k=4
      10|[120.00857041782538, -0.0167256641146513, 0.8542670475600751, 110.01198040712404, 0.1259727750417062, 0.7996993616977961, 100.00594092782639, 0.2391568706262184, 0.7228737838467235, 87.99803371476663, 0.3374186185711744, 0.6872976046290006, 86.01306493826456, 0.3611425235237012, 0.6358784550001796, 83.98833194551261, 0.4851238253066669, 0.5403850652423972, 80.00382301125813, 0.6589575305906759, 0.3560519933864418, 76.01720851629523, 0.8750793900702655, 0.1097113699643219, 886.3963348065563, 909.9994262020309, 922.5193975987786, 926.4583591702633, 935.5389872937565, 952.8392616074617, 975.7407182386244]|750.6894162369741252|      0.06250000|[610, 40, 10, 20]                                                          |  | used linear model with 65 points | iterate failure | actual_k=4
      11|[120.01344956612175, -0.0287780159861755, 0.8456748562085052, 110.00782057923828, 0.0910244113600663, 0.7942190806265909, 99.99768196942743, 0.2260622727645726, 0.7110361990439288, 87.99790760207061, 0.3665206268762078, 0.6816443106221696, 86.01033946833097, 0.3868013532012652, 0.6440576879708212, 83.9893257776605, 0.4861216642114137, 0.5370841587892559, 79.99443199332269, 0.6524547031264517, 0.3570914668769698, 76.00530879691269, 0.8786477504000415, 0.1105086409679891, 886.3922374587835, 909.9988472600339, 922.5174289324642, 926.4554821747951, 935.5391097296558, 952.8439422343072, 975.7334649399428]|296.9202466975384596|      0.12500000|[671, 44, 11, 22]                                                          |  | used linear model with 65 points | iterate success | actual_k=4
