k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[1.1431887859035617, -1.2335203765929634, -0.8579343710726262, -0.9849335107253046, -1.2486772316379033, -1.04761979485924, -1.098408761129594, -1.035154106554602, -1.207864060815952, -1.1905780407985413]|  3.2309774305613725|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[1.1431887859035617, -1.2335203765929634, -0.8579343710726262, -0.9849335107253046, -1.2486772316379033, -1.04761979485924, -1.098408761129594, -1.035154106554602, -1.207864060815952, -1.1905780407985413]|  3.2309774305613725|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[1.1431887859035617, -1.2335203765929634, -0.8579343710726262, -0.9849335107253046, -1.2486772316379033, -1.04761979485924, -1.098408761129594, -1.035154106554602, -1.207864060815952, -1.1905780407985413]|  3.2309774305613725|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[1.0445458896464876, -1.2053641897393057, -0.950402173682265, -1.0496567707023947, -1.2879805490166931, -1.1997273398346529, -0.9896306473400712, -1.0022159001353956, -1.2201151794110516, -1.1520000175938203]|  1.9914079479305524|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[1.0445458896464876, -1.2053641897393057, -0.950402173682265, -1.0496567707023947, -1.2879805490166931, -1.1997273398346529, -0.9896306473400712, -1.0022159001353956, -1.2201151794110516, -1.1520000175938203]|  1.9914079479305524|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[1.0130481281225514, -1.227214461229143, -0.97053253306882, -1.1405299574827878, -1.2198795724541711, -1.158704746201132, -1.1540731778773137, -1.1079641258978334, -1.222000314721458, -1.0635743076649684]|  0.1334115481765756|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[1.0130481281225514, -1.227214461229143, -0.97053253306882, -1.1405299574827878, -1.2198795724541711, -1.158704746201132, -1.1540731778773137, -1.1079641258978334, -1.222000314721458, -1.0635743076649684]|  0.1334115481765756|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[1.0130481281225514, -1.227214461229143, -0.97053253306882, -1.1405299574827878, -1.2198795724541711, -1.158704746201132, -1.1540731778773137, -1.1079641258978334, -1.222000314721458, -1.0635743076649684]|  0.1334115481765756|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[1.0130481281225514, -1.227214461229143, -0.97053253306882, -1.1405299574827878, -1.2198795724541711, -1.158704746201132, -1.1540731778773137, -1.1079641258978334, -1.222000314721458, -1.0635743076649684]|  0.1334115481765756|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[1.0105161053713385, -1.219018403235148, -1.0019724985591156, -1.169361236756022, -1.192800718013751, -1.1308071099954307, -1.155340810729334, -1.0905494561000042, -1.2282439575799706, -1.076126050275199]|  0.0280106285237894|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
