k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       2|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.25000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.12500000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.06250000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       5|[1.0004142055091978, -1.0301425545393605, -1.0056712703210209, -1.0163836359718816, -1.0297992309696564, -1.0194423937108905, -1.0111595040690906, -1.0237371942640565, -1.0194385772369945, -1.0191068039644566]|  4.3259551586470577|      0.12500000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       6|[1.0254959588741817, -1.0773033673230603, -1.079477949363822, -1.0615671621879552, -1.0645396421193314, -1.0503564232504101, -1.031241017131954, -1.0356901912177412, -1.060211249413003, -1.049300528219896]|  1.2003645224352766|      0.25000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       7|[1.0254959588741817, -1.0773033673230603, -1.079477949363822, -1.0615671621879552, -1.0645396421193314, -1.0503564232504101, -1.031241017131954, -1.0356901912177412, -1.060211249413003, -1.049300528219896]|  1.2003645224352766|      0.12500000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[1.0416495095015943, -1.0804956187776718, -1.0345131710092839, -1.0776751806294689, -1.0790927964654669, -1.048971004965336, -1.0444520758681877, -1.1054669752229074, -1.1417709663902629, -1.0834112304187604]|  0.6224394000578467|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       9|[1.0416495095015943, -1.0804956187776718, -1.0345131710092839, -1.0776751806294689, -1.0790927964654669, -1.048971004965336, -1.0444520758681877, -1.1054669752229074, -1.1417709663902629, -1.0834112304187604]|  0.6224394000578467|      0.12500000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
      10|[1.0416495095015943, -1.0804956187776718, -1.0345131710092839, -1.0776751806294689, -1.0790927964654669, -1.048971004965336, -1.0444520758681877, -1.1054669752229074, -1.1417709663902629, -1.0834112304187604]|  0.6224394000578467|      0.06250000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[1.0485235301156395, -1.080683081481675, -1.0673921589403823, -1.0891948909799445, -1.0970416952467417, -1.0719151827004232, -1.0643247889532044, -1.134533337244673, -1.1630389567586377, -1.093635090949469]|  0.2423586002390198|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
