k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[1.264055395769312, 0.5839994295253718, 0.6119401036867187, 0.762931179343934, 0.4916490445177259, 2.9989571862241355, 4.915077053635015, 7.02161381024977, 2.1047682159858883, 4.541970392648207, 5.6388706142979865]|  2.0754467301567336|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[1.264055395769312, 0.5839994295253718, 0.6119401036867187, 0.762931179343934, 0.4916490445177259, 2.9989571862241355, 4.915077053635015, 7.02161381024977, 2.1047682159858883, 4.541970392648207, 5.6388706142979865]|  2.0754467301567336|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[1.264055395769312, 0.5839994295253718, 0.6119401036867187, 0.762931179343934, 0.4916490445177259, 2.9989571862241355, 4.915077053635015, 7.02161381024977, 2.1047682159858883, 4.541970392648207, 5.6388706142979865]|  2.0754467301567336|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[1.2813641499629485, 0.4930866482487776, 0.6226432028299024, 0.7696982643968059, 0.4884311827886818, 2.998893309576254, 4.8849556476584866, 7.002185433935545, 2.1244973579389574, 4.587130461675535, 5.695227805162473]|  1.5270188003412428|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[1.2813641499629485, 0.4930866482487776, 0.6226432028299024, 0.7696982643968059, 0.4884311827886818, 2.998893309576254, 4.8849556476584866, 7.002185433935545, 2.1244973579389574, 4.587130461675535, 5.695227805162473]|  1.5270188003412428|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[1.2813641499629485, 0.4930866482487776, 0.6226432028299024, 0.7696982643968059, 0.4884311827886818, 2.998893309576254, 4.8849556476584866, 7.002185433935545, 2.1244973579389574, 4.587130461675535, 5.695227805162473]|  1.5270188003412428|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[1.2719231528943806, 0.4398662651759695, 0.6220682300635166, 0.7684412699748073, 0.4870162535181677, 3.0028319586163223, 4.895962232345036, 7.009345758475282, 2.146024465137367, 4.604537052772038, 5.700371916190167]|  1.3025785909682404|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[1.2822369860754244, 0.3581215769534986, 0.6810715918635835, 0.7664610252625782, 0.4388677488095835, 3.0120132103773303, 4.88099758417112, 7.023109513323582, 2.188070380132365, 4.604320886831527, 5.728071221093893]|  0.9972867227512576|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[1.2822369860754244, 0.3581215769534986, 0.6810715918635835, 0.7664610252625782, 0.4388677488095835, 3.0120132103773303, 4.88099758417112, 7.023109513323582, 2.188070380132365, 4.604320886831527, 5.728071221093893]|  0.9972867227512576|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
