k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[99.99628172367719, -0.0284732313070537, -0.1216570981082574]                   |10598.4075342292180721|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[100.12568966121546, -0.2054285384752108, -0.241825334207117]                   |1906.8049407348310069|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[100.12568966121546, -0.2054285384752108, -0.241825334207117]                   |1906.8049407348310069|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[100.12568966121546, -0.2054285384752108, -0.241825334207117]                   |1906.8049407348310069|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[100.12568966121546, -0.2054285384752108, -0.241825334207117]                   |1906.8049407348310069|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[100.15301579447353, -0.2586786972191905, -0.2238266388404229]                  |1862.3565540717490876|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[100.15301579447353, -0.2586786972191905, -0.2238266388404229]                  |1862.3565540717490876|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[100.14267359258037, -0.3176675200392067, -0.2059490651149532]                  |1823.6707307290939752|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[100.14267359258037, -0.3176675200392067, -0.2059490651149532]                  |1823.6707307290939752|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[100.14267359258037, -0.3176675200392067, -0.2059490651149532]                  |1823.6707307290939752|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[100.16119674345775, -0.2947184428828192, -0.1956148869065123]                  |1805.9668294336781855|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[100.134277917759, -0.3502885232182069, -0.1859405396665882]                    |1774.0505641692675454|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
