k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 10.0, 1.0, 1.0]                                                         |3066308.1922855651937425|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.09232622066496, 9.851899046116305, 1.960532130292329, 1.216610256249665]   |2658637.7495088279247284|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[100.09232622066496, 9.851899046116305, 1.960532130292329, 1.216610256249665]   |2658637.7495088279247284|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[100.0048220428044, 9.644310681442127, 2.90000970672655, 1.4747419534240573]    |2633245.6762231793254614|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[100.0048220428044, 9.644310681442127, 2.90000970672655, 1.4747419534240573]    |2633245.6762231793254614|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[100.80920410951171, 9.470917155743068, 3.4283010840374555, 1.6840560634699]    |2624119.1245050593279302|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[102.60513074823457, 9.236253092188537, 4.121979265263379, 2.1723089349338514]  |2607275.4058584803715348|      4.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[102.60513074823457, 9.236253092188537, 4.121979265263379, 2.1723089349338514]  |2607275.4058584803715348|      2.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[104.58663360290467, 9.396895013395461, 3.9072764604226244, 2.2140619669040347] |2587161.2152774636633694|      4.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[104.58663360290467, 9.396895013395461, 3.9072764604226244, 2.2140619669040347] |2587161.2152774636633694|      2.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[106.56688037441998, 9.457922661667657, 3.647495862140811, 2.1279667242601645]  |2567124.1588332452811301|      4.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[106.56688037441998, 9.457922661667657, 3.647495862140811, 2.1279667242601645]  |2567124.1588332452811301|      2.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[108.56052305156138, 9.613985897779047, 3.6271247117206604, 2.152829516651267]  |2547405.3091819495894015|      4.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[108.56052305156138, 9.613985897779047, 3.6271247117206604, 2.152829516651267]  |2547405.3091819495894015|      2.00000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[110.26712537431104, 9.9161417380936, 4.499448329839757, 2.6378675207508304]    |2532657.2718285354785621|      4.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
