k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[20.005306120918394, 2.0353163710162434, 2.011339690943129, 1.9997930291662094, 0.6985939907293617]|4986.9877929687500000|      1.00000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[20.005306120918394, 2.0353163710162434, 2.011339690943129, 1.9997930291662094, 0.6985939907293617]|4986.9877929687500000|      0.50000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[20.005306120918394, 2.0353163710162434, 2.011339690943129, 1.9997930291662094, 0.6985939907293617]|4986.9877929687500000|      0.25000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[20.005306120918394, 2.0353163710162434, 2.011339690943129, 1.9997930291662094, 0.6985939907293617]|4986.9877929687500000|      0.12500000|[121, 40, 1, 11]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[19.99583286475798, 2.027491528113629, 2.0043953422623506, 2.0050404869190857, 0.5745042270105113]|4065.8715820312500000|      0.25000000|[146, 48, 1, 13]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       7|[20.035189711998395, 2.204510138912117, 2.093692364447371, 2.1100317565685813, 0.4714589693198106]|3851.4260253906250000|      0.50000000|[170, 56, 1, 15]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[20.035189711998395, 2.204510138912117, 2.093692364447371, 2.1100317565685813, 0.4714589693198106]|3851.4260253906250000|      0.25000000|[194, 64, 1, 17]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[20.035189711998395, 2.204510138912117, 2.093692364447371, 2.1100317565685813, 0.4714589693198106]|3851.4260253906250000|      0.12500000|[218, 72, 1, 19]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[20.018435377188556, 2.2272088995869472, 2.087986975553107, 2.071801452276066, 0.5869360272151931]|3662.6023695580042840|      0.25000000|[242, 80, 2, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      11|[20.018435377188556, 2.2272088995869472, 2.087986975553107, 2.071801452276066, 0.5869360272151931]|3662.6023695580042840|      0.12500000|[267, 88, 2, 24]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      12|[20.018435377188556, 2.2272088995869472, 2.087986975553107, 2.071801452276066, 0.5869360272151931]|3662.6023695580042840|      0.06250000|[291, 96, 3, 27]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      13|[20.023486497778354, 2.2365199097433446, 2.0950821666522152, 2.073023510929927, 0.5257624536186764]|3489.0979003906250000|      0.12500000|[316, 104, 3, 29]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      14|[20.023486497778354, 2.2365199097433446, 2.0950821666522152, 2.073023510929927, 0.5257624536186764]|3489.0979003906250000|      0.06250000|[340, 112, 4, 32]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      15|[20.023486497778354, 2.2365199097433446, 2.0950821666522152, 2.073023510929927, 0.5257624536186764]|3489.0979003906250000|      0.03125000|[365, 120, 5, 35]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
