k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[20.023569647393202, 2.0170895860429257, 2.0821228518811377, 1.9258418958421106, 0.6867328122874581]|4835.2990217421947818|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[20.023569647393202, 2.0170895860429257, 2.0821228518811377, 1.9258418958421106, 0.6867328122874581]|4835.2990217421947818|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[20.023569647393202, 2.0170895860429257, 2.0821228518811377, 1.9258418958421106, 0.6867328122874581]|4835.2990217421947818|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[20.16107603013611, 1.916324564829727, 2.1101246845434987, 1.9358299711344527, 0.5063040426181822]|4576.2778834972195909|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[20.16107603013611, 1.916324564829727, 2.1101246845434987, 1.9358299711344527, 0.5063040426181822]|4576.2778834972195909|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[20.16107603013611, 1.916324564829727, 2.1101246845434987, 1.9358299711344527, 0.5063040426181822]|4576.2778834972195909|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[20.153626268982332, 1.9859393316027691, 2.124421013060192, 1.9356251913200786, 0.6088655283818791]|4174.9529782338968289|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[20.153626268982332, 1.9859393316027691, 2.124421013060192, 1.9356251913200786, 0.6088655283818791]|4174.9529782338968289|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[20.14633851631355, 2.083020664674078, 2.1077406401273304, 1.884916112593868, 0.5514420321134013]|3850.3203424228904623|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[20.14633851631355, 2.083020664674078, 2.1077406401273304, 1.884916112593868, 0.5514420321134013]|3850.3203424228904623|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[20.14633851631355, 2.083020664674078, 2.1077406401273304, 1.884916112593868, 0.5514420321134013]|3850.3203424228904623|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[20.151233066644245, 2.1348760986582893, 2.1386291174367353, 1.879643764869878, 0.5659820342575919]|3725.5372087336468212|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
