k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.50000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       2|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.25000000|[6, 2, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       3|[-0.9576519689112551, 0.9386205911774251]                                       |2358.1469073465405017|      0.50000000|[9, 3, 3, 6]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       4|[-0.9576519689112551, 0.9386205911774251]                                       |2358.1469073465405017|      0.25000000|[13, 3, 4, 8]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       5|[-0.959597711971622, 0.6886281631242078]                                        |1318.3441974575309814|      0.50000000|[16, 4, 5, 10]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       6|[-0.469787364727838, 0.588199961243841]                                         |  2.1785596089828352|      1.00000000|[19, 5, 6, 12]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       7|[-0.469787364727838, 0.588199961243841]                                         |  2.1785596089828352|      0.50000000|[22, 6, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[0.026455449544586, 0.527019332912771]                                          |  0.0000372837492706|      1.00000000|[25, 7, 8, 16]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       9|[0.026455449544586, 0.527019332912771]                                          |  0.0000372837492706|      0.50000000|[28, 8, 9, 18]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      10|[0.026455449544586, 0.527019332912771]                                          |  0.0000372837492706|      0.25000000|[31, 9, 9, 19]                                                             |  | used linear model with 4 points | actual_k=1
      11|[0.026455449544586, 0.527019332912771]                                          |  0.0000372837492706|      0.12500000|[33, 10, 9, 20]                                                            |  | used linear model with 4 points | actual_k=1
