k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00390625|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[-0.0022460865584773, 0.0010163723375335, 0.0004408651301283, -0.0001674303732678, -0.0015750421033661, 0.0001597231732287, -0.0013238084000996, -0.0002688380310921, -0.0010851464804546, 0.0002368961345411, 0.0002715047673941, 0.0010837074163021, 0.000677211680245, -0.0004420476791474, 1.0012213286823872]|2120.6492532306451722|      0.00781250|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[-0.0022460865584773, 0.0010163723375335, 0.0004408651301283, -0.0001674303732678, -0.0015750421033661, 0.0001597231732287, -0.0013238084000996, -0.0002688380310921, -0.0010851464804546, 0.0002368961345411, 0.0002715047673941, 0.0010837074163021, 0.000677211680245, -0.0004420476791474, 1.0012213286823872]|2120.6492532306451722|      0.00390625|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[-0.0022460865584773, 0.0010163723375335, 0.0004408651301283, -0.0001674303732678, -0.0015750421033661, 0.0001597231732287, -0.0013238084000996, -0.0002688380310921, -0.0010851464804546, 0.0002368961345411, 0.0002715047673941, 0.0010837074163021, 0.000677211680245, -0.0004420476791474, 1.0012213286823872]|2120.6492532306451722|      0.00195312|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[-0.0022460865584773, 0.0010163723375335, 0.0004408651301283, -0.0001674303732678, -0.0015750421033661, 0.0001597231732287, -0.0013238084000996, -0.0002688380310921, -0.0010851464804546, 0.0002368961345411, 0.0002715047673941, 0.0010837074163021, 0.000677211680245, -0.0004420476791474, 1.0012213286823872]|2120.6492532306451722|      0.00097656|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[-0.0026809645090931, 0.0009710747730305, 0.0003056883270054, -0.000178234369339, -0.0011721820194084, 0.0004567315948229, -0.0016325568787832, -0.0005082332208355, -0.000742565698554, 0.0001311995658306, 3.12105521745e-05, 0.0012799929336994, 0.000689599904409, -0.0007492426372298, 1.0013684453355676]|2118.1684414139540422|      0.00195312|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[-0.0026809645090931, 0.0009710747730305, 0.0003056883270054, -0.000178234369339, -0.0011721820194084, 0.0004567315948229, -0.0016325568787832, -0.0005082332208355, -0.000742565698554, 0.0001311995658306, 3.12105521745e-05, 0.0012799929336994, 0.000689599904409, -0.0007492426372298, 1.0013684453355676]|2118.1684414139540422|      0.00097656|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[-0.0027474731030653, 0.0012347496385435, 0.0002270359166471, -0.000330487780245, -0.0009746958094333, 0.0011301116451177, -0.0015104661134166, -0.0010482803362402, -0.0006691191946489, 5.60233952904e-05, 3.81405064192e-05, 0.0012026609465868, 0.0006169015780944, -0.0007524623556491, 1.0011981775187389]|2116.5634429363890376|      0.00195312|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[-0.0027474731030653, 0.0012347496385435, 0.0002270359166471, -0.000330487780245, -0.0009746958094333, 0.0011301116451177, -0.0015104661134166, -0.0010482803362402, -0.0006691191946489, 5.60233952904e-05, 3.81405064192e-05, 0.0012026609465868, 0.0006169015780944, -0.0007524623556491, 1.0011981775187389]|2116.5634429363890376|      0.00097656|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[-0.0027474731030653, 0.0012347496385435, 0.0002270359166471, -0.000330487780245, -0.0009746958094333, 0.0011301116451177, -0.0015104661134166, -0.0010482803362402, -0.0006691191946489, 5.60233952904e-05, 3.81405064192e-05, 0.0012026609465868, 0.0006169015780944, -0.0007524623556491, 1.0011981775187389]|2116.5634429363890376|      0.00048828|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[-0.0027474731030653, 0.0012347496385435, 0.0002270359166471, -0.000330487780245, -0.0009746958094333, 0.0011301116451177, -0.0015104661134166, -0.0010482803362402, -0.0006691191946489, 5.60233952904e-05, 3.81405064192e-05, 0.0012026609465868, 0.0006169015780944, -0.0007524623556491, 1.0011981775187389]|2116.5634429363890376|      0.00024414|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[-0.0026814914179104, 0.0011543274381754, 0.0001857819267968, -0.0003343457494033, -0.0009623184968524, 0.0012836838464548, -0.0015273917294494, -0.0010800301725838, -0.0006135765372537, 0.0001659798917836, -4.0422516138e-05, 0.0011880718669424, 0.0006218954508783, -0.0007450212199802, 1.001218019183778]|2116.2399173138469450|      0.00048828|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[-0.002567226970422, 0.0010334779189572, 0.000227872093436, -0.0001451067523252, -0.0008258245695785, 0.0016311655368509, -0.001377050315925, -0.0010677952712948, -0.0005645391194447, 0.0001632933134045, -4.62971201403e-05, 0.0010997279405454, 0.0006496854431782, -0.0007406952580055, 1.0012205159735301]|2115.7890694784673542|      0.00097656|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[-0.002567226970422, 0.0010334779189572, 0.000227872093436, -0.0001451067523252, -0.0008258245695785, 0.0016311655368509, -0.001377050315925, -0.0010677952712948, -0.0005645391194447, 0.0001632933134045, -4.62971201403e-05, 0.0010997279405454, 0.0006496854431782, -0.0007406952580055, 1.0012205159735301]|2115.7890694784673542|      0.00048828|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[-0.0027146072324223, 0.0008565295019545, 0.0003159420855197, -9.99779561796e-05, -0.0006965910750598, 0.0018366329878444, -0.001385150898534, -0.0011249109044995, -0.0004323914164938, 0.0002606018967491, -2.91688657103e-05, 0.0009434422694919, 0.0007155970287686, -0.0005980770033492, 1.0010281280545004]|2115.6957578456831470|      0.00097656|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
