k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 25.2430323198307036|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8932761380874426, -0.4655124408638228, -0.838411036680172]                   | 12.9673242680834697|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.2067517461950532, -1.1844544595085917, -2.678208693203451]                   |  6.8264619869050760|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[1.2067517461950532, -1.1844544595085917, -2.678208693203451]                   |  6.8264619869050760|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[1.2067517461950532, -1.1844544595085917, -2.678208693203451]                   |  6.8264619869050760|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[1.9538570491281706, -1.7942935237587223, -2.4137659167021073]                  |  5.0360961789030672|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[2.9334046469671904, -1.5111893527997815, -0.6932024822558625]                  |  3.0409956181138242|      4.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[2.9334046469671904, -1.5111893527997815, -0.6932024822558625]                  |  3.0409956181138242|      2.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[2.28717937368735, -0.6919619914634496, -2.3994437977245466]                    |  0.6494971211725394|      4.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[2.28717937368735, -0.6919619914634496, -2.3994437977245466]                    |  0.6494971211725394|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[2.28717937368735, -0.6919619914634496, -2.3994437977245466]                    |  0.6494971211725394|      1.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[2.28717937368735, -0.6919619914634496, -2.3994437977245466]                    |  0.6494971211725394|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[2.28717937368735, -0.6919619914634496, -2.3994437977245466]                    |  0.6494971211725394|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[2.2285003955275533, -0.9349658989194232, -2.3970192393625465]                  |  0.4983907109210656|      0.50000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[2.2285003955275533, -0.9349658989194232, -2.3970192393625465]                  |  0.4983907109210656|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[2.2285003955275533, -0.9349658989194232, -2.3970192393625465]                  |  0.4983907109210656|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
