k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0]                                                                    | 17.1523467319888496|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.264817016993309, 9.322131294794202]                                          | 14.2076617775384388|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[9.264817016993309, 9.322131294794202]                                          | 14.2076617775384388|      1.00000000|[10, 0, 1, 3]                                                              |  | used linear model with 5 points | actual_k=0
       3|[9.264817016993309, 9.322131294794202]                                          | 14.2076617775384388|      0.50000000|[14, 0, 1, 4]                                                              |  | used linear model with 5 points | actual_k=0
       4|[9.264817016993309, 9.322131294794202]                                          | 14.2076617775384388|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[9.264817016993309, 9.322131294794202]                                          | 14.2076617775384388|      0.12500000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[9.264817016993309, 9.322131294794202]                                          | 14.2076617775384388|      0.06250000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[9.319625273026219, 9.352169688070658]                                          | 14.1961947453375696|      0.12500000|[33, 0, 5, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[9.36408152394178, 9.235342286513777]                                           | 14.1918345017683194|      0.25000000|[38, 0, 6, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[9.36408152394178, 9.235342286513777]                                           | 14.1918345017683194|      0.12500000|[43, 0, 7, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[9.36408152394178, 9.235342286513777]                                           | 14.1918345017683194|      0.06250000|[48, 0, 8, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[9.421794369177729, 9.259331398518423]                                          | 14.1871027768593105|      0.12500000|[53, 0, 9, 20]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
