k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[118, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       2|[0.886466805946724, 0.8915755720322245, 0.8840168680199962, 0.8876061116079124, 0.8866518893929712, 0.888783412012915, 0.8922056704319683, 0.8886532687755749, 0.8912943684653187, 0.8900188485199539, 1.0439770129701338, 0.6522774117285197, 0.9873881586539065, 0.9898192896935221, 0.9837507084706181, 0.9893998739298421, 0.9746557065656747, 0.9639088558388738, 0.9781446050441452, 0.9971190168928187, 0.9901081137768419, 0.9895269265959693]|  1.3729742765426636|      1.00000000|[235, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       3|[0.886466805946724, 0.8915755720322245, 0.8840168680199962, 0.8876061116079124, 0.8866518893929712, 0.888783412012915, 0.8922056704319683, 0.8886532687755749, 0.8912943684653187, 0.8900188485199539, 1.0439770129701338, 0.6522774117285197, 0.9873881586539065, 0.9898192896935221, 0.9837507084706181, 0.9893998739298421, 0.9746557065656747, 0.9639088558388738, 0.9781446050441452, 0.9971190168928187, 0.9901081137768419, 0.9895269265959693]|  1.3729742765426636|      0.50000000|[352, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       4|[0.775149771664312, 0.7797836153910648, 0.7707201948384421, 0.7748222647543025, 0.7733689536475294, 0.7770485226053603, 0.7802053964645904, 0.7782058942620369, 0.7803768143248753, 0.7762893031340622, 1.0786259779348584, 0.3063920717198864, 0.9778024796064211, 0.9760847222035984, 0.967743332518915, 0.9788767707436671, 0.9477431243397343, 0.927340644930067, 0.9552585597427351, 0.9926957743442313, 0.9846621926672403, 0.97777925127839]|  1.2272942066192627|      1.00000000|[470, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       5|[0.775149771664312, 0.7797836153910648, 0.7707201948384421, 0.7748222647543025, 0.7733689536475294, 0.7770485226053603, 0.7802053964645904, 0.7782058942620369, 0.7803768143248753, 0.7762893031340622, 1.0786259779348584, 0.3063920717198864, 0.9778024796064211, 0.9760847222035984, 0.967743332518915, 0.9788767707436671, 0.9477431243397343, 0.927340644930067, 0.9552585597427351, 0.9926957743442313, 0.9846621926672403, 0.97777925127839]|  1.2272942066192627|      0.50000000|[587, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       6|[0.6609047725684171, 0.6647952562302648, 0.6524560422116293, 0.6566549338521018, 0.6579961570048212, 0.660643098903066, 0.672792405004936, 0.6648924629450165, 0.6676158045472582, 0.6635203599332122, 1.097134178154312, -0.0322240690581114, 0.964921958777505, 0.9616777888571744, 0.9531385479087101, 0.9641312074363831, 0.9111284958939857, 0.8882352883716977, 0.936727248509331, 0.9886095927153239, 0.9790715610957781, 0.9717380843865775]|  1.0932389497756958|      1.00000000|[704, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[0.6609047725684171, 0.6647952562302648, 0.6524560422116293, 0.6566549338521018, 0.6579961570048212, 0.660643098903066, 0.672792405004936, 0.6648924629450165, 0.6676158045472582, 0.6635203599332122, 1.097134178154312, -0.0322240690581114, 0.964921958777505, 0.9616777888571744, 0.9531385479087101, 0.9641312074363831, 0.9111284958939857, 0.8882352883716977, 0.936727248509331, 0.9886095927153239, 0.9790715610957781, 0.9717380843865775]|  1.0932389497756958|      0.50000000|[822, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       8|[0.5444958883787707, 0.5416516611491273, 0.5347174565426496, 0.546637267825278, 0.5379793497213999, 0.5354283438368612, 0.5554757672138707, 0.5451838278762313, 0.5505148873438579, 0.5454640113965442, 1.1123661396924502, -0.3539166610708698, 0.9502624899720058, 0.94583232090786, 0.9336695995461974, 0.943833845694333, 0.8732140787957283, 0.8459835644035197, 0.9083531777920751, 0.9781724527042771, 0.964555433274019, 0.9587100289841336]|  0.9722414016723633|      1.00000000|[939, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       9|[0.5444958883787707, 0.5416516611491273, 0.5347174565426496, 0.546637267825278, 0.5379793497213999, 0.5354283438368612, 0.5554757672138707, 0.5451838278762313, 0.5505148873438579, 0.5454640113965442, 1.1123661396924502, -0.3539166610708698, 0.9502624899720058, 0.94583232090786, 0.9336695995461974, 0.943833845694333, 0.8732140787957283, 0.8459835644035197, 0.9083531777920751, 0.9781724527042771, 0.964555433274019, 0.9587100289841336]|  0.9722414016723633|      0.50000000|[1056, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      10|[0.5444958883787707, 0.5416516611491273, 0.5347174565426496, 0.546637267825278, 0.5379793497213999, 0.5354283438368612, 0.5554757672138707, 0.5451838278762313, 0.5505148873438579, 0.5454640113965442, 1.1123661396924502, -0.3539166610708698, 0.9502624899720058, 0.94583232090786, 0.9336695995461974, 0.943833845694333, 0.8732140787957283, 0.8459835644035197, 0.9083531777920751, 0.9781724527042771, 0.964555433274019, 0.9587100289841336]|  0.9722414016723633|      0.25000000|[1174, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      11|[0.4837622585538897, 0.4823166151808333, 0.4765705452040102, 0.4861468801783914, 0.4786372585380069, 0.4756731671096796, 0.4943128379534566, 0.487414748729836, 0.4890928597675008, 0.4870587728908549, 1.1132329846407412, -0.5121290578234722, 0.9419407374498715, 0.9364057835152415, 0.9265445688349854, 0.9362147038960199, 0.8543154151188064, 0.8195392606999785, 0.8887124030736099, 0.9732868726078743, 0.9570287705304816, 0.9500571221674406]|  0.9165235161781311|      0.50000000|[1291, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
