k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.12500000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[-3.9941120237180883, -0.0085410303304448, 3.997286661316244, 0.0220292568345066, -1.9970857110987243, -0.0663801171046831]|  6.5410625324542577|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       5|[-3.9941120237180883, -0.0085410303304448, 3.997286661316244, 0.0220292568345066, -1.9970857110987243, -0.0663801171046831]|  6.5410625324542577|      0.12500000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[-3.9941120237180883, -0.0085410303304448, 3.997286661316244, 0.0220292568345066, -1.9970857110987243, -0.0663801171046831]|  6.5410625324542577|      0.06250000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[-3.9943221197535226, -0.0594408922063932, 3.9975436050515314, 0.053818996990876, -1.997874496741661, -0.0838195591422648]|  0.7384280471873773|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       8|[-3.9943221197535226, -0.0594408922063932, 3.9975436050515314, 0.053818996990876, -1.997874496741661, -0.0838195591422648]|  0.7384280471873773|      0.06250000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[-3.9943221197535226, -0.0594408922063932, 3.9975436050515314, 0.053818996990876, -1.997874496741661, -0.0838195591422648]|  0.7384280471873773|      0.03125000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[-3.9943221197535226, -0.0594408922063932, 3.9975436050515314, 0.053818996990876, -1.997874496741661, -0.0838195591422648]|  0.7384280471873773|      0.01562500|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[-3.994224748378854, -0.0526409529654439, 3.9972322017724164, 0.0402676184872984, -1.9977354822578948, -0.0800597966818653]|  0.6357551727436922|      0.03125000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[-3.994224748378854, -0.0526409529654439, 3.9972322017724164, 0.0402676184872984, -1.9977354822578948, -0.0800597966818653]|  0.6357551727436922|      0.01562500|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[-3.994224748378854, -0.0526409529654439, 3.9972322017724164, 0.0402676184872984, -1.9977354822578948, -0.0800597966818653]|  0.6357551727436922|      0.00781250|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[-3.994443014870145, -0.0600037912975457, 3.9972442090213627, 0.0418454697098152, -1.9978606880144725, -0.0821263620808324]|  0.5169392130853101|      0.01562500|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[-3.9947953568566175, -0.0667892282968479, 3.996977664719319, 0.0277842393272654, -1.9979665552261492, -0.0817093833637905]|  0.4210919648776282|      0.03125000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[-3.9947953568566175, -0.0667892282968479, 3.996977664719319, 0.0277842393272654, -1.9979665552261492, -0.0817093833637905]|  0.4210919648776282|      0.01562500|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[-3.9947953568566175, -0.0667892282968479, 3.996977664719319, 0.0277842393272654, -1.9979665552261492, -0.0817093833637905]|  0.4210919648776282|      0.00781250|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[-3.9947953568566175, -0.0667892282968479, 3.996977664719319, 0.0277842393272654, -1.9979665552261492, -0.0817093833637905]|  0.4210919648776282|      0.00390625|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[-3.9949260922119967, -0.0704650585517607, 3.9969846259667112, 0.0285812254127996, -1.998032257897479, -0.0827536137722262]|  0.4075561507505470|      0.00781250|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      20|[-3.9949260922119967, -0.0704650585517607, 3.9969846259667112, 0.0285812254127996, -1.998032257897479, -0.0827536137722262]|  0.4075561507505470|      0.00390625|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[-3.9949260922119967, -0.0704650585517607, 3.9969846259667112, 0.0285812254127996, -1.998032257897479, -0.0827536137722262]|  0.4075561507505470|      0.00195312|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      22|[-3.9949201419179645, -0.069883320065548, 3.9969663474752823, 0.0267627111995593, -1.9980214779913836, -0.0823427635076487]|  0.4014888752151245|      0.00390625|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      23|[-3.995064298604372, -0.0732825825830986, 3.996951140937537, 0.0249432846270283, -1.9980838190432357, -0.0829498809185927]|  0.3973388684558375|      0.00781250|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      24|[-3.995064298604372, -0.0732825825830986, 3.996951140937537, 0.0249432846270283, -1.9980838190432357, -0.0829498809185927]|  0.3973388684558375|      0.00390625|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      25|[-3.995064298604372, -0.0732825825830986, 3.996951140937537, 0.0249432846270283, -1.9980838190432357, -0.0829498809185927]|  0.3973388684558375|      0.00195312|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[-3.9950265698335867, -0.0721321728199654, 3.996939856732515, 0.0234468027926269, -1.9980640637564446, -0.0824500252423866]|  0.3933094598692176|      0.00390625|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      27|[-3.9950265698335867, -0.0721321728199654, 3.996939856732515, 0.0234468027926269, -1.9980640637564446, -0.0824500252423866]|  0.3933094598692176|      0.00195312|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
