k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[19.989481560462906, 1.9985294188583582, 2.004426842641064, 1.9846261438700115, 0.6996311113539028]|5026.3915036152675384|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[19.989481560462906, 1.9985294188583582, 2.004426842641064, 1.9846261438700115, 0.6996311113539028]|5026.3915036152675384|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[19.989481560462906, 1.9985294188583582, 2.004426842641064, 1.9846261438700115, 0.6996311113539028]|5026.3915036152675384|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[19.989481560462906, 1.9985294188583582, 2.004426842641064, 1.9846261438700115, 0.6996311113539028]|5026.3915036152675384|      0.12500000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[19.990959038664826, 2.0040776448854962, 2.008398598950563, 1.9881875468808194, 0.5748770500712046]|4135.8406071139261257|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[20.00098006489235, 2.2414793107517723, 2.060761540548992, 2.0064993720710205, 0.5204451891565962]|3532.6681513782164075|      0.50000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       8|[20.00098006489235, 2.2414793107517723, 2.060761540548992, 2.0064993720710205, 0.5204451891565962]|3532.6681513782164075|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[20.00098006489235, 2.2414793107517723, 2.060761540548992, 2.0064993720710205, 0.5204451891565962]|3532.6681513782164075|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[20.00098006489235, 2.2414793107517723, 2.060761540548992, 2.0064993720710205, 0.5204451891565962]|3532.6681513782164075|      0.06250000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[20.008130178540544, 2.285725258116104, 2.06908672167673, 2.0133927419152915, 0.5626422841754617]|3494.3746836062355214|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[20.008130178540544, 2.285725258116104, 2.06908672167673, 2.0133927419152915, 0.5626422841754617]|3494.3746836062355214|      0.06250000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[20.011716957553684, 2.301831858845711, 2.075025929230303, 2.018352001056915, 0.502858557362476]|3430.1168536040063373|      0.12500000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      14|[20.011716957553684, 2.301831858845711, 2.075025929230303, 2.018352001056915, 0.502858557362476]|3430.1168536040063373|      0.06250000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      15|[20.01685109868904, 2.3345855244771463, 2.0818170596515997, 2.023330963273221, 0.5551670506055044]|3393.7868821036349800|      0.12500000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[20.01685109868904, 2.3345855244771463, 2.0818170596515997, 2.023330963273221, 0.5551670506055044]|3393.7868821036349800|      0.06250000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[20.02046015793663, 2.3479153218135127, 2.088073824348059, 2.028051886989922, 0.4947178407751601]|3346.4293922352399022|      0.12500000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      18|[20.02046015793663, 2.3479153218135127, 2.088073824348059, 2.028051886989922, 0.4947178407751601]|3346.4293922352399022|      0.06250000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[20.025322410965867, 2.3769683600994775, 2.094286605079371, 2.032345055465125, 0.5493209498612013]|3314.5539532198254165|      0.12500000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      20|[20.025322410965867, 2.3769683600994775, 2.094286605079371, 2.032345055465125, 0.5493209498612013]|3314.5539532198254165|      0.06250000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[20.028771011328192, 2.388781631352757, 2.0997895618517797, 2.0368697298770213, 0.4884600546487191]|3274.7546027636035433|      0.12500000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[20.028771011328192, 2.388781631352757, 2.0997895618517797, 2.0368697298770213, 0.4884600546487191]|3274.7546027636035433|      0.06250000|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[20.028771011328192, 2.388781631352757, 2.0997895618517797, 2.0368697298770213, 0.4884600546487191]|3274.7546027636035433|      0.03125000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[20.03108631646451, 2.4021913004569653, 2.1027308865853653, 2.038963353029155, 0.5163589432923521]|3192.8076180053672033|      0.06250000|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[20.043091400739605, 2.4584191984513857, 2.119587888434153, 2.052456180308934, 0.5047685792193409]|3097.0715630878798947|      0.12500000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
