k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.25000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.12500000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.06250000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       5|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.03125000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.01562500|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       7|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00781250|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00390625|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       9|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00195312|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
      10|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00097656|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[-3.5000935064698853, 0.9996458814222076, -0.0001103720024445, -0.0008404839820111, 1.7000027498164163, 3.82336060388e-05, 0.0001601393023824, 0.000271701343627]|3559.2642611387054785|      0.00195312|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      12|[-3.5000935064698853, 0.9996458814222076, -0.0001103720024445, -0.0008404839820111, 1.7000027498164163, 3.82336060388e-05, 0.0001601393023824, 0.000271701343627]|3559.2642611387054785|      0.00097656|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      13|[-3.5000935064698853, 0.9996458814222076, -0.0001103720024445, -0.0008404839820111, 1.7000027498164163, 3.82336060388e-05, 0.0001601393023824, 0.000271701343627]|3559.2642611387054785|      0.00048828|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      14|[-3.5000935064698853, 0.9996458814222076, -0.0001103720024445, -0.0008404839820111, 1.7000027498164163, 3.82336060388e-05, 0.0001601393023824, 0.000271701343627]|3559.2642611387054785|      0.00024414|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      15|[-3.5000935064698853, 0.9996458814222076, -0.0001103720024445, -0.0008404839820111, 1.7000027498164163, 3.82336060388e-05, 0.0001601393023824, 0.000271701343627]|3559.2642611387054785|      0.00012207|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      16|[-3.5000935064698853, 0.9996458814222076, -0.0001103720024445, -0.0008404839820111, 1.7000027498164163, 3.82336060388e-05, 0.0001601393023824, 0.000271701343627]|3559.2642611387054785|      0.00006104|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      17|[-3.5000935064698853, 0.9996458814222076, -0.0001103720024445, -0.0008404839820111, 1.7000027498164163, 3.82336060388e-05, 0.0001601393023824, 0.000271701343627]|3559.2642611387054785|      0.00003052|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      18|[-3.5000935064698853, 0.9996458814222076, -0.0001103720024445, -0.0008404839820111, 1.7000027498164163, 3.82336060388e-05, 0.0001601393023824, 0.000271701343627]|3559.2642611387054785|      0.00001526|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      19|[-3.5000935064698853, 0.9996458814222076, -0.0001103720024445, -0.0008404839820111, 1.7000027498164163, 3.82336060388e-05, 0.0001601393023824, 0.000271701343627]|3559.2642611387054785|      0.00000763|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      20|[-3.5000935064698853, 0.9996458814222076, -0.0001103720024445, -0.0008404839820111, 1.7000027498164163, 3.82336060388e-05, 0.0001601393023824, 0.000271701343627]|3559.2642611387054785|      0.00000381|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
