k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[19.989350063543547, 1.998430964434543, 2.004752215021873, 1.9840776176248485, 0.6996078573969321]|5026.2278267472338484|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[19.989350063543547, 1.998430964434543, 2.004752215021873, 1.9840776176248485, 0.6996078573969321]|5026.2278267472338484|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[19.989350063543547, 1.998430964434543, 2.004752215021873, 1.9840776176248485, 0.6996078573969321]|5026.2278267472338484|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[19.989350063543547, 1.998430964434543, 2.004752215021873, 1.9840776176248485, 0.6996078573969321]|5026.2278267472338484|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[19.98871732688823, 2.002725943253641, 2.0071325978936327, 1.9866071830791239, 0.5747315671042392]|4141.5195678612462871|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[19.98871732688823, 2.002725943253641, 2.0071325978936327, 1.9866071830791239, 0.5747315671042392]|4141.5195678612462871|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[20.010000169636275, 2.106299887774944, 2.0048677167670137, 2.023117395273193, 0.5189968980024463]|3916.1688331688351354|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[20.010000169636275, 2.106299887774944, 2.0048677167670137, 2.023117395273193, 0.5189968980024463]|3916.1688331688351354|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[20.010000169636275, 2.106299887774944, 2.0048677167670137, 2.023117395273193, 0.5189968980024463]|3916.1688331688351354|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[20.01479346851327, 2.141622057218516, 2.010248422355231, 2.0272463336670006, 0.5698851924009468]|3773.1237473322566984|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[20.01479346851327, 2.141622057218516, 2.010248422355231, 2.0272463336670006, 0.5698851924009468]|3773.1237473322566984|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[20.021359718051738, 2.178010176330589, 2.0224088752890057, 2.0370548288347323, 0.5219794937683814]|3685.3808179774177916|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[20.021359718051738, 2.178010176330589, 2.0224088752890057, 2.0370548288347323, 0.5219794937683814]|3685.3808179774177916|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[20.029301343830447, 2.2142380415050913, 2.0346047355834864, 2.0448697476193027, 0.5701553217421388]|3622.9883117399285766|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[20.029301343830447, 2.2142380415050913, 2.0346047355834864, 2.0448697476193027, 0.5701553217421388]|3622.9883117399285766|      0.06250000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[20.031504359941522, 2.2427761637776404, 2.03766710808552, 2.0517912238839564, 0.5151127260716218]|3527.5069242016897988|      0.12500000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[20.048111586310423, 2.352936390700114, 2.0526569031457353, 2.0962601262032874, 0.5469207000292277]|3319.1121632822309948|      0.25000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[20.048111586310423, 2.352936390700114, 2.0526569031457353, 2.0962601262032874, 0.5469207000292277]|3319.1121632822309948|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[20.048111586310423, 2.352936390700114, 2.0526569031457353, 2.0962601262032874, 0.5469207000292277]|3319.1121632822309948|      0.06250000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[20.048111586310423, 2.352936390700114, 2.0526569031457353, 2.0962601262032874, 0.5469207000292277]|3319.1121632822309948|      0.03125000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[20.04983487690895, 2.36102089725247, 2.056194780634502, 2.1000040305893486, 0.5172272642876288]|3252.7218139288506791|      0.06250000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[20.044037939906303, 2.4165762033100293, 2.0754738256666747, 2.120254097427796, 0.5151043639310016]|3153.1610306743491492|      0.12500000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[20.066786225640737, 2.5287674790959014, 2.110951761979418, 2.1479444339535365, 0.4928513993697749]|2977.6194265978997464|      0.25000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[20.066786225640737, 2.5287674790959014, 2.110951761979418, 2.1479444339535365, 0.4928513993697749]|2977.6194265978997464|      0.12500000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
