k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00374970667076, 149.93879486515527, -100.06114565667731, 100.00058230562993, 199.99960744465866]|84511.8144533433951437|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[47.01108634845402, 149.8174485220378, -100.18155648481752, 99.99944607859544, 199.99137657063957]|78035.8570398971205577|      4.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[43.0245343790481, 149.57588879587993, -100.40174666239331, 100.00213215965519, 199.96768343678266]|65876.7009896524541546|      8.00000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[35.04645950634557, 149.2449107536108, -100.88397939415843, 100.07709711014968, 200.0187393835461]|44734.9174378913667169|     16.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[19.194930496955237, 148.22643168438458, -102.18141451412019, 101.14817860716916, 199.0907442401121]|15184.1205702482438937|     32.00000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[-11.400575695658773, 148.1483880569073, -110.70896177718073, 100.61854272834795, 195.22948362704]|5262.7446401321121812|     64.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[3.0252461426405386, 130.838084445522, -158.4781596804556, 109.57405648976363, 160.21303666110467]|833.7550477956255008|    128.00000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[3.0252461426405386, 130.838084445522, -158.4781596804556, 109.57405648976363, 160.21303666110467]|833.7550477956255008|     64.00000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[3.0252461426405386, 130.838084445522, -158.4781596804556, 109.57405648976363, 160.21303666110467]|833.7550477956255008|     32.00000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[3.0252461426405386, 130.838084445522, -158.4781596804556, 109.57405648976363, 160.21303666110467]|833.7550477956255008|     16.00000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[0.4665100111858576, 143.313805363757, -162.24533716133016, 118.47927394968147, 159.65202614510008]|374.7387458255270190|     32.00000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[0.4665100111858576, 143.313805363757, -162.24533716133016, 118.47927394968147, 159.65202614510008]|374.7387458255270190|     16.00000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[0.4665100111858576, 143.313805363757, -162.24533716133016, 118.47927394968147, 159.65202614510008]|374.7387458255270190|      8.00000000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[0.4665100111858576, 143.313805363757, -162.24533716133016, 118.47927394968147, 159.65202614510008]|374.7387458255270190|      4.00000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[0.4713470221956364, 144.54038761281697, -158.80008538216305, 117.20046675290014, 160.64719694512473]|215.9579355566662855|      8.00000000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      16|[0.4713470221956364, 144.54038761281697, -158.80008538216305, 117.20046675290014, 160.64719694512473]|215.9579355566662855|      4.00000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[0.4713470221956364, 144.54038761281697, -158.80008538216305, 117.20046675290014, 160.64719694512473]|215.9579355566662855|      2.00000000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[1.281862213066828, 145.68581097643514, -157.3893518918331, 117.07059687490607, 160.80223009479266]|141.8649074247980764|      4.00000000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[1.281862213066828, 145.68581097643514, -157.3893518918331, 117.07059687490607, 160.80223009479266]|141.8649074247980764|      2.00000000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[1.281862213066828, 145.68581097643514, -157.3893518918331, 117.07059687490607, 160.80223009479266]|141.8649074247980764|      1.00000000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[0.7016191784341085, 146.2939404188877, -156.86518102171317, 117.10672730475251, 160.67018429614916]|116.0792491224295873|      2.00000000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[1.518655372027599, 146.70378993752917, -155.17408721107412, 116.6910866905111, 160.30697659546132]| 87.4837001088425836|      4.00000000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[1.518655372027599, 146.70378993752917, -155.17408721107412, 116.6910866905111, 160.30697659546132]| 87.4837001088425836|      2.00000000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[0.2213405865164568, 147.11731064844557, -154.1445759357212, 115.81913653470764, 160.87775188281432]| 64.8178567640345733|      4.00000000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[0.2213405865164568, 147.11731064844557, -154.1445759357212, 115.81913653470764, 160.87775188281432]| 64.8178567640345733|      2.00000000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
