k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  2.9803003000300001|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0605680114836218, -0.2427353774447037]                                       |  0.0100229401141405|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.0605680114836218, -0.2427353774447037]                                       |  0.0100229401141405|      1.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.0605680114836218, -0.2427353774447037]                                       |  0.0100229401141405|      0.50000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.0605680114836218, -0.2427353774447037]                                       |  0.0100229401141405|      0.25000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.0913862998870238, 0.0053578169397548]                                        |  0.0002087634638883|      0.50000000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.0913862998870238, 0.0053578169397548]                                        |  0.0002087634638883|      0.25000000|[29, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.0913862998870238, 0.0053578169397548]                                        |  0.0002087634638883|      0.12500000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.0913862998870238, 0.0053578169397548]                                        |  0.0002087634638883|      0.06250000|[39, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.0913862998870238, 0.0053578169397548]                                        |  0.0002087634638883|      0.03125000|[44, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.0913862998870238, 0.0053578169397548]                                        |  0.0002087634638883|      0.01562500|[49, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
