k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.127535343272754, 38.713787579862064, 41.85123354224676, 39.183092523390194] |812.2955932617187500|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[22.664640856727914, 37.76728611415037, 42.8077397326016, 39.40483698094257]    |660.8284274547095265|      4.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       3|[19.18302868163054, 36.005492705982114, 43.65794755972495, 39.63200938209813]   |417.5427856445312500|      8.00000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[12.66951736393708, 34.09934047734104, 45.66990773463049, 43.35931004747515]    |142.6721801757812500|     16.00000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.5911404074371855, 23.35071617289478, 41.74825815752367, 41.82395856786624]   |  0.6416850090026855|     32.00000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.5911404074371855, 23.35071617289478, 41.74825815752367, 41.82395856786624]   |  0.6416850090026855|     16.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.5911404074371855, 23.35071617289478, 41.74825815752367, 41.82395856786624]   |  0.6416850090026855|      8.00000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.5911404074371855, 23.35071617289478, 41.74825815752367, 41.82395856786624]   |  0.6416850090026855|      4.00000000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.5911404074371855, 23.35071617289478, 41.74825815752367, 41.82395856786624]   |  0.6416850090026855|      2.00000000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.2433981499693076, 22.985673402990397, 42.71304926465916, 43.50175391238951]  |  0.2624421417713165|      4.00000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.2433981499693076, 22.985673402990397, 42.71304926465916, 43.50175391238951]  |  0.2624421417713165|      2.00000000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.2433981499693076, 22.985673402990397, 42.71304926465916, 43.50175391238951]  |  0.2624421417713165|      1.00000000|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.522130213155934, 22.782430925181206, 42.958057791004684, 42.88658248867336]  |  0.0092913657426834|      2.00000000|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.522130213155934, 22.782430925181206, 42.958057791004684, 42.88658248867336]  |  0.0092913657426834|      1.00000000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.522130213155934, 22.782430925181206, 42.958057791004684, 42.88658248867336]  |  0.0092913657426834|      0.50000000|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.522130213155934, 22.782430925181206, 42.958057791004684, 42.88658248867336]  |  0.0092913657426834|      0.25000000|[98, 32, 1, 33]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.522130213155934, 22.782430925181206, 42.958057791004684, 42.88658248867336]  |  0.0092913657426834|      0.12500000|[104, 34, 1, 35]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.522130213155934, 22.782430925181206, 42.958057791004684, 42.88658248867336]  |  0.0092913657426834|      0.06250000|[110, 36, 1, 37]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.522130213155934, 22.782430925181206, 42.958057791004684, 42.88658248867336]  |  0.0092913657426834|      0.03125000|[116, 38, 1, 39]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.522130213155934, 22.782430925181206, 42.958057791004684, 42.88658248867336]  |  0.0092913657426834|      0.01562500|[122, 40, 2, 42]                                                           |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=1
