k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.9824174935796038, 0.8163694796379098, 0.5772622698424912]                   |1109.7606201171875000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       2|[0.5002635934401037, 1.1384721878718547, 1.8802997365112037]                    |  9.6204195022583008|      4.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[0.5002635934401037, 1.1384721878718547, 1.8802997365112037]                    |  9.6204195022583008|      2.00000000|[29, 0, 0, 7]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.5002635934401037, 1.1384721878718547, 1.8802997365112037]                    |  9.6204195022583008|      1.00000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.5002635934401037, 1.1384721878718547, 1.8802997365112037]                    |  9.6204195022583008|      0.50000000|[53, 0, 0, 13]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.5002635934401037, 1.1384721878718547, 1.8802997365112037]                    |  9.6204195022583008|      0.25000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.3706754815180624, 0.9353932355623247, 1.9471268296497213]                    |  4.0217514038085938|      0.50000000|[77, 0, 0, 19]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=0
       8|[0.3706754815180624, 0.9353932355623247, 1.9471268296497213]                    |  4.0217514038085938|      0.25000000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.3706754815180624, 0.9353932355623247, 1.9471268296497213]                    |  4.0217514038085938|      0.12500000|[101, 0, 0, 25]                                                            |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.3706754815180624, 0.9353932355623247, 1.9471268296497213]                    |  4.0217514038085938|      0.06250000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.3706754815180624, 0.9353932355623247, 1.9471268296497213]                    |  4.0217514038085938|      0.03125000|[125, 0, 0, 31]                                                            |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
