k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0]                                                                 | 29.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 2.0, 2.0]                                                                 | 29.5000000000000000|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[1.8451969072182206, 1.5874748696784575, 1.763654872446267]                     | 16.1926898956298828|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[1.5336692664203495, 0.9288261614676979, 1.0787224610426231]                    |  5.9501562118530273|      2.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[-0.4052135876748097, 0.7126742529048306, 0.638254947461385]                    |  2.0629739761352539|      4.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[-0.4052135876748097, 0.7126742529048306, 0.638254947461385]                    |  2.0629739761352539|      2.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.4052135876748097, 0.7126742529048306, 0.638254947461385]                    |  2.0629739761352539|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.4239968997440626, 0.511458197523114, 0.1167934756236488]                     |  1.4627374410629272|      2.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[0.4239968997440626, 0.511458197523114, 0.1167934756236488]                     |  1.4627374410629272|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.4239968997440626, 0.511458197523114, 0.1167934756236488]                     |  1.4627374410629272|      0.50000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.2795881705449152, 0.0402523650387038, 0.0324656488773061]                    |  1.0819784402847290|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[0.2795881705449152, 0.0402523650387038, 0.0324656488773061]                    |  1.0819784402847290|      0.50000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.2795881705449152, 0.0402523650387038, 0.0324656488773061]                    |  1.0819784402847290|      0.25000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.2795881705449152, 0.0402523650387038, 0.0324656488773061]                    |  1.0819784402847290|      0.12500000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.1848146703020918, -0.0362130154763499, 0.0606796389250036]                   |  1.0405516624450684|      0.25000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.1848146703020918, -0.0362130154763499, 0.0606796389250036]                   |  1.0405516624450684|      0.12500000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
