k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 0.0]                                                                 |629.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.6809146171303664, 2.7243416363248287, -0.1080947642787373]                   |370.6010608286851493|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.6809146171303664, 2.7243416363248287, -0.1080947642787373]                   |370.6010608286851493|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.6809146171303664, 2.7243416363248287, -0.1080947642787373]                   |370.6010608286851493|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[1.210863472881225, 2.6645774678818293, -0.2677198436378085]                    |363.8526083841337595|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[1.210863472881225, 2.6645774678818293, -0.2677198436378085]                    |363.8526083841337595|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[1.210863472881225, 2.6645774678818293, -0.2677198436378085]                    |363.8526083841337595|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[1.3973538990561973, 2.647631979160031, -0.4333524834074403]                    |328.1342708792399208|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[1.3973538990561973, 2.647631979160031, -0.4333524834074403]                    |328.1342708792399208|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[1.3968692426306422, 2.536410448404312, -0.6572487455569095]                    |306.3758758333309515|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[1.3968692426306422, 2.536410448404312, -0.6572487455569095]                    |306.3758758333309515|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[1.2993396997097502, 2.3158920357448003, -0.7232761484724513]                   |262.3709785904446790|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[1.2993396997097502, 2.3158920357448003, -0.7232761484724513]                   |262.3709785904446790|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[1.2993396997097502, 2.3158920357448003, -0.7232761484724513]                   |262.3709785904446790|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[1.3566624319210614, 2.2048106665001233, -0.7230923590330012]                   |251.9763849846846142|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[1.3566624319210614, 2.2048106665001233, -0.7230923590330012]                   |251.9763849846846142|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
