k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.476923104996223, 3.1362967499767826, 0.3248707542979017, 40.0420358583431, -0.7294059287926575, -1.3136590217684236, 25.57050359946223, -0.590430731752485, 0.8857035414251113]|922.1568603515625000|      2.00000000|[31, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[10.476923104996223, 3.1362967499767826, 0.3248707542979017, 40.0420358583431, -0.7294059287926575, -1.3136590217684236, 25.57050359946223, -0.590430731752485, 0.8857035414251113]|922.1568603515625000|      1.00000000|[61, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[10.735054411087818, 3.0543869438009423, 0.5316799327989323, 40.41689642757388, -0.348852662022, -1.2479448224628418, 26.303389384155327, -0.4847177425879734, 0.6713846774213043]|881.2952270507812500|      2.00000000|[91, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[10.735054411087818, 3.0543869438009423, 0.5316799327989323, 40.41689642757388, -0.348852662022, -1.2479448224628418, 26.303389384155327, -0.4847177425879734, 0.6713846774213043]|881.2952270507812500|      1.00000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[10.705235226700067, 3.3429808947556, 0.5134805440824421, 40.58227822017604, -0.8314731309874472, -1.1277442277971215, 25.947090021456596, -0.788713553878839, 1.3205445987631388]|871.3461914062500000|      2.00000000|[151, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[10.705235226700067, 3.3429808947556, 0.5134805440824421, 40.58227822017604, -0.8314731309874472, -1.1277442277971215, 25.947090021456596, -0.788713553878839, 1.3205445987631388]|871.3461914062500000|      1.00000000|[181, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[10.705235226700067, 3.3429808947556, 0.5134805440824421, 40.58227822017604, -0.8314731309874472, -1.1277442277971215, 25.947090021456596, -0.788713553878839, 1.3205445987631388]|871.3461914062500000|      0.50000000|[211, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[10.52302786725476, 3.181345548101727, 0.4517481124515836, 40.63439672758544, -0.8113973963417112, -1.1897885946277933, 26.340230752456005, -0.7414322605417538, 1.168559180715727]|852.3006591796875000|      1.00000000|[241, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[10.52302786725476, 3.181345548101727, 0.4517481124515836, 40.63439672758544, -0.8113973963417112, -1.1897885946277933, 26.340230752456005, -0.7414322605417538, 1.168559180715727]|852.3006591796875000|      0.50000000|[271, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[10.52302786725476, 3.181345548101727, 0.4517481124515836, 40.63439672758544, -0.8113973963417112, -1.1897885946277933, 26.340230752456005, -0.7414322605417538, 1.168559180715727]|852.3006591796875000|      0.25000000|[301, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[10.634980846193981, 3.1611412803102694, 0.4687355598983593, 40.734340386711345, -0.7754331783428456, -1.2273948903385352, 26.232580126236236, -0.6153902870973893, 1.2639432194790348]|840.1458129882812500|      0.50000000|[331, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      12|[10.55205703903834, 3.0303194813914605, 0.5935572413036747, 41.04391857197056, -0.9906985284089682, -1.289999847387722, 26.48115358688245, -0.5791885012833629, 1.2990474639124467]|837.6370239257812500|      1.00000000|[361, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      13|[10.55205703903834, 3.0303194813914605, 0.5935572413036747, 41.04391857197056, -0.9906985284089682, -1.289999847387722, 26.48115358688245, -0.5791885012833629, 1.2990474639124467]|837.6370239257812500|      0.50000000|[391, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[10.55205703903834, 3.0303194813914605, 0.5935572413036747, 41.04391857197056, -0.9906985284089682, -1.289999847387722, 26.48115358688245, -0.5791885012833629, 1.2990474639124467]|837.6370239257812500|      0.25000000|[421, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[10.665992030619494, 3.0945326919735026, 0.5396828286717138, 41.10975945754387, -0.9860924545079554, -1.241675088943481, 26.338430821921367, -0.4580895471252333, 1.2713569565348826]|830.7126496723882383|      0.50000000|[451, 30, 1, 31]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
      16|[10.665992030619494, 3.0945326919735026, 0.5396828286717138, 41.10975945754387, -0.9860924545079554, -1.241675088943481, 26.338430821921367, -0.4580895471252333, 1.2713569565348826]|830.7126496723882383|      0.25000000|[482, 32, 1, 33]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[10.572602477537435, 3.073464145562913, 0.5106402680056888, 41.21134103027352, -0.9854309642952165, -1.1742863922425681, 26.484280993914446, -0.4532544380352794, 1.3991650021201996]|827.7156982421875000|      0.50000000|[512, 34, 1, 35]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      18|[10.572602477537435, 3.073464145562913, 0.5106402680056888, 41.21134103027352, -0.9854309642952165, -1.1742863922425681, 26.484280993914446, -0.4532544380352794, 1.3991650021201996]|827.7156982421875000|      0.25000000|[542, 36, 2, 38]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[10.572602477537435, 3.073464145562913, 0.5106402680056888, 41.21134103027352, -0.9854309642952165, -1.1742863922425681, 26.484280993914446, -0.4532544380352794, 1.3991650021201996]|827.7156982421875000|      0.12500000|[573, 38, 2, 40]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[10.602146848705981, 3.052661357735201, 0.5321190467146308, 41.24611128349846, -1.0046823496790112, -1.172023500835317, 26.424904137920745, -0.3597344081660555, 1.4004773189808668]|825.8733520507812500|      0.25000000|[603, 40, 2, 42]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      21|[10.602146848705981, 3.052661357735201, 0.5321190467146308, 41.24611128349846, -1.0046823496790112, -1.172023500835317, 26.424904137920745, -0.3597344081660555, 1.4004773189808668]|825.8733520507812500|      0.12500000|[633, 42, 2, 44]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[10.577228675349291, 3.0644059614727834, 0.4972277178506473, 41.27230810233208, -1.0285138155533626, -1.1317981587071124, 26.507759281294447, -0.3081417848277269, 1.3651265015750738]|824.4522094726562500|      0.25000000|[663, 44, 2, 46]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      23|[10.577228675349291, 3.0644059614727834, 0.4972277178506473, 41.27230810233208, -1.0285138155533626, -1.1317981587071124, 26.507759281294447, -0.3081417848277269, 1.3651265015750738]|824.4522094726562500|      0.12500000|[693, 46, 2, 48]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
