k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[99.89472019570663, 0.9785186475596555, 0.0361273587106114]                     |4759.3873206928265063|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[99.89472019570663, 0.9785186475596555, 0.0361273587106114]                     |4759.3873206928265063|      0.12500000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[99.89472019570663, 0.9785186475596555, 0.0361273587106114]                     |4759.3873206928265063|      0.06250000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[99.89472019570663, 0.9785186475596555, 0.0361273587106114]                     |4759.3873206928265063|      0.03125000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[99.89472019570663, 0.9785186475596555, 0.0361273587106114]                     |4759.3873206928265063|      0.01562500|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[99.89349992211409, 0.9812076595676722, 0.0207839310694321]                     |1730.9660655642678648|      0.03125000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[99.89349992211409, 0.9812076595676722, 0.0207839310694321]                     |1730.9660655642678648|      0.01562500|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[99.89349992211409, 0.9812076595676722, 0.0207839310694321]                     |1730.9660655642678648|      0.00781250|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[99.89349992211409, 0.9812076595676722, 0.0207839310694321]                     |1730.9660655642678648|      0.00390625|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[99.89337531785829, 0.9836118414219643, 0.017707704086027]                      |1688.1699110962167651|      0.00781250|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[99.89337531785829, 0.9836118414219643, 0.017707704086027]                      |1688.1699110962167651|      0.00390625|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[99.89337531785829, 0.9836118414219643, 0.017707704086027]                      |1688.1699110962167651|      0.00195312|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
