k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-506.0, -506.2]                                                                |25614.3346824171749176|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-505.2787737752686, -505.50730040222356]                                       |25542.3612361288578541|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[-503.8787315168826, -504.0790561392442]                                        |25399.4896992170943122|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[-500.90019409674494, -501.40916572260915]                                      |25115.6201307192386594|      8.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[-495.2604259907418, -495.7352767819874]                                        |24551.8190792856112239|     16.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[-483.8935013550942, -484.47503591744515]                                       |23443.9724040354849421|     32.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[-461.42613710999706, -461.68869035967464]                                      |21303.8731854721190757|     64.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[-415.45135856907336, -417.16544094868686]                                      |17331.4454116310262179|    128.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[-332.05148857734974, -320.06517480402795]                                      |10635.0731610111961345|    256.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[-332.05148857734974, -320.06517480402795]                                      |10635.0731610111961345|    128.00000000|[36, 9, 8, 17]                                                             |  | used linear model with 5 points | actual_k=1
      10|[-332.05148857734974, -320.06517480402795]                                      |10635.0731610111961345|     64.00000000|[39, 10, 8, 18]                                                            |  | used linear model with 5 points | actual_k=1
      11|[-287.5063891512268, -274.11156648958956]                                       |7889.8702742667537677|    128.00000000|[42, 11, 9, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
