k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.881681086741237, 3.116410480855328, 0.6957892911018104, 39.887843760160955, -0.4310925926588141, -1.3794276051137238, 25.7107646895531, -0.4782398259533664, 0.8468626315110747]|911.4107630641849482|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[10.881681086741237, 3.116410480855328, 0.6957892911018104, 39.887843760160955, -0.4310925926588141, -1.3794276051137238, 25.7107646895531, -0.4782398259533664, 0.8468626315110747]|911.4107630641849482|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[10.881681086741237, 3.116410480855328, 0.6957892911018104, 39.887843760160955, -0.4310925926588141, -1.3794276051137238, 25.7107646895531, -0.4782398259533664, 0.8468626315110747]|911.4107630641849482|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[10.478042684611342, 3.14736028343049, 0.786347972813793, 39.961970752677914, -0.4581478842115388, -1.4540161033849832, 25.934535851650274, -0.5956299575191464, 0.7991860613445242]|886.7481685473979951|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[10.478042684611342, 3.14736028343049, 0.786347972813793, 39.961970752677914, -0.4581478842115388, -1.4540161033849832, 25.934535851650274, -0.5956299575191464, 0.7991860613445242]|886.7481685473979951|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[10.478042684611342, 3.14736028343049, 0.786347972813793, 39.961970752677914, -0.4581478842115388, -1.4540161033849832, 25.934535851650274, -0.5956299575191464, 0.7991860613445242]|886.7481685473979951|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[10.533889195072819, 3.1382461618844064, 0.6967693137896234, 40.03641679286447, -0.4236019176507813, -1.3581628790380802, 26.023237937298504, -0.7564069596470289, 0.8395962354446589]|870.2188934572993730|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[10.533889195072819, 3.1382461618844064, 0.6967693137896234, 40.03641679286447, -0.4236019176507813, -1.3581628790380802, 26.023237937298504, -0.7564069596470289, 0.8395962354446589]|870.2188934572993730|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[10.655521767311551, 3.148726217779105, 0.5664753230764795, 40.066074336648065, -0.4669302100111412, -1.4577125294450537, 26.054708611039544, -0.7964892622036609, 0.9635120285496109]|860.2078637461588642|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[10.655521767311551, 3.148726217779105, 0.5664753230764795, 40.066074336648065, -0.4669302100111412, -1.4577125294450537, 26.054708611039544, -0.7964892622036609, 0.9635120285496109]|860.2078637461588642|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[10.697698181656044, 3.194418531188951, 0.5713762405139722, 40.17164574702302, -0.493762293955942, -1.3717094673936878, 26.102068385249876, -0.6731705493510407, 1.1114886494195957]|855.3447114534433240|      0.50000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[10.697698181656044, 3.194418531188951, 0.5713762405139722, 40.17164574702302, -0.493762293955942, -1.3717094673936878, 26.102068385249876, -0.6731705493510407, 1.1114886494195957]|855.3447114534433240|      0.25000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[10.697698181656044, 3.194418531188951, 0.5713762405139722, 40.17164574702302, -0.493762293955942, -1.3717094673936878, 26.102068385249876, -0.6731705493510407, 1.1114886494195957]|855.3447114534433240|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[10.636603616082173, 3.1818354748517783, 0.5677639526455248, 40.19205712366783, -0.4887092767200075, -1.3738282767872545, 26.208127446704914, -0.672043311169586, 1.1164515428599877]|852.0733178800605856|      0.25000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[10.636603616082173, 3.1818354748517783, 0.5677639526455248, 40.19205712366783, -0.4887092767200075, -1.3738282767872545, 26.208127446704914, -0.672043311169586, 1.1164515428599877]|852.0733178800605856|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[10.64395165276001, 3.0962468296375447, 0.5512463657545977, 40.226700116479925, -0.4814068793173055, -1.4137012459544689, 26.154654259390327, -0.6283777177661165, 1.1355140204744072]|850.4409327131543250|      0.25000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[10.64395165276001, 3.0962468296375447, 0.5512463657545977, 40.226700116479925, -0.4814068793173055, -1.4137012459544689, 26.154654259390327, -0.6283777177661165, 1.1355140204744072]|850.4409327131543250|      0.12500000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[10.61680830078119, 3.0438210091427305, 0.6134360062606118, 40.290628076633496, -0.4803214124837854, -1.4021475281877958, 26.190238720392284, -0.6690843523316133, 1.1690920745902733]|849.4079586126696313|      0.25000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
