k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.852480945497199, 2.834718289548173, 0.4783431493028749, 39.859536057345544, -0.6411015672196295, -1.5820299464662981, 25.768918292471547, -0.7946313994971581, 1.2913010192001655]|912.7263793945312500|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[10.852480945497199, 2.834718289548173, 0.4783431493028749, 39.859536057345544, -0.6411015672196295, -1.5820299464662981, 25.768918292471547, -0.7946313994971581, 1.2913010192001655]|912.7263793945312500|      1.00000000|[21, 0, 0, 5]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[10.852480945497199, 2.834718289548173, 0.4783431493028749, 39.859536057345544, -0.6411015672196295, -1.5820299464662981, 25.768918292471547, -0.7946313994971581, 1.2913010192001655]|912.7263793945312500|      0.50000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[10.938296835482193, 2.9507756350528167, 0.4753517222013459, 39.90629591844736, -0.7148601860320395, -1.5385694246671688, 26.221360055017342, -0.907265577149032, 1.2438485686933056]|892.7115478515625000|      1.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[10.938296835482193, 2.9507756350528167, 0.4753517222013459, 39.90629591844736, -0.7148601860320395, -1.5385694246671688, 26.221360055017342, -0.907265577149032, 1.2438485686933056]|892.7115478515625000|      0.50000000|[53, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[10.799100359364168, 2.887888384006969, 0.6187906012097959, 40.215293538864096, -0.5702381369325913, -1.293299716306178, 26.293790904166215, -0.9580974171901561, 1.3911999258713625]|873.5974731445312500|      1.00000000|[61, 0, 0, 15]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[10.799100359364168, 2.887888384006969, 0.6187906012097959, 40.215293538864096, -0.5702381369325913, -1.293299716306178, 26.293790904166215, -0.9580974171901561, 1.3911999258713625]|873.5974731445312500|      0.50000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[10.799100359364168, 2.887888384006969, 0.6187906012097959, 40.215293538864096, -0.5702381369325913, -1.293299716306178, 26.293790904166215, -0.9580974171901561, 1.3911999258713625]|873.5974731445312500|      0.25000000|[85, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[10.603762330860542, 2.9112940964937626, 0.639219520014653, 40.26216621730497, -0.5794453131366543, -1.331324467738902, 26.24139127032887, -0.832530957516469, 1.424927174485808]|859.1035766601562500|      0.50000000|[93, 0, 0, 23]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[10.603762330860542, 2.9112940964937626, 0.639219520014653, 40.26216621730497, -0.5794453131366543, -1.331324467738902, 26.24139127032887, -0.832530957516469, 1.424927174485808]|859.1035766601562500|      0.25000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
