k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.48716563630817, 9.478570864837243, 9.711227633941105, 9.550974998013848, 0.3488495898317574, -0.0848431136172615, -0.0938868223308136, 0.2058895697961971]|1567.9551868082774035|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       2|[9.48716563630817, 9.478570864837243, 9.711227633941105, 9.550974998013848, 0.3488495898317574, -0.0848431136172615, -0.0938868223308136, 0.2058895697961971]|1567.9551868082774035|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[9.057796009802397, 9.107869871685825, 9.00021449573777, 9.249551280772797, 0.3134130851053616, -0.2280734451509006, 0.1064917560420323, 0.0648069376670231]|1534.8994273305656861|      2.00000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate success | actual_k=1
       4|[7.866577954304252, 8.699409754590738, 7.973303183634921, 8.675643501008182, 0.9494258852975429, -0.5022692451297919, 0.3892089164725812, 0.7508231786281703]|1381.8953214561188361|      4.00000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       5|[5.021908446721962, 9.073182584888848, 6.6836218004252945, 6.324406996073252, 1.1019634351265721, -1.2194027944749788, 0.1927687950493225, 0.7303015164804502]|722.7820462273130033|      8.00000000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       6|[3.5838136476339226, 4.141711263721939, 11.313923439731296, 5.128830467093234, 3.686655416267642, 0.6373161376617091, -1.2895201347223417, 2.2853446503140757]|555.9827308167546107|     16.00000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       7|[3.5838136476339226, 4.141711263721939, 11.313923439731296, 5.128830467093234, 3.686655416267642, 0.6373161376617091, -1.2895201347223417, 2.2853446503140757]|555.9827308167546107|      8.00000000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[4.439268239857891, 1.837964238487921, 6.424724141416625, 0.138239281478671, 1.4355518973304346, 1.8715761984476638, -1.4070547704340224, 0.6897264056893824]|159.9631742180291383|     16.00000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       9|[4.439268239857891, 1.837964238487921, 6.424724141416625, 0.138239281478671, 1.4355518973304346, 1.8715761984476638, -1.4070547704340224, 0.6897264056893824]|159.9631742180291383|      8.00000000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
      10|[4.439268239857891, 1.837964238487921, 6.424724141416625, 0.138239281478671, 1.4355518973304346, 1.8715761984476638, -1.4070547704340224, 0.6897264056893824]|159.9631742180291383|      4.00000000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[4.439268239857891, 1.837964238487921, 6.424724141416625, 0.138239281478671, 1.4355518973304346, 1.8715761984476638, -1.4070547704340224, 0.6897264056893824]|159.9631742180291383|      2.00000000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      12|[3.8431275712848274, 1.864420928513478, 4.9341008779720115, -0.6350222471611082, 1.1157375380265335, 2.135810533807713, -0.9397057403113005, 1.348140498242672]| 68.5144120592082402|      4.00000000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      13|[3.8431275712848274, 1.864420928513478, 4.9341008779720115, -0.6350222471611082, 1.1157375380265335, 2.135810533807713, -0.9397057403113005, 1.348140498242672]| 68.5144120592082402|      2.00000000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      14|[3.8431275712848274, 1.864420928513478, 4.9341008779720115, -0.6350222471611082, 1.1157375380265335, 2.135810533807713, -0.9397057403113005, 1.348140498242672]| 68.5144120592082402|      1.00000000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      15|[4.365205033654593, 2.1539905522065648, 4.489720391156843, -0.7700974852064157, 0.9869860978670384, 2.530873311368602, -0.7683002165348721, 0.8729207236263712]| 61.0316504572814225|      2.00000000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      16|[4.365205033654593, 2.1539905522065648, 4.489720391156843, -0.7700974852064157, 0.9869860978670384, 2.530873311368602, -0.7683002165348721, 0.8729207236263712]| 61.0316504572814225|      1.00000000|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      17|[4.290914874190525, 1.797489658941574, 4.153867300069512, -0.3537076839708633, 1.6908323130342238, 2.6730137308512907, -1.0105158029132015, 0.7896228472927862]| 55.6775597134670335|      2.00000000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      18|[4.290914874190525, 1.797489658941574, 4.153867300069512, -0.3537076839708633, 1.6908323130342238, 2.6730137308512907, -1.0105158029132015, 0.7896228472927862]| 55.6775597134670335|      1.00000000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      19|[4.290914874190525, 1.797489658941574, 4.153867300069512, -0.3537076839708633, 1.6908323130342238, 2.6730137308512907, -1.0105158029132015, 0.7896228472927862]| 55.6775597134670335|      0.50000000|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      20|[4.290914874190525, 1.797489658941574, 4.153867300069512, -0.3537076839708633, 1.6908323130342238, 2.6730137308512907, -1.0105158029132015, 0.7896228472927862]| 55.6775597134670335|      0.25000000|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
