k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.4906866691717948, 0.0788064571497179, 0.0936287658674898, -0.2660879299381859, 0.5466519044085655, 0.2946109262415462, -0.4678518762272457, 0.2554337500339283, 0.0607562470185431]|345198.3237692892435007|      2.00000000|[8, 2, 1, 2]                                                               |  | used linear model with 10 points | iterate success | actual_k=4
       2|[-0.4906866691717948, 0.0788064571497179, 0.0936287658674898, -0.2660879299381859, 0.5466519044085655, 0.2946109262415462, -0.4678518762272457, 0.2554337500339283, 0.0607562470185431]|345198.3237692892435007|      1.00000000|[16, 4, 2, 4]                                                              |  | used linear model with 10 points | iterate failure | actual_k=4
       3|[-0.4906866691717948, 0.0788064571497179, 0.0936287658674898, -0.2660879299381859, 0.5466519044085655, 0.2946109262415462, -0.4678518762272457, 0.2554337500339283, 0.0607562470185431]|345198.3237692892435007|      0.50000000|[24, 6, 3, 6]                                                              |  | used linear model with 10 points | iterate failure | actual_k=4
       4|[-0.7254593300846585, 0.2703262792337361, 0.2206499469058074, -0.1892765771872437, 0.878565641760207, 0.1825382221262274, -0.3664494060586767, 0.3054386687141063, 0.0351121795945234]|110550.0175205655104946|      1.00000000|[33, 7, 4, 8]                                                              |  | used linear model with 10 points | iterate success | actual_k=4
       5|[-0.7254593300846585, 0.2703262792337361, 0.2206499469058074, -0.1892765771872437, 0.878565641760207, 0.1825382221262274, -0.3664494060586767, 0.3054386687141063, 0.0351121795945234]|110550.0175205655104946|      0.50000000|[41, 9, 5, 10]                                                             |  | used linear model with 10 points | iterate failure | actual_k=4
       6|[-0.7828647118319428, 0.1996671265198365, 0.1428207255760401, -0.035404277970087, 0.8415204590919076, -0.1618526327512323, -0.5751141430263035, 0.1304984782640406, -0.0985118637300258]|46750.5951530825986993|      1.00000000|[47, 13, 6, 12]                                                            |  | used linear model with 10 points | iterate success | actual_k=4
       7|[-0.7828647118319428, 0.1996671265198365, 0.1428207255760401, -0.035404277970087, 0.8415204590919076, -0.1618526327512323, -0.5751141430263035, 0.1304984782640406, -0.0985118637300258]|46750.5951530825986993|      0.50000000|[54, 16, 7, 14]                                                            |  | used linear model with 10 points | iterate failure | actual_k=4
       8|[-0.7828647118319428, 0.1996671265198365, 0.1428207255760401, -0.035404277970087, 0.8415204590919076, -0.1618526327512323, -0.5751141430263035, 0.1304984782640406, -0.0985118637300258]|46750.5951530825986993|      0.25000000|[62, 18, 8, 16]                                                            |  | used linear model with 10 points | iterate failure | actual_k=4
       9|[-0.7828647118319428, 0.1996671265198365, 0.1428207255760401, -0.035404277970087, 0.8415204590919076, -0.1618526327512323, -0.5751141430263035, 0.1304984782640406, -0.0985118637300258]|46750.5951530825986993|      0.12500000|[70, 20, 9, 18]                                                            |  | used linear model with 10 points | iterate failure | actual_k=4
      10|[-0.7708838985167544, 0.18235130900528, 0.1348587734297452, -0.0040468613693206, 0.8205834572116832, -0.0480988551218158, -0.5734145239666204, 0.1040249881185412, -0.0912367032418899]|4525.8317141571824322|      0.25000000|[79, 21, 10, 20]                                                           |  | used linear model with 10 points | iterate success | actual_k=4
      11|[-0.7708838985167544, 0.18235130900528, 0.1348587734297452, -0.0040468613693206, 0.8205834572116832, -0.0480988551218158, -0.5734145239666204, 0.1040249881185412, -0.0912367032418899]|4525.8317141571824322|      0.12500000|[86, 24, 11, 22]                                                           |  | used linear model with 10 points | iterate failure | actual_k=4
