k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[20.01237135883542, 2.03236118388609, 2.0029118169543154, 2.0246036899724773, 0.6981825800043782]|4975.7954101562500000|      1.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[20.01237135883542, 2.03236118388609, 2.0029118169543154, 2.0246036899724773, 0.6981825800043782]|4975.7954101562500000|      0.50000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[20.01237135883542, 2.03236118388609, 2.0029118169543154, 2.0246036899724773, 0.6981825800043782]|4975.7954101562500000|      0.25000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[19.931429852395528, 2.151555446099893, 2.0118621130306504, 1.8529989501440853, 0.5876705631956883]|3906.9567871093750000|      0.50000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[19.931429852395528, 2.151555446099893, 2.0118621130306504, 1.8529989501440853, 0.5876705631956883]|3906.9567871093750000|      0.25000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[19.931429852395528, 2.151555446099893, 2.0118621130306504, 1.8529989501440853, 0.5876705631956883]|3906.9567871093750000|      0.12500000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[19.931429852395528, 2.151555446099893, 2.0118621130306504, 1.8529989501440853, 0.5876705631956883]|3906.9567871093750000|      0.06250000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[19.94047448489919, 2.17715293386366, 2.031508204812664, 1.8644450469332992, 0.5361707458266711]|3745.0803222656250000|      0.12500000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[19.94047448489919, 2.17715293386366, 2.031508204812664, 1.8644450469332992, 0.5361707458266711]|3745.0803222656250000|      0.06250000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[19.94047448489919, 2.17715293386366, 2.031508204812664, 1.8644450469332992, 0.5361707458266711]|3745.0803222656250000|      0.03125000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[19.94392838877329, 2.2000375083029575, 2.0382229441783615, 1.8694486202562246, 0.5554270650495547]|3693.7265625000000000|      0.06250000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      13|[19.94392838877329, 2.2000375083029575, 2.0382229441783615, 1.8694486202562246, 0.5554270650495547]|3693.7265625000000000|      0.03125000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[19.940548185681237, 2.2272164448428353, 2.039797971067456, 1.871909432673057, 0.5406654313945163]|3624.4023437500000000|      0.06250000|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      15|[19.940548185681237, 2.2272164448428353, 2.039797971067456, 1.871909432673057, 0.5406654313945163]|3624.4023437500000000|      0.03125000|[400, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[19.943511566289327, 2.2553709341422166, 2.049504195694885, 1.875336708240411, 0.5489809947145772]|3573.4494628906250000|      0.06250000|[426, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      17|[19.943511566289327, 2.2553709341422166, 2.049504195694885, 1.875336708240411, 0.5489809947145772]|3573.4494628906250000|      0.03125000|[452, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[19.950444241251454, 2.279625510490232, 2.057800826464006, 1.880377405828468, 0.5332974578126399]|3504.5522460937500000|      0.06250000|[478, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      19|[19.950444241251454, 2.279625510490232, 2.057800826464006, 1.880377405828468, 0.5332974578126399]|3504.5522460937500000|      0.03125000|[504, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[19.947982669692497, 2.3055412178533254, 2.067771991677991, 1.8904562398529055, 0.5234044175158512]|3449.6740722656250000|      0.06250000|[530, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[19.947982669692497, 2.3055412178533254, 2.067771991677991, 1.8904562398529055, 0.5234044175158512]|3449.6740722656250000|      0.03125000|[557, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[19.94089707785485, 2.332091996410301, 2.0744538280728593, 1.891027267626016, 0.5366874908049375]|3410.6643066406250000|      0.06250000|[583, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      23|[19.931806320088928, 2.3866195103343717, 2.091045334043027, 1.9094938742680685, 0.5213883170602149]|3299.0717773437500000|      0.12500000|[610, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      24|[19.931806320088928, 2.3866195103343717, 2.091045334043027, 1.9094938742680685, 0.5213883170602149]|3299.0717773437500000|      0.06250000|[636, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      25|[19.931806320088928, 2.3866195103343717, 2.091045334043027, 1.9094938742680685, 0.5213883170602149]|3299.0717773437500000|      0.03125000|[662, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
