k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.484702555619217, -1.0380775488085177, -0.419798799170349, -0.0454332202952198, 0.4028314296766007, 0.2817502827546242, -0.4757818723327617]|54845.9531250000000000|      2.00000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[9.484702555619217, -1.0380775488085177, -0.419798799170349, -0.0454332202952198, 0.4028314296766007, 0.2817502827546242, -0.4757818723327617]|54845.9531250000000000|      1.00000000|[57, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[9.484702555619217, -1.0380775488085177, -0.419798799170349, -0.0454332202952198, 0.4028314296766007, 0.2817502827546242, -0.4757818723327617]|54845.9531250000000000|      0.50000000|[85, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[9.536165939327761, -1.1399088326790046, -0.5322493044772852, -0.4814767357905726, 0.4907586083202841, 0.334224267863853, -0.3217749297758027]|45929.8359375000000000|      1.00000000|[113, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[9.536165939327761, -1.1399088326790046, -0.5322493044772852, -0.4814767357905726, 0.4907586083202841, 0.334224267863853, -0.3217749297758027]|45929.8359375000000000|      0.50000000|[141, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[9.536165939327761, -1.1399088326790046, -0.5322493044772852, -0.4814767357905726, 0.4907586083202841, 0.334224267863853, -0.3217749297758027]|45929.8359375000000000|      0.25000000|[169, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[9.528625722980733, -1.1441486639828886, -0.5259933210414154, -0.6323909729309286, 0.5170387688904382, 0.3599396817009289, -0.1261758619888013]|27696.6718750000000000|      0.50000000|[197, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[9.528625722980733, -1.1441486639828886, -0.5259933210414154, -0.6323909729309286, 0.5170387688904382, 0.3599396817009289, -0.1261758619888013]|27696.6718750000000000|      0.25000000|[225, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[9.528625722980733, -1.1441486639828886, -0.5259933210414154, -0.6323909729309286, 0.5170387688904382, 0.3599396817009289, -0.1261758619888013]|27696.6718750000000000|      0.12500000|[253, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[9.528625722980733, -1.1441486639828886, -0.5259933210414154, -0.6323909729309286, 0.5170387688904382, 0.3599396817009289, -0.1261758619888013]|27696.6718750000000000|      0.06250000|[281, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[9.526315714481989, -1.1372716721569163, -0.5211395772134346, -0.6466463456380016, 0.5120419445469456, 0.3587287694302181, -0.0661724304040249]|13698.4501953125000000|      0.12500000|[309, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[9.526315714481989, -1.1372716721569163, -0.5211395772134346, -0.6466463456380016, 0.5120419445469456, 0.3587287694302181, -0.0661724304040249]|13698.4501953125000000|      0.06250000|[337, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[9.526315714481989, -1.1372716721569163, -0.5211395772134346, -0.6466463456380016, 0.5120419445469456, 0.3587287694302181, -0.0661724304040249]|13698.4501953125000000|      0.03125000|[365, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[9.526315714481989, -1.1372716721569163, -0.5211395772134346, -0.6466463456380016, 0.5120419445469456, 0.3587287694302181, -0.0661724304040249]|13698.4501953125000000|      0.01562500|[393, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[9.525741584824544, -1.1373960290953085, -0.5210300549648753, -0.6499513585680546, 0.5118440928110446, 0.3579974099433872, -0.0509314856206726]|12532.2880859375000000|      0.03125000|[421, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      16|[9.525741584824544, -1.1373960290953085, -0.5210300549648753, -0.6499513585680546, 0.5118440928110446, 0.3579974099433872, -0.0509314856206726]|12532.2880859375000000|      0.01562500|[449, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[9.525741584824544, -1.1373960290953085, -0.5210300549648753, -0.6499513585680546, 0.5118440928110446, 0.3579974099433872, -0.0509314856206726]|12532.2880859375000000|      0.00781250|[477, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[9.52519412967394, -1.134860535868457, -0.5175117891978489, -0.64992290701252, 0.5124963670670027, 0.3574590858406297, -0.0573511791617717]|12226.4326171875000000|      0.01562500|[505, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      19|[9.52519412967394, -1.134860535868457, -0.5175117891978489, -0.64992290701252, 0.5124963670670027, 0.3574590858406297, -0.0573511791617717]|12226.4326171875000000|      0.00781250|[533, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[9.524346712208445, -1.136925158572837, -0.5153985872345148, -0.6539028650414626, 0.511000770114518, 0.3532673999718949, -0.0533584803425122]|12115.2744140625000000|      0.01562500|[561, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[9.524346712208445, -1.136925158572837, -0.5153985872345148, -0.6539028650414626, 0.511000770114518, 0.3532673999718949, -0.0533584803425122]|12115.2744140625000000|      0.00781250|[589, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[9.524346712208445, -1.136925158572837, -0.5153985872345148, -0.6539028650414626, 0.511000770114518, 0.3532673999718949, -0.0533584803425122]|12115.2744140625000000|      0.00390625|[617, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[9.524346712208445, -1.136925158572837, -0.5153985872345148, -0.6539028650414626, 0.511000770114518, 0.3532673999718949, -0.0533584803425122]|12115.2744140625000000|      0.00195312|[645, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      24|[9.524201843666251, -1.1368191285384588, -0.5152517997371037, -0.6539795410015614, 0.5110740558509967, 0.3530318576761027, -0.0552805082451156]|12046.7958984375000000|      0.00390625|[673, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      25|[9.5251981498972, -1.1386077619269526, -0.5145735516303672, -0.6568192219790154, 0.5116714964591932, 0.3516699515296475, -0.0547048161588772]|12012.6718750000000000|      0.00781250|[701, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      26|[9.5251981498972, -1.1386077619269526, -0.5145735516303672, -0.6568192219790154, 0.5116714964591932, 0.3516699515296475, -0.0547048161588772]|12012.6718750000000000|      0.00390625|[729, 104, 0, 52]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
