k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.013738319494465, 149.96406818844102, -100.08707997307027, 1.1329689816786936, 1.9729236138693649]|84544.0927887668949552|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[49.013738319494465, 149.96406818844102, -100.08707997307027, 1.1329689816786936, 1.9729236138693649]|84544.0927887668949552|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[48.01760710873581, 149.90293881982225, -100.14552273327884, 1.1566908167377339, 1.9701796085122658]|81273.3169836963206762|      2.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[48.01760710873581, 149.90293881982225, -100.14552273327884, 1.1566908167377339, 1.9701796085122658]|81273.3169836963206762|      1.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[47.02460119637948, 149.82205490569143, -100.20770028038989, 1.2142127545065557, 1.9552722354768477]|78073.8945427418802865|      2.00000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       6|[47.02460119637948, 149.82205490569143, -100.20770028038989, 1.2142127545065557, 1.9552722354768477]|78073.8945427418802865|      1.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[46.02822111763087, 149.76269006155147, -100.26844859190838, 1.2176729627950136, 1.9547994147843397]|74934.1182793197804131|      2.00000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       8|[46.02822111763087, 149.76269006155147, -100.26844859190838, 1.2176729627950136, 1.9547994147843397]|74934.1182793197804131|      1.00000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[45.03220457276924, 149.70021011557805, -100.33160403312391, 1.2247201242897217, 1.957803823677463]|71860.4384084094490390|      2.00000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[45.03220457276924, 149.70021011557805, -100.33160403312391, 1.2247201242897217, 1.957803823677463]|71860.4384084094490390|      1.00000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[44.03852483087339, 149.65732742441472, -100.36807711039036, 1.3218328101549206, 1.9571065266421603]|68868.2149074515764369|      2.00000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[44.03852483087339, 149.65732742441472, -100.36807711039036, 1.3218328101549206, 1.9571065266421603]|68868.2149074515764369|      1.00000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[43.04243482845941, 149.59486098942511, -100.43051706177886, 1.3238085842767882, 1.957125964462185]|65926.2172507291688817|      2.00000000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      14|[42.38464090176151, 149.88594047697632, -100.27859924048501, 3.0012230336276553, 2.7607313543200007]|64115.0791912868953659|      4.00000000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[42.38464090176151, 149.88594047697632, -100.27859924048501, 3.0012230336276553, 2.7607313543200007]|64115.0791912868953659|      2.00000000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[40.39274554055385, 149.7587538087722, -100.40578580198334, 3.0012247773183196, 2.7607326731767285]|58513.9229210096309544|      4.00000000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      17|[40.39274554055385, 149.7587538087722, -100.40578580198334, 3.0012247773183196, 2.7607326731767285]|58513.9229210096309544|      2.00000000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
